date,trades,win,loss,net_profit,win_rate
2025-10-15,4,2,2,49.95,50.0
2025-10-16,9,7,2,162.17,77.78
2025-10-17,4,2,2,66.38,50.0
2025-10-18,4,0,4,-230.63,0.0
2025-10-20,2,0,2,-40.74,0.0
2025-10-21,9,1,8,-265.86,11.11
2025-10-22,8,6,2,672.41,75.0
2025-10-23,2,0,2,-57.79,0.0
2025-10-24,3,0,3,-51.96,0.0
2025-10-25,3,2,1,77.14,66.67
2025-10-27,4,4,0,130.19,100.0
2025-10-28,6,1,5,-116.66,16.67
2025-10-29,4,0,4,-91.27,0.0
2025-10-30,5,1,4,-78.18,20.0
2025-10-31,5,1,4,-37.18,20.0
2025-11-03,4,0,4,-87.24,0.0
2025-11-04,4,1,3,-5.98,25.0
2025-11-05,12,0,12,-247.66,0.0
2025-11-06,7,1,6,-58.43,14.29
2025-11-07,6,2,4,-10.8,33.33
2025-11-10,4,4,0,123.18,100.0
2025-11-11,3,0,3,-48.51,0.0
2025-11-12,3,2,1,28.08,66.67
2025-11-13,4,0,4,-120.48,0.0
2025-11-14,5,4,1,80.23,80.0
2025-11-15,3,2,1,94.46,66.67
2025-11-17,7,5,2,93.92,71.43
2025-11-18,4,1,3,-59.77,25.0
2025-11-19,9,2,7,-18.98,22.22
2025-11-20,6,0,6,-137.51,0.0
2025-11-21,8,1,7,-78.12,12.5
2025-11-22,3,0,3,-66.88,0.0
2025-11-24,1,0,1,-7.89,0.0
2025-11-25,6,3,3,26.15,50.0
2025-11-26,8,2,6,-26.62,25.0
2025-11-27,7,0,7,-48.09,0.0
2025-11-28,4,4,0,69.55,100.0
2025-11-29,1,1,0,50.63,100.0
2025-12-01,5,2,3,-49.87,40.0
2025-12-02,8,3,5,-10.12,37.5
2025-12-03,8,2,6,-59.61,25.0
2025-12-04,5,1,4,-19.0,20.0
2025-12-05,6,2,4,19.36,33.33
2025-12-06,2,0,2,-23.24,0.0
2025-12-08,8,1,7,-61.04,12.5
2025-12-09,6,0,6,-82.0,0.0
2025-12-10,7,1,6,-31.22,14.29
2025-12-11,6,3,3,53.74,50.0
2025-12-12,6,4,2,177.42,66.67
2025-12-13,3,3,0,139.17,100.0
2025-12-15,3,1,2,-3.53,33.33
2025-12-16,8,0,8,-122.05,0.0
2025-12-17,6,4,2,116.51,66.67
2025-12-18,7,1,6,-36.76,14.29
2025-12-19,7,1,6,-26.99,14.29
2025-12-22,6,6,0,240.93,100.0
2025-12-23,5,2,3,30.22,40.0
2025-12-24,6,1,5,-72.14,16.67
2025-12-26,5,1,4,-40.24,20.0
2025-12-27,2,0,2,-22.89,0.0
2025-12-30,11,1,10,-404.15,9.09
2025-12-31,5,3,2,80.91,60.0
2026-01-01,3,0,3,-38.2,0.0
2026-01-02,4,0,4,-89.94,0.0
2026-01-03,3,0,3,-115.14,0.0
2026-01-05,1,1,0,68.52,100.0
2026-01-06,10,2,8,-47.55,20.0
2026-01-07,9,0,9,-129.51,0.0
2026-01-08,7,1,6,-62.99,14.29
2026-01-09,4,1,3,14.97,25.0
2026-01-10,5,4,1,137.87,80.0
2026-01-12,1,1,0,58.74,100.0
2026-01-13,5,1,4,-27.86,20.0
2026-01-14,3,1,2,7.27,33.33
2026-01-15,8,1,7,-56.22,12.5
2026-01-16,9,0,9,-82.03,0.0
2026-01-17,3,0,3,-43.79,0.0
2026-01-19,3,0,3,-22.38,0.0
2026-01-20,5,5,0,172.01,100.0
2026-01-21,4,1,3,-33.05,25.0
2026-01-22,1,1,0,46.64,100.0
2026-01-23,6,4,2,333.16,66.67
2026-01-24,3,3,0,163.12,100.0
2026-01-26,6,0,6,-144.13,0.0
2026-01-27,8,3,5,83.74,37.5
2026-01-28,8,7,1,416.18,87.5
2026-01-29,2,1,1,-49.0,50.0
2026-01-30,7,6,1,1291.55,85.71
2026-01-31,1,1,0,223.19,100.0
2026-02-02,4,2,2,360.95,50.0
2026-02-03,6,0,6,-334.29,0.0
2026-02-04,9,2,7,-188.05,22.22
2026-02-05,6,4,2,251.3,66.67
2026-02-06,6,6,0,487.84,100.0
2026-02-07,5,5,0,385.44,100.0
2026-02-09,2,0,2,-37.17,0.0
2026-02-10,3,1,2,-48.75,33.33
2026-02-11,10,8,2,224.36,80.0
2026-02-12,9,0,9,-120.22,0.0
2026-02-13,6,0,6,-300.09,0.0
2026-02-16,1,0,1,-8.59,0.0
2026-02-17,5,3,2,8.46,60.0
2026-02-18,7,1,6,-68.8,14.29
2026-02-19,1,0,1,-26.47,0.0
2026-02-20,7,2,5,10.09,28.57
2026-02-21,3,3,0,170.63,100.0
2026-02-23,1,0,1,-17.01,0.0
2026-02-24,9,1,8,-215.1,11.11
