date,trades,net_profit
2025-01-06,1,-21.37
2025-01-23,1,-13.03
2025-01-24,1,-18.13
2025-02-03,2,94.13
2025-02-13,1,-37.06
2025-02-14,1,34.11
2025-02-24,1,-18.15
2025-03-05,1,-18.79
2025-03-24,1,-17.15
2025-04-03,1,157.11
2025-04-15,1,74.77
2025-04-17,1,-48.4
2025-04-25,1,-50.91
2025-05-08,1,-35.74
2025-05-22,1,-40.56
2025-05-29,2,123.67999999999999
2025-06-03,1,-34.46
2025-06-05,1,-43.3
2025-06-09,1,77.95
2025-06-26,1,66.07
2025-07-03,1,-29.88
2025-07-10,1,-12.75
2025-07-14,1,-19.92
2025-07-17,1,-44.12
2025-07-28,1,-16.17
2025-07-29,1,-15.15
2025-08-14,1,-21.49
2025-09-12,1,76.18
2025-09-18,1,-50.84
2025-10-02,1,-41.18
2025-10-07,1,-19.66
2025-10-09,1,234.43
2025-11-11,1,-32.82
2025-11-14,1,192.92
2025-11-19,1,204.91
2025-11-21,1,178.22
2025-12-02,1,-52.05
2025-12-03,1,153.44
2025-12-09,1,63.99
2025-12-11,1,70.54
2025-12-23,1,-39.44
2025-12-26,1,-52.27
2025-12-29,1,128.75
2026-01-13,1,-30.95
2026-01-14,1,-50.93
2026-01-27,1,-66.18
2026-02-05,1,-206.43
2026-02-11,1,-69.4
2026-02-12,1,133.69
2026-02-24,1,-73.48
2026-03-27,1,339.77
2026-04-02,1,-147.5
2026-04-07,1,157.49
2026-04-20,1,291.05
2026-04-29,1,-33.23
2026-05-04,1,-97.65
2026-05-13,1,-58.26
2026-05-20,1,-59.7
2026-06-02,1,-51.15
2026-06-04,1,-64.69
2026-07-07,1,-42.35
