timestamp,label,trades,wr,total_pnl,avg_per_day_span,avg_per_day_active,n_days_with_trades,span_days,days_hit_1000,max_dd_usd,max_dd_pct,lot_min,lot_max,risk_pct,final_equity,max_consec_loss,lookback,ema_trend,breakout_min_body_pct,tp_rr,sl_atr_mult,session_filter
2026-06-26 18:12:36,round1_baseline,226,31.0,-371.62,-6.19,-6.09,61,60,0,529.5,50.32,0.01,0.02,1.0,628.38,13,40,50,0.55,1.8,1.0,True
2026-06-26 18:12:54,round2_rr1,190,51.1,8.31,0.14,0.14,59,60,0,153.35,14.13,0.01,0.03,1.0,1008.31,8,40,50,0.55,1.0,1.0,True
2026-06-26 18:12:57,round2_rr1.2_sl1.5,225,42.7,-293.1,-4.89,-4.65,63,60,0,447.76,41.64,0.01,0.02,1.0,706.9,8,40,50,0.55,1.2,1.5,True
2026-06-26 18:12:59,round2_body0.4_lb20,299,33.1,-574.23,-9.57,-8.7,66,60,0,700.17,67.13,0.01,0.02,1.0,425.77,15,20,50,0.4,1.5,1.0,True
2026-06-26 18:13:07,round2_nosession,597,39.9,-272.62,-4.54,-3.73,73,60,0,449.03,40.55,0.01,0.04,1.0,727.38,12,40,50,0.55,1.5,1.0,False
2026-06-26 18:13:21,round3_rr0.6,175,65.7,79.99,1.33,1.38,58,60,0,81.07,7.43,0.01,0.03,1.0,1079.99,3,40,50,0.55,0.6,1.0,True
2026-06-26 18:13:24,round3_rr0.8,181,57.5,48.2,0.8,0.82,59,60,0,108.65,10.32,0.01,0.03,1.0,1048.2,5,40,50,0.55,0.8,1.0,True
2026-06-26 18:13:27,round3_rr1,190,51.1,8.31,0.14,0.14,59,60,0,153.35,14.13,0.01,0.03,1.0,1008.31,8,40,50,0.55,1.0,1.0,True
2026-06-26 18:13:30,round3_rr1.2,202,41.1,-271.32,-4.52,-4.45,61,60,0,387.04,36.41,0.01,0.02,1.0,728.68,8,40,50,0.55,1.2,1.0,True
2026-06-26 18:13:45,round4_rr0.3,172,86.0,169.65,2.83,2.93,58,60,0,31.37,2.62,0.01,0.04,1.0,1169.65,2,40,50,0.55,0.3,1.0,True
2026-06-26 18:13:48,round4_rr0.4,172,78.5,158.82,2.65,2.74,58,60,0,40.12,3.35,0.01,0.04,1.0,1158.82,3,40,50,0.55,0.4,1.0,True
2026-06-26 18:13:51,round4_rr0.5,174,71.8,114.2,1.9,1.97,58,60,0,60.15,5.57,0.01,0.04,1.0,1114.2,3,40,50,0.55,0.5,1.0,True
2026-06-26 18:13:54,round4_risk2,175,65.7,102.7,1.71,1.77,58,60,0,138.8,12.2,0.01,0.07,2.0,1102.7,3,40,50,0.55,0.6,1.0,True
2026-06-26 18:13:57,round4_risk3,175,65.7,76.21,1.27,1.31,58,60,0,288.75,23.55,0.02,0.1,3.0,1076.21,3,40,50,0.55,0.6,1.0,True
2026-06-26 18:14:00,round4_risk5,175,65.7,57.75,0.96,1.0,58,60,0,476.62,36.34,0.03,0.17,5.0,1057.75,3,40,50,0.55,0.6,1.0,True
2026-06-26 18:14:15,round5_rr0.15,172,90.1,13.99,0.23,0.24,58,60,0,35.4,3.38,0.01,0.03,1.0,1013.99,2,40,50,0.55,0.15,1.0,True
2026-06-26 18:14:18,round5_rr0.2,172,89.0,67.69,1.13,1.17,58,60,0,28.58,2.63,0.01,0.03,1.0,1067.69,2,40,50,0.55,0.2,1.0,True
2026-06-26 18:14:21,round5_rr0.25,172,86.6,85.89,1.43,1.48,58,60,0,41.46,3.69,0.01,0.04,1.0,1085.89,2,40,50,0.55,0.25,1.0,True
2026-06-26 18:14:24,round5_risk2,172,86.0,352.39,5.87,6.08,58,60,0,59.54,4.43,0.01,0.08,2.0,1352.39,2,40,50,0.55,0.3,1.0,True
2026-06-26 18:14:27,round5_risk5,172,86.0,1100.4,18.34,18.97,58,60,0,255.34,10.97,0.03,0.29,5.0,2100.4,2,40,50,0.55,0.3,1.0,True
2026-06-26 18:14:30,round5_risk10,172,86.0,2943.8,49.06,50.76,58,60,0,1093.97,22.16,0.07,1.06,10.0,3943.8,2,40,50,0.55,0.3,1.0,True
2026-06-26 18:14:33,round5_risk15,172,86.0,5828.03,97.13,100.48,58,60,1,3279.87,33.31,0.1,3.15,15.0,6828.03,2,40,50,0.55,0.3,1.0,True
2026-06-26 18:14:48,round6_risk20,172,86.0,7339.79,122.33,126.55,58,60,6,6584.1,45.4,0.14,4.81,20.0,8339.79,2,40,50,0.55,0.3,1.0,True
2026-06-26 18:14:51,round6_risk25,172,86.0,7191.12,119.85,123.98,58,60,10,8976.79,53.65,0.18,5.72,25.0,8191.12,2,40,50,0.55,0.3,1.0,True
2026-06-26 18:14:54,round6_risk30,172,86.0,6621.16,110.35,114.16,58,60,12,9487.83,56.8,0.22,5.76,30.0,7621.16,2,40,50,0.55,0.3,1.0,True
2026-06-26 18:14:57,round6_risk40,172,86.0,3722.75,62.05,64.19,58,60,13,8465.23,65.44,0.29,4.46,40.0,4722.75,2,40,50,0.55,0.3,1.0,True
2026-06-26 18:15:32,round7_multiTF,1260,82.3,141.76,2.36,2.15,66,60,0,416.07,27.35,0.01,0.27,2.0,1141.76,3,20,50,0.45,0.3,1.0,True
