signal_time,exit_time,direction,entry,sl,tp,outcome,profit,pattern,reason
2026-01-19T19:15:00+07:00,2026-01-19T19:30:00+07:00,SELL,4670.08,4672.33,4604.53,SL,-2.45,S257 SELL Kalman-Innovation Overshoot Fade 30.1R,Fade fresh adaptive fair-value overshoot; original=BUY
2026-01-20T20:55:00+07:00,2026-01-20T21:00:00+07:00,SELL,4737.16,4738.8,4689.03,SL,-1.84,S257 SELL Kalman-Innovation Overshoot Fade 30.1R,Fade fresh adaptive fair-value overshoot; original=BUY
2026-01-21T20:35:00+07:00,2026-01-21T20:40:00+07:00,SELL,4878.35,4879.02,4859.11,SL,-0.87,S257 SELL Kalman-Innovation Overshoot Fade 30.1R,Fade fresh adaptive fair-value overshoot; original=BUY
2026-01-22T18:45:00+07:00,2026-01-22T18:50:00+07:00,SELL,4833.24,4835.05,4779.69,SL,-2.01,S257 SELL Kalman-Innovation Overshoot Fade 30.1R,Fade fresh adaptive fair-value overshoot; original=BUY
2026-01-22T20:40:00+07:00,2026-01-23T01:45:00+07:00,BUY,4813.81,4810.62,4915.74,TP,101.73,S257 BUY Kalman-Innovation Overshoot Fade 30.1R,Fade fresh adaptive fair-value overshoot; original=SELL
2026-01-23T19:50:00+07:00,2026-01-23T20:00:00+07:00,SELL,4941.54,4942.96,4898.17,BE,-0.2,S257 SELL Kalman-Innovation Overshoot Fade 30.1R,Fade fresh adaptive fair-value overshoot; original=BUY
2026-01-26T19:55:00+07:00,2026-01-26T20:00:00+07:00,BUY,5078.94,5076.81,5142.12,SL,-2.33,S257 BUY Kalman-Innovation Overshoot Fade 30.1R,Fade fresh adaptive fair-value overshoot; original=SELL
2026-01-28T19:50:00+07:00,2026-01-28T19:55:00+07:00,SELL,5274.72,5276.54,5219.62,SL,-2.02,S257 SELL Kalman-Innovation Overshoot Fade 30.1R,Fade fresh adaptive fair-value overshoot; original=BUY
2026-01-29T18:45:00+07:00,2026-01-29T18:55:00+07:00,SELL,5524.95,5529.73,5380.13,BE,-0.2,S257 SELL Kalman-Innovation Overshoot Fade 30.1R,Fade fresh adaptive fair-value overshoot; original=BUY
2026-01-29T19:10:00+07:00,2026-01-29T19:20:00+07:00,SELL,5535.72,5539.87,5407.69,BE,-0.2,S257 SELL Kalman-Innovation Overshoot Fade 30.1R,Fade fresh adaptive fair-value overshoot; original=BUY
2026-02-03T18:20:00+07:00,2026-02-03T19:00:00+07:00,BUY,4884.95,4883.27,4934.9,TP,49.75,S257 BUY Kalman-Innovation Overshoot Fade 30.1R,Fade fresh adaptive fair-value overshoot; original=SELL
2026-02-03T20:40:00+07:00,2026-02-03T20:45:00+07:00,SELL,4941.72,4943.09,4901.1,SL,-1.57,S257 SELL Kalman-Innovation Overshoot Fade 30.1R,Fade fresh adaptive fair-value overshoot; original=BUY
2026-02-04T17:20:00+07:00,2026-02-04T18:10:00+07:00,BUY,5042.69,5041.77,5070.7,BE,-0.2,S257 BUY Kalman-Innovation Overshoot Fade 30.1R,Fade fresh adaptive fair-value overshoot; original=SELL
2026-02-04T20:05:00+07:00,2026-02-04T20:10:00+07:00,BUY,5030.24,5029.26,5052.9,SL,-1.18,S257 BUY Kalman-Innovation Overshoot Fade 30.1R,Fade fresh adaptive fair-value overshoot; original=SELL
2026-02-04T20:50:00+07:00,2026-02-04T21:35:00+07:00,SELL,5062.05,5064.38,4996.27,TP,65.58,S257 SELL Kalman-Innovation Overshoot Fade 30.1R,Fade fresh adaptive fair-value overshoot; original=BUY
2026-02-05T19:05:00+07:00,2026-02-05T19:10:00+07:00,BUY,4850.58,4847.94,4931.29,SL,-2.84,S257 BUY Kalman-Innovation Overshoot Fade 30.1R,Fade fresh adaptive fair-value overshoot; original=SELL
2026-02-06T20:20:00+07:00,2026-02-06T20:30:00+07:00,SELL,4927.33,4928.49,4892.1,BE,-0.2,S257 SELL Kalman-Innovation Overshoot Fade 30.1R,Fade fresh adaptive fair-value overshoot; original=BUY
2026-02-11T18:25:00+07:00,2026-02-11T18:35:00+07:00,SELL,5107.49,5108.54,5076.5,BE,-0.2,S257 SELL Kalman-Innovation Overshoot Fade 30.1R,Fade fresh adaptive fair-value overshoot; original=BUY
2026-02-11T18:45:00+07:00,2026-02-11T18:50:00+07:00,SELL,5113.89,5116.43,5037.74,SL,-2.74,S257 SELL Kalman-Innovation Overshoot Fade 30.1R,Fade fresh adaptive fair-value overshoot; original=BUY
2026-02-12T17:25:00+07:00,2026-02-12T17:35:00+07:00,BUY,5061.36,5060.7,5081.54,BE,-0.2,S257 BUY Kalman-Innovation Overshoot Fade 30.1R,Fade fresh adaptive fair-value overshoot; original=SELL
2026-02-17T17:10:00+07:00,2026-02-17T19:05:00+07:00,SELL,4936.2,4939.84,4826.32,BE,-0.2,S257 SELL Kalman-Innovation Overshoot Fade 30.1R,Fade fresh adaptive fair-value overshoot; original=BUY
2026-02-18T19:05:00+07:00,2026-02-18T19:10:00+07:00,SELL,4923.95,4924.77,4901.75,SL,-1.02,S257 SELL Kalman-Innovation Overshoot Fade 30.1R,Fade fresh adaptive fair-value overshoot; original=BUY
2026-02-19T20:35:00+07:00,2026-02-19T20:40:00+07:00,SELL,4994.59,4995.79,4957.53,SL,-1.4,S257 SELL Kalman-Innovation Overshoot Fade 30.1R,Fade fresh adaptive fair-value overshoot; original=BUY
