timestamp,label,trades,wr,total_pnl,avg_per_day_span,avg_per_day_active,n_days_with_trades,span_days,days_hit_1000,max_dd_usd,max_dd_pct,lot_min,lot_max,risk_pct,final_equity,max_consec_loss,ema_fast,ema_slow,adx_min,tp_rr,sl_atr_mult,session_filter
2026-06-26 19:16:39,round1_baseline,110,38.2,268.14,4.47,4.54,59,60,0,420.02,28.21,0.01,0.02,1.0,1268.14,11,20,50,22.0,2.0,0.8,True
2026-06-26 19:16:49,round2_adx28,55,40.0,110.14,1.84,2.9,38,60,0,258.98,19.32,0.01,0.01,1.0,1110.14,5,20,50,28.0,2.0,0.8,True
2026-06-26 19:16:51,round2_rr1.5,111,46.8,371.16,6.19,6.4,58,60,0,494.53,35.34,0.01,0.02,1.0,1371.16,11,20,50,22.0,1.5,0.8,True
2026-06-26 19:16:52,round2_rr2.5,110,30.9,185.0,3.08,3.08,60,60,0,543.14,36.58,0.01,0.02,1.0,1185.0,13,20,50,22.0,2.5,0.8,True
2026-06-26 19:16:53,round2_h1only,28,32.1,68.29,1.14,2.73,25,60,0,425.39,30.65,0.01,0.01,1.0,1068.29,10,20,50,22.0,2.0,0.8,True
