timestamp,label,tiers,use_circuit_breaker,trades,wr,avg_per_day_span,avg_per_month,max_dd_pct,profit_factor,pct_pos_days,max_losing_day_streak,sharpe_like,final_equity
2026-06-27 07:06:07,smoke_ddsize_noCB,"[(5.0, 1.0), (15.0, 0.7), (100.0, 0.4)]",False,577,50.4,4.13,123.9,28.07,1.08,51.0,5,0.063,1371.36
2026-06-27 07:06:12,smoke_ddsize_withCB,"[(5.0, 1.0), (15.0, 0.7), (100.0, 0.4)]",True,329,55.9,8.01,240.3,11.05,1.32,57.1,3,0.207,1720.65
