signal_time,exit_time,direction,entry,sl,tp,outcome,profit,pattern,reason
2025-07-12T04:40:00+07:00,2025-07-14T09:45:00+07:00,BUY,3357.96,3356.17,3376.08,BE,-0.2,S206 BUY Rollover Drive 10R,Drive out of 3.20 micro range at rollover; risk=1.81
2025-07-15T04:35:00+07:00,2025-07-15T06:55:00+07:00,SELL,3342.79,3344.89,3321.57,SL,-2.3,S206 SELL Rollover Drive 10R,Drive out of 2.39 micro range at rollover; risk=2.12
2025-07-16T04:40:00+07:00,2025-07-16T06:05:00+07:00,SELL,3326.69,3328.19,3311.25,BE,-0.2,S206 SELL Rollover Drive 10R,Drive out of 3.46 micro range at rollover; risk=1.54
2025-07-17T04:10:00+07:00,2025-07-17T04:30:00+07:00,BUY,3348.93,3347.07,3367.64,SL,-2.06,S206 BUY Rollover Drive 10R,Drive out of 2.04 micro range at rollover; risk=1.87
