TF,Sub-Pattern,Trades,WinRate(%),P/L($),AvgWin($),AvgLoss($),MaxSLStreak
M1,S20.6,2912,28.9,3820.5,16.1,-4.69,39
M5,S20.6,554,25.3,-79.45,37.34,-12.82,28
M15,S20.6,202,29.2,952.48,63.17,-19.4,19
M30,S20.6,124,32.3,883.68,80.76,-27.94,19
H1,S20.6,63,36.5,895.71,114.89,-43.67,6
H4,S20.6,45,35.6,963.22,249.53,-104.46,18
