timestamp,label,setup_type,trades,wr,total_pnl,avg_per_day_span,avg_per_day_active,trades_per_active_day,n_days_with_trades,span_days,days_hit_1000,max_dd_usd,max_dd_pct,lot_min,lot_max,risk_pct,final_equity,max_consec_loss,avg_r_multiple,profit_factor,ema_fast,ema_trend,pullback_touch_atr,momentum_body_atr,pullback_max_atr,range_lookback,range_edge_pct,sl_atr_mult,tp_rr
2026-06-26 20:32:16,smoketest,ema_pullback,1715,49.2,-817.96,-54.53,-48.12,100.9,17,15,0,1143.35,86.27,0.01,0.13,1.0,182.04,20,-0.092,0.87,8,50,0.15,0.8,0.35,20,0.15,0.5,1.0
2026-06-26 20:32:29,smoketest,momentum_pullback,811,48.2,-555.28,-37.02,-32.66,47.7,17,15,0,697.95,61.57,0.01,0.1,1.0,444.72,13,-0.094,0.84,8,50,0.15,0.8,0.35,20,0.15,0.5,1.0
2026-06-26 20:32:32,smoketest,range_scalp,1588,52.3,-233.54,-15.57,-13.74,93.4,17,15,0,883.0,63.3,0.01,0.12,1.0,766.46,14,-0.012,0.97,8,50,0.15,0.8,0.35,20,0.15,0.5,1.0
2026-06-26 20:32:49,timing_test,range_scalp,3058,52.6,-496.11,-16.54,-15.03,92.7,33,30,0,766.52,67.23,0.01,0.12,1.0,503.89,14,-0.017,0.96,8,50,0.15,0.8,0.35,20,0.15,0.5,1.0
2026-06-26 20:33:38,grid001_ema_ef5_et21_touch0.1_sl0.3,ema_pullback,4209,47.8,-1765.16,-58.84,-53.49,127.5,33,30,0,1776.94,176.45,0.01,0.09,1.0,-765.16,17,0.048,0.79,5,21,0.1,0.8,0.35,20,0.15,0.3,1.0
2026-06-26 20:33:40,grid002_ema_ef5_et21_touch0.1_sl0.5,ema_pullback,4205,48.0,-1629.81,-54.33,-49.39,127.4,33,30,0,1629.81,162.98,0.01,0.08,1.0,-629.81,21,-0.375,0.82,5,21,0.1,0.8,0.35,20,0.15,0.5,1.0
2026-06-26 20:33:43,grid003_ema_ef5_et21_touch0.1_sl0.8,ema_pullback,4203,49.0,-1406.73,-46.89,-42.63,127.4,33,30,0,1451.63,138.93,0.01,0.06,1.0,-406.73,22,-1.089,0.87,5,21,0.1,0.8,0.35,20,0.15,0.8,1.0
2026-06-26 20:33:45,grid004_ema_ef5_et21_touch0.2_sl0.3,ema_pullback,4400,47.7,-1864.03,-62.13,-56.49,133.3,33,30,0,1876.98,186.63,0.01,0.09,1.0,-864.03,17,0.074,0.78,5,21,0.2,0.8,0.35,20,0.15,0.3,1.0
2026-06-26 20:33:47,grid005_ema_ef5_et21_touch0.2_sl0.5,ema_pullback,4396,47.9,-1737.45,-57.91,-52.65,133.2,33,30,0,1740.25,174.02,0.01,0.08,1.0,-737.45,23,0.264,0.82,5,21,0.2,0.8,0.35,20,0.15,0.5,1.0
2026-06-26 20:33:50,grid006_ema_ef5_et21_touch0.2_sl0.8,ema_pullback,4394,48.6,-1554.73,-51.82,-47.11,133.2,33,30,0,1594.95,153.78,0.01,0.06,1.0,-554.73,24,-0.217,0.86,5,21,0.2,0.8,0.35,20,0.15,0.8,1.0
2026-06-26 20:33:52,grid007_ema_ef5_et21_touch0.35_sl0.3,ema_pullback,4597,47.6,-1970.33,-65.68,-59.71,139.3,33,30,0,1977.97,196.95,0.01,0.09,1.0,-970.33,18,-0.132,0.78,5,21,0.35,0.8,0.35,20,0.15,0.3,1.0
2026-06-26 20:33:54,grid008_ema_ef5_et21_touch0.35_sl0.5,ema_pullback,4594,47.8,-1851.98,-61.73,-56.12,139.2,33,30,0,1857.17,184.76,0.01,0.08,1.0,-851.98,24,0.028,0.82,5,21,0.35,0.8,0.35,20,0.15,0.5,1.0
2026-06-26 20:33:56,grid009_ema_ef5_et21_touch0.35_sl0.8,ema_pullback,4591,48.6,-1642.07,-54.74,-49.76,139.1,33,30,0,1700.79,160.65,0.01,0.06,1.0,-642.07,25,-0.15,0.86,5,21,0.35,0.8,0.35,20,0.15,0.8,1.0
2026-06-26 20:33:59,grid010_ema_ef5_et50_touch0.1_sl0.3,ema_pullback,4062,47.9,-1693.99,-56.47,-52.94,126.9,32,30,0,1726.84,167.19,0.01,0.1,1.0,-693.99,16,0.172,0.79,5,50,0.1,0.8,0.35,20,0.15,0.3,1.0
2026-06-26 20:34:03,grid011_ema_ef5_et50_touch0.1_sl0.5,ema_pullback,4061,48.3,-1581.95,-52.73,-49.44,126.9,32,30,0,1617.26,156.21,0.01,0.08,1.0,-581.95,16,-0.026,0.83,5,50,0.1,0.8,0.35,20,0.15,0.5,1.0
2026-06-26 20:34:06,grid012_ema_ef5_et50_touch0.1_sl0.8,ema_pullback,4058,49.0,-1417.11,-47.24,-44.28,126.8,32,30,0,1489.6,138.89,0.01,0.06,1.0,-417.11,19,0.11,0.87,5,50,0.1,0.8,0.35,20,0.15,0.8,1.0
2026-06-26 20:34:09,grid013_ema_ef5_et50_touch0.2_sl0.3,ema_pullback,4237,47.9,-1804.66,-60.16,-56.4,132.4,32,30,0,1828.35,178.6,0.01,0.1,1.0,-804.66,17,0.2,0.79,5,50,0.2,0.8,0.35,20,0.15,0.3,1.0
2026-06-26 20:34:12,grid014_ema_ef5_et50_touch0.2_sl0.5,ema_pullback,4236,48.0,-1736.88,-57.9,-54.28,132.4,32,30,0,1764.94,171.68,0.01,0.08,1.0,-736.88,17,-0.315,0.82,5,50,0.2,0.8,0.35,20,0.15,0.5,1.0
2026-06-26 20:34:15,grid015_ema_ef5_et50_touch0.2_sl0.8,ema_pullback,4233,48.5,-1619.87,-54.0,-50.62,132.3,32,30,0,1690.5,157.9,0.01,0.06,1.0,-619.87,19,-0.173,0.85,5,50,0.2,0.8,0.35,20,0.15,0.8,1.0
2026-06-26 20:34:18,grid016_ema_ef5_et50_touch0.35_sl0.3,ema_pullback,4426,47.8,-1905.39,-63.51,-59.54,138.3,32,30,0,1927.67,188.57,0.01,0.1,1.0,-905.39,17,0.156,0.79,5,50,0.35,0.8,0.35,20,0.15,0.3,1.0
2026-06-26 20:34:21,grid017_ema_ef5_et50_touch0.35_sl0.5,ema_pullback,4425,47.9,-1847.16,-61.57,-57.72,138.3,32,30,0,1895.33,180.82,0.01,0.08,1.0,-847.16,17,-0.333,0.81,5,50,0.35,0.8,0.35,20,0.15,0.5,1.0
2026-06-26 20:34:24,grid018_ema_ef5_et50_touch0.35_sl0.8,ema_pullback,4422,48.7,-1655.06,-55.17,-51.72,138.2,32,30,0,1734.91,160.66,0.01,0.06,1.0,-655.06,20,0.327,0.86,5,50,0.35,0.8,0.35,20,0.15,0.8,1.0
