timestamp,label,entry_tf,level_mode,cover_mode,trend,pivot,level_lookback,min_body,max_body,body_ratio,first_wave,sl,rr,trades,wr,fixed_pnl,fixed_per_day,fixed_per_month,fixed_pf,fixed_avg,pct_pos_days,max_losing_day_streak,sharpe_like
2026-07-02 16:58:49,M15_sweep_body_tr8_pv8_lv60_mb0.18_xb1.8_br0.3_fw12_sl0.6_rr0.9,M15,sweep,body,8,8,60,0.18,1.8,0.3,12,0.6,0.9,20,70.0,78.5,0.87,26.17,1.584,3.925,68.8,2,0.204
2026-07-02 16:58:49,M15_sweep_body_tr12_pv8_lv60_mb0.1_xb1.8_br0.3_fw12_sl0.6_rr0.9,M15,sweep,body,12,8,60,0.1,1.8,0.3,12,0.6,0.9,20,70.0,78.5,0.87,26.17,1.584,3.925,68.8,2,0.204
2026-07-02 16:58:49,M15_sweep_body_tr12_pv8_lv60_mb0.18_xb1.8_br0.3_fw12_sl0.6_rr0.9,M15,sweep,body,12,8,60,0.18,1.8,0.3,12,0.6,0.9,20,70.0,78.5,0.87,26.17,1.584,3.925,68.8,2,0.204
2026-07-02 16:58:49,M15_sweep_wick_tr8_pv8_lv60_mb0.1_xb1.8_br0.45_fw12_sl0.6_rr1.2,M15,sweep,wick,8,8,60,0.1,1.8,0.45,12,0.6,1.2,8,62.5,37.23,0.41,12.41,1.582,4.654,62.5,2,0.215
2026-07-02 16:58:49,M15_sweep_wick_tr8_pv8_lv60_mb0.18_xb1.8_br0.45_fw12_sl0.6_rr1.2,M15,sweep,wick,8,8,60,0.18,1.8,0.45,12,0.6,1.2,8,62.5,37.23,0.41,12.41,1.582,4.654,62.5,2,0.215
2026-07-02 16:58:49,M15_sweep_wick_tr12_pv8_lv60_mb0.1_xb1.8_br0.45_fw12_sl0.6_rr1.2,M15,sweep,wick,12,8,60,0.1,1.8,0.45,12,0.6,1.2,8,62.5,37.23,0.41,12.41,1.582,4.654,62.5,2,0.215
2026-07-02 16:58:49,M15_sweep_wick_tr12_pv8_lv60_mb0.18_xb1.8_br0.45_fw12_sl0.6_rr1.2,M15,sweep,wick,12,8,60,0.18,1.8,0.45,12,0.6,1.2,8,62.5,37.23,0.41,12.41,1.582,4.654,62.5,2,0.215
2026-07-02 16:58:49,M15_sweep_body_tr8_pv8_lv60_mb0.1_xb1.8_br0.3_fw12_sl0.6_rr1.2,M15,sweep,body,8,8,60,0.1,1.8,0.3,12,0.6,1.2,20,60.0,90.91,1.01,30.3,1.562,4.545,56.2,2,0.197
2026-07-02 16:58:49,M15_sweep_body_tr8_pv8_lv60_mb0.18_xb1.8_br0.3_fw12_sl0.6_rr1.2,M15,sweep,body,8,8,60,0.18,1.8,0.3,12,0.6,1.2,20,60.0,90.91,1.01,30.3,1.562,4.545,56.2,2,0.197
2026-07-02 16:58:49,M15_sweep_body_tr12_pv8_lv60_mb0.1_xb1.8_br0.3_fw12_sl0.6_rr1.2,M15,sweep,body,12,8,60,0.1,1.8,0.3,12,0.6,1.2,20,60.0,90.91,1.01,30.3,1.562,4.545,56.2,2,0.197
2026-07-02 16:58:49,M15_sweep_body_tr12_pv8_lv60_mb0.18_xb1.8_br0.3_fw12_sl0.6_rr1.2,M15,sweep,body,12,8,60,0.18,1.8,0.3,12,0.6,1.2,20,60.0,90.91,1.01,30.3,1.562,4.545,56.2,2,0.197
2026-07-02 16:58:49,M15_sweep_wick_tr8_pv8_lv60_mb0.1_xb1.8_br0.3_fw12_sl0.35_rr1.2,M15,sweep,wick,8,8,60,0.1,1.8,0.3,12,0.35,1.2,10,60.0,35.4,0.39,11.8,1.473,3.54,66.7,2,0.223
2026-07-02 16:58:49,M15_sweep_wick_tr8_pv8_lv60_mb0.18_xb1.8_br0.3_fw12_sl0.35_rr1.2,M15,sweep,wick,8,8,60,0.18,1.8,0.3,12,0.35,1.2,10,60.0,35.4,0.39,11.8,1.473,3.54,66.7,2,0.223
2026-07-02 16:58:49,M15_sweep_wick_tr12_pv8_lv60_mb0.1_xb1.8_br0.3_fw12_sl0.35_rr1.2,M15,sweep,wick,12,8,60,0.1,1.8,0.3,12,0.35,1.2,10,60.0,35.4,0.39,11.8,1.473,3.54,66.7,2,0.223
2026-07-02 16:58:49,M15_sweep_wick_tr12_pv8_lv60_mb0.18_xb1.8_br0.3_fw12_sl0.35_rr1.2,M15,sweep,wick,12,8,60,0.18,1.8,0.3,12,0.35,1.2,10,60.0,35.4,0.39,11.8,1.473,3.54,66.7,2,0.223
2026-07-02 16:58:49,M15_sweep_body_tr8_pv8_lv60_mb0.1_xb1.8_br0.3_fw12_sl0.35_rr1.2,M15,sweep,body,8,8,60,0.1,1.8,0.3,12,0.35,1.2,20,60.0,62.33,0.69,20.78,1.424,3.117,62.5,2,0.175
2026-07-02 16:58:49,M15_sweep_body_tr8_pv8_lv60_mb0.18_xb1.8_br0.3_fw12_sl0.35_rr1.2,M15,sweep,body,8,8,60,0.18,1.8,0.3,12,0.35,1.2,20,60.0,62.33,0.69,20.78,1.424,3.117,62.5,2,0.175
2026-07-02 16:58:49,M15_sweep_body_tr12_pv8_lv60_mb0.1_xb1.8_br0.3_fw12_sl0.35_rr1.2,M15,sweep,body,12,8,60,0.1,1.8,0.3,12,0.35,1.2,20,60.0,62.33,0.69,20.78,1.424,3.117,62.5,2,0.175
2026-07-02 16:58:49,M15_sweep_body_tr12_pv8_lv60_mb0.18_xb1.8_br0.3_fw12_sl0.35_rr1.2,M15,sweep,body,12,8,60,0.18,1.8,0.3,12,0.35,1.2,20,60.0,62.33,0.69,20.78,1.424,3.117,62.5,2,0.175
2026-07-02 16:58:49,M15_near_body_tr8_pv8_lv60_mb0.1_xb1.8_br0.3_fw12_sl0.6_rr1.2,M15,near,body,8,8,60,0.1,1.8,0.3,12,0.6,1.2,28,53.6,75.54,0.84,25.18,1.333,2.698,54.5,2,0.163
2026-07-02 16:58:49,M15_near_body_tr8_pv8_lv60_mb0.18_xb1.8_br0.3_fw12_sl0.6_rr1.2,M15,near,body,8,8,60,0.18,1.8,0.3,12,0.6,1.2,28,53.6,75.54,0.84,25.18,1.333,2.698,54.5,2,0.163
2026-07-02 16:58:49,M15_sweep_or_round_wick_tr12_pv8_lv60_mb0.1_xb1.8_br0.3_fw12_sl0.6_rr1.2,M15,sweep_or_round,wick,12,8,60,0.1,1.8,0.3,12,0.6,1.2,116,50.0,352.78,3.92,117.59,1.291,3.041,51.4,5,0.147
2026-07-02 16:58:49,M15_sweep_or_round_wick_tr12_pv8_lv60_mb0.18_xb1.8_br0.3_fw12_sl0.6_rr1.2,M15,sweep_or_round,wick,12,8,60,0.18,1.8,0.3,12,0.6,1.2,116,50.0,352.78,3.92,117.59,1.291,3.041,51.4,5,0.147
2026-07-02 16:58:49,M15_near_body_tr12_pv8_lv60_mb0.1_xb1.8_br0.3_fw12_sl0.35_rr0.9,M15,near,body,12,8,60,0.1,1.8,0.3,12,0.35,0.9,29,55.2,49.88,0.55,16.63,1.29,1.72,56.5,3,0.132
2026-07-02 16:58:49,M15_near_body_tr12_pv8_lv60_mb0.18_xb1.8_br0.3_fw12_sl0.35_rr0.9,M15,near,body,12,8,60,0.18,1.8,0.3,12,0.35,0.9,29,55.2,49.88,0.55,16.63,1.29,1.72,56.5,3,0.132
