fold,train,test,is_avg,oos_avg,is_sharpe,oos_sharpe,oos_worst,af2000_w_on_test,n_legs_used
1,2024-05-28..2024-11-08,2024-11-11..2024-12-18,989.05,535.2,11.75,4.18,-3209.0,68609.23,46
2,2024-07-08..2024-12-18,2024-12-19..2025-01-30,1062.76,-174.63,12.14,-3.45,-1616.8,124416.0,44
3,2024-08-19..2025-01-30,2025-01-31..2025-03-13,868.4,269.52,11.54,4.14,-1225.6,45355.29,42
4,2024-09-30..2025-03-13,2025-03-14..2025-04-25,940.18,120.24,10.47,1.05,-6901.0,2132.76,44
5,2024-11-11..2025-04-25,2025-04-28..2025-06-06,916.2,-400.96,11.09,-4.69,-3278.0,2162.54,41
6,2024-12-19..2025-06-06,2025-06-09..2025-07-17,917.33,288.82,8.73,3.19,-2679.0,1325.48,44
7,2025-01-31..2025-07-17,2025-07-18..2025-08-28,1083.86,193.45,11.31,2.3,-2740.0,2154.67,45
8,2025-03-14..2025-08-28,2025-08-29..2025-10-09,1129.17,238.63,10.78,3.51,-2519.4,61996.39,43
9,2025-04-28..2025-10-09,2025-10-10..2025-11-20,952.3,593.4,11.51,4.26,-3479.0,2104.72,42
10,2025-06-09..2025-11-20,2025-11-21..2026-01-05,1120.57,380.03,12.1,3.74,-3785.0,2415.46,44
11,2025-07-18..2026-01-05,2026-01-06..2026-02-16,1148.0,873.21,9.92,5.78,-2018.6,2589.49,47
12,2025-08-29..2026-02-16,2026-02-17..2026-03-30,1609.5,1165.95,8.81,3.67,-17051.4,2256.31,45
13,2025-10-10..2026-03-30,2026-03-31..2026-05-12,1846.41,789.77,7.67,4.64,-6264.0,1898.69,48
14,2025-11-21..2026-05-12,2026-05-13..2026-06-23,1684.56,809.74,7.51,5.61,-3725.4,2348.16,49
