timestamp,rank,label,candidate,w87,score,avg_day,min_day,min_pf,max_streak,worst_day,max_lot,max_leg_dd_pct,skipped_by_cb,days,day,daily_pf,window_streak,window_worst_day,best_day,trade_units,by_leg
2026-07-03 11:43:56,32,S81+D1_H12_TURN_followx25.75,D1_H12_TURN_follow,25.75,"(1, 374.046952, 352.922466, -999.9079, 4.255855, -3)",374.05,352.92,4.256,3,-999.91,0.19,55.01,9727,150,352.92,4.351,3,-936.75,3705.09,9143.35,A:780.28;B:124.85;C:124.02;D:7728.02;E:1464.27;F:7216.66;G:360.85;H:58.67;I:1137.89;K:8681.18;L:425.38;M:3967.04;N:2834.46;P:140.01;Q:569.77;R:8307.25;S63:1899.52;S64:-769.23;S69:1988.67;S87:5898.81
2026-07-03 11:43:56,32,S81+D1_H12_TURN_followx25.75,D1_H12_TURN_follow,25.75,"(1, 374.046952, 352.922466, -999.9079, 4.255855, -3)",374.05,352.92,4.256,3,-999.91,0.19,55.01,9727,180,360.92,4.256,3,-999.91,3705.09,10963.99,A:670.87;B:152.23;C:153.56;D:8229.83;E:1823.52;F:11568.15;G:336.37;H:280.54;I:1301.36;K:12014.20;L:1353.65;M:4372.46;N:3687.01;P:169.81;Q:1015.99;R:7526.49;S63:2492.67;S64:477.72;S69:2926.97;S87:4413.03
2026-07-03 11:43:56,33,S81+D1_H12_TURN_followx25.5,D1_H12_TURN_follow,25.5,"(1, 373.714632, 352.540666, -999.9079, 4.262269, -3)",373.71,352.54,4.262,3,-999.91,0.19,55.01,9727,90,365.72,4.339,3,-965.96,2843.84,5793.46,A:727.79;B:183.20;C:100.49;D:6154.91;E:947.06;F:3769.80;G:281.39;H:212.88;I:739.34;K:5249.59;L:382.39;M:2377.48;N:692.90;P:314.04;Q:182.88;R:4530.82;S63:2187.90;S64:126.54;S69:1710.60;S87:2043.06
2026-07-03 11:43:56,33,S81+D1_H12_TURN_followx25.5,D1_H12_TURN_follow,25.5,"(1, 373.714632, 352.540666, -999.9079, 4.262269, -3)",373.71,352.54,4.262,3,-999.91,0.19,55.01,9727,120,415.91,4.761,3,-937.32,5164.4,7615.03,A:767.05;B:97.29;C:92.10;D:7579.72;E:1508.81;F:5419.94;G:279.66;H:245.09;I:1235.77;K:7939.22;L:413.75;M:3727.53;N:2746.43;P:103.57;Q:402.57;R:5892.88;S63:1993.09;S64:1516.26;S69:1988.67;S87:5959.60
2026-07-03 11:43:56,33,S81+D1_H12_TURN_followx25.5,D1_H12_TURN_follow,25.5,"(1, 373.714632, 352.540666, -999.9079, 4.262269, -3)",373.71,352.54,4.262,3,-999.91,0.19,55.01,9727,150,352.54,4.356,3,-936.75,3665.37,9137.6,A:780.28;B:124.85;C:124.02;D:7728.02;E:1464.27;F:7216.66;G:360.85;H:58.67;I:1137.89;K:8681.18;L:425.38;M:3967.04;N:2834.46;P:140.01;Q:569.77;R:8307.25;S63:1899.52;S64:-769.23;S69:1988.67;S87:5841.54
2026-07-03 11:43:56,33,S81+D1_H12_TURN_followx25.5,D1_H12_TURN_follow,25.5,"(1, 373.714632, 352.540666, -999.9079, 4.262269, -3)",373.71,352.54,4.262,3,-999.91,0.19,55.01,9727,180,360.69,4.262,3,-999.91,3665.37,10957.74,A:670.87;B:152.23;C:153.56;D:8229.83;E:1823.52;F:11568.15;G:336.37;H:280.54;I:1301.36;K:12014.20;L:1353.65;M:4372.46;N:3687.01;P:169.81;Q:1015.99;R:7526.49;S63:2492.67;S64:477.72;S69:2926.97;S87:4370.19
2026-07-03 11:43:56,34,S81+D1_H12_TURN_followx25.25,D1_H12_TURN_follow,25.25,"(1, 373.382312, 352.158866, -999.9079, 4.268431, -3)",373.38,352.16,4.268,3,-999.91,0.19,55.01,9727,90,365.5,4.346,3,-965.96,2843.84,5790.46,A:727.79;B:183.20;C:100.49;D:6154.91;E:947.06;F:3769.80;G:281.39;H:212.88;I:739.34;K:5249.59;L:382.39;M:2377.48;N:692.90;P:314.04;Q:182.88;R:4530.82;S63:2187.90;S64:126.54;S69:1710.60;S87:2023.03
2026-07-03 11:43:56,34,S81+D1_H12_TURN_followx25.25,D1_H12_TURN_follow,25.25,"(1, 373.382312, 352.158866, -999.9079, 4.268431, -3)",373.38,352.16,4.268,3,-999.91,0.19,55.01,9727,120,415.42,4.765,3,-937.32,5164.4,7610.78,A:767.05;B:97.29;C:92.10;D:7579.72;E:1508.81;F:5419.94;G:279.66;H:245.09;I:1235.77;K:7939.22;L:413.75;M:3727.53;N:2746.43;P:103.57;Q:402.57;R:5892.88;S63:1993.09;S64:1516.26;S69:1988.67;S87:5901.18
2026-07-03 11:43:56,34,S81+D1_H12_TURN_followx25.25,D1_H12_TURN_follow,25.25,"(1, 373.382312, 352.158866, -999.9079, 4.268431, -3)",373.38,352.16,4.268,3,-999.91,0.19,55.01,9727,150,352.16,4.362,3,-936.75,3625.66,9131.85,A:780.28;B:124.85;C:124.02;D:7728.02;E:1464.27;F:7216.66;G:360.85;H:58.67;I:1137.89;K:8681.18;L:425.38;M:3967.04;N:2834.46;P:140.01;Q:569.77;R:8307.25;S63:1899.52;S64:-769.23;S69:1988.67;S87:5784.27
2026-07-03 11:43:56,34,S81+D1_H12_TURN_followx25.25,D1_H12_TURN_follow,25.25,"(1, 373.382312, 352.158866, -999.9079, 4.268431, -3)",373.38,352.16,4.268,3,-999.91,0.19,55.01,9727,180,360.45,4.268,3,-999.91,3625.66,10951.49,A:670.87;B:152.23;C:153.56;D:8229.83;E:1823.52;F:11568.15;G:336.37;H:280.54;I:1301.36;K:12014.20;L:1353.65;M:4372.46;N:3687.01;P:169.81;Q:1015.99;R:7526.49;S63:2492.67;S64:477.72;S69:2926.97;S87:4327.34
