timestamp,label,trades,wr,total_pnl,avg_per_day_span,avg_per_day_active,n_days_with_trades,span_days,days_hit_1000,max_dd_usd,max_dd_pct,lot_min,lot_max,risk_pct,final_equity,max_consec_loss,vwap_lookback,dev_stdev_mult,tp_rr,sl_atr_mult,session_filter
2026-06-26 18:45:39,round1_baseline,87,9.2,-310.74,-5.18,-6.47,48,60,0,370.23,35.85,0.01,0.31,1.0,689.26,17,240,2.0,0.8,1.2,True
2026-06-26 18:46:15,round2_dev2.5_m5,23,4.3,-161.64,-2.69,-9.51,17,60,0,161.64,16.16,0.01,0.3,1.0,838.36,17,240,2.5,0.8,1.2,True
2026-06-26 18:46:37,round2_dev3_m5,22,27.3,287.69,4.79,16.92,17,60,0,85.17,6.23,0.01,0.08,1.0,1287.69,6,240,3.0,0.8,1.2,True
2026-06-26 18:46:44,round2_dev2_m15,11,18.2,145.3,2.42,13.21,11,60,0,56.5,5.39,0.01,0.06,1.0,1145.3,5,240,2.0,0.8,1.2,True
2026-06-26 18:47:07,round2_rr0.4,16,0.0,-164.09,-2.73,-12.62,13,60,0,164.09,16.41,0.01,0.25,1.0,835.91,16,240,2.0,0.4,1.2,True
2026-06-26 18:47:58,round3_dev3_risk5,22,27.3,1159.4,19.32,68.2,17,60,1,1147.01,34.69,0.05,0.82,5.0,2159.4,6,240,3.0,0.8,1.2,True
2026-06-26 18:48:19,round3_dev3_risk10,22,27.3,2420.23,40.34,142.37,17,60,4,4467.72,56.64,0.11,1.92,10.0,3420.23,6,240,3.0,0.8,1.2,True
2026-06-26 18:48:35,round3_dev3_risk20,22,27.3,5553.02,92.55,326.65,17,60,5,22642.19,77.55,0.23,9.72,20.0,6553.02,6,240,3.0,0.8,1.2,True
2026-06-26 18:48:57,round4_90d_risk1,35,25.7,595.5,6.62,20.53,29,90,0,124.04,7.21,0.01,0.1,1.0,1595.5,6,240,3.0,0.8,1.2,True
