signal_time,exit_time,direction,entry,sl,tp,outcome,profit,pattern,reason
2026-06-12T18:20:00+07:00,2026-06-12T18:25:00+07:00,BUY,4213.42,4210.37,4245.03,SL,-3.25,S266 BUY Volume-MI Break Fade 10R,Fade MI-conditioned break; original=SELL
2026-06-17T17:15:00+07:00,2026-06-17T17:20:00+07:00,SELL,4326.75,4327.96,4314.87,SL,-1.41,S266 SELL Volume-MI Break Fade 10R,Fade MI-conditioned break; original=BUY
2026-06-17T17:25:00+07:00,2026-06-17T17:30:00+07:00,SELL,4332.1,4333.54,4316.92,SL,-1.64,S266 SELL Volume-MI Break Fade 10R,Fade MI-conditioned break; original=BUY
