time,exit_time,dir,entry,sl,tp,outcome,profit,ml_prob
2025-10-17 15:10,2025-10-17 15:15,BUY,4355.44,4343.56,4367.32,SL,-12.08,0.595
2025-10-17 16:00,2025-10-17 19:30,BUY,4333.03,4314.57,4351.49,SL,-18.66,0.749
2025-10-17 16:50,2025-10-17 18:35,BUY,4342.08,4326.47,4357.69,SL,-15.81,0.625
2025-10-17 17:40,2025-10-17 18:35,BUY,4338.11,4328.04,4348.18,SL,-10.27,0.609
2025-10-17 18:30,2025-10-17 18:35,SELL,4330.08,4337.71,4322.45,TP,7.43,0.585
2025-10-17 19:20,2025-10-17 19:30,BUY,4327.75,4314.77,4340.73,SL,-13.18,0.597
2025-10-17 20:10,2025-10-17 20:20,BUY,4315.37,4296.23,4334.51,SL,-19.34,0.789
2025-10-17 21:00,2025-10-17 21:35,BUY,4302.61,4285.33,4319.89,SL,-17.48,0.746
2025-10-17 21:50,2025-10-17 22:00,BUY,4289.78,4270.22,4309.34,SL,-19.76,0.738
2025-10-17 22:40,2025-10-18 00:05,BUY,4258.93,4225.98,4291.88,SL,-33.15,0.742
2025-10-17 23:30,2025-10-18 00:05,BUY,4253.95,4233.37,4274.53,SL,-20.78,0.77
2025-10-18 00:20,2025-10-18 00:30,BUY,4229.07,4213.16,4244.98,SL,-16.11,0.645
2025-10-18 01:10,2025-10-18 01:40,BUY,4206.68,4186.27,4227.09,TP,20.21,0.803
2025-10-18 02:00,2025-10-18 03:15,BUY,4229.72,4212.58,4246.86,SL,-17.34,0.667
2025-10-18 02:50,2025-10-18 03:10,BUY,4235.07,4222.91,4247.23,SL,-12.36,0.756
2025-10-18 03:40,2025-10-18 04:00,BUY,4221.63,4210.43,4232.83,TP,11.0,0.705
2025-10-20 07:00,2025-10-20 07:10,BUY,4254.88,4243.19,4266.57,SL,-11.89,0.68
2025-10-20 07:50,2025-10-20 08:10,BUY,4242.63,4233.4,4251.86,SL,-9.43,0.643
2025-10-20 08:40,2025-10-20 09:10,BUY,4241.1,4228.44,4253.76,TP,12.46,0.668
2025-10-20 09:30,2025-10-20 13:50,BUY,4259.2,4244.3,4274.1,SL,-15.1,0.69
2025-10-20 10:20,2025-10-20 10:55,BUY,4264.22,4254.3,4274.14,SL,-10.12,0.696
2025-10-20 11:10,2025-10-20 11:20,BUY,4253.7,4246.01,4261.39,TP,7.49,0.578
2025-10-20 12:00,2025-10-20 13:20,BUY,4263.1,4255.15,4271.05,SL,-8.15,0.632
2025-10-20 13:00,2025-10-20 13:10,SELL,4264.99,4269.57,4260.41,TP,4.38,0.583
2025-10-20 13:50,2025-10-20 14:00,BUY,4245.98,4237.58,4254.38,SL,-8.6,0.577
2025-10-20 14:40,2025-10-20 15:05,BUY,4234.56,4222.24,4246.88,TP,12.12,0.663
2025-10-20 15:30,2025-10-20 16:35,BUY,4254.95,4244.63,4265.27,TP,10.12,0.675
2025-10-20 16:20,2025-10-20 16:35,BUY,4258.67,4252.34,4265.0,TP,6.13,0.551
2025-10-20 17:25,2025-10-20 17:40,BUY,4252.25,4246.27,4258.23,TP,5.78,0.554
2025-10-20 18:30,2025-10-20 19:15,BUY,4253.67,4246.47,4260.87,TP,7.0,0.564
2025-10-20 19:20,2025-10-20 19:55,BUY,4262.37,4255.52,4269.22,TP,6.65,0.565
2025-10-20 20:10,2025-10-20 20:15,BUY,4281.26,4273.7,4288.82,TP,7.36,0.595
2025-10-20 21:40,2025-10-20 22:00,BUY,4308.17,4294.62,4321.72,SL,-13.75,0.603
2025-10-20 22:30,2025-10-20 23:00,BUY,4320.52,4305.12,4335.92,TP,15.2,0.575
2025-10-20 23:20,2025-10-21 02:30,BUY,4346.57,4334.57,4358.57,TP,11.8,0.678
2025-10-21 00:10,2025-10-21 02:25,BUY,4345.87,4336.98,4354.76,TP,8.69,0.582
2025-10-21 01:00,2025-10-21 01:15,BUY,4348.94,4342.21,4355.67,SL,-6.93,0.578
2025-10-21 02:25,2025-10-21 02:35,BUY,4357.77,4351.3,4364.24,TP,6.27,0.557
2025-10-21 03:15,2025-10-21 03:50,BUY,4367.03,4360.91,4373.15,TP,5.92,0.568
2025-10-21 07:00,2025-10-21 07:25,BUY,4371.55,4361.96,4381.14,SL,-9.79,0.643
2025-10-21 07:50,2025-10-21 08:20,BUY,4359.48,4352.59,4366.37,TP,6.69,0.641
2025-10-21 08:40,2025-10-21 09:00,BUY,4369.82,4362.99,4376.65,SL,-7.03,0.592
2025-10-21 09:35,2025-10-21 09:55,BUY,4340.48,4330.48,4350.48,TP,9.8,0.582
2025-10-21 10:25,2025-10-21 10:35,BUY,4350.48,4338.73,4362.23,SL,-11.95,0.699
2025-10-21 11:15,2025-10-21 13:05,BUY,4342.35,4333.81,4350.89,SL,-8.74,0.657
