label,days,date,total,S87_MAIN,S87_D1_LAST_INV,S87_D1_REV,S87_H12_TURN,demo_allin_total
S82+S87_D1_LAST_INVx4.6,90,2026-02-18,-965.9613,0.0,0.0,0.0,0.0,-965.9613
S82+S87_D1_LAST_INVx4.6,120,2026-02-19,-991.2743,0.0,-53.958,0.0,0.0,-937.3163
S82+S87_D1_LAST_INVx4.6,150,2025-12-18,-998.7615,-963.8915,0.0,0.0,0.0,-34.87
S82+S87_D1_LAST_INVx4.6,180,2026-02-19,-1053.6443,0.0,-53.958,0.0,0.0,-999.6863
S82+S87_D1_LAST_INVx4.5,90,2026-02-18,-965.9613,0.0,0.0,0.0,0.0,-965.9613
S82+S87_D1_LAST_INVx4.5,120,2026-02-19,-990.1013,0.0,-52.785,0.0,0.0,-937.3163
S82+S87_D1_LAST_INVx4.5,150,2025-12-18,-998.7615,-963.8915,0.0,0.0,0.0,-34.87
S82+S87_D1_LAST_INVx4.5,180,2026-02-19,-1052.4713,0.0,-52.785,0.0,0.0,-999.6863
S82+S87_D1_LAST_INVx4.4,90,2026-02-18,-965.9613,0.0,0.0,0.0,0.0,-965.9613
S82+S87_D1_LAST_INVx4.4,120,2026-02-19,-988.9283,0.0,-51.612,0.0,0.0,-937.3163
S82+S87_D1_LAST_INVx4.4,150,2025-12-18,-998.7615,-963.8915,0.0,0.0,0.0,-34.87
S82+S87_D1_LAST_INVx4.4,180,2026-02-19,-1051.2983,0.0,-51.612,0.0,0.0,-999.6863
S82+S87_D1_LAST_INVx4.3,90,2026-02-18,-965.9613,0.0,0.0,0.0,0.0,-965.9613
S82+S87_D1_LAST_INVx4.3,120,2026-02-19,-987.7553,0.0,-50.439,0.0,0.0,-937.3163
S82+S87_D1_LAST_INVx4.3,150,2025-12-18,-998.7615,-963.8915,0.0,0.0,0.0,-34.87
S82+S87_D1_LAST_INVx4.3,180,2026-02-19,-1050.1253,0.0,-50.439,0.0,0.0,-999.6863
S82+S87_D1_LAST_INVx4.2,90,2026-02-18,-965.9613,0.0,0.0,0.0,0.0,-965.9613
S82+S87_D1_LAST_INVx4.2,120,2026-02-19,-986.5823,0.0,-49.266,0.0,0.0,-937.3163
S82+S87_D1_LAST_INVx4.2,150,2025-12-18,-998.7615,-963.8915,0.0,0.0,0.0,-34.87
S82+S87_D1_LAST_INVx4.2,180,2026-02-19,-1048.9523,0.0,-49.266,0.0,0.0,-999.6863
S82+S87_D1_LAST_INVx4.1,90,2026-02-18,-965.9613,0.0,0.0,0.0,0.0,-965.9613
S82+S87_D1_LAST_INVx4.1,120,2026-02-19,-985.4093,0.0,-48.093,0.0,0.0,-937.3163
S82+S87_D1_LAST_INVx4.1,150,2025-12-18,-998.7615,-963.8915,0.0,0.0,0.0,-34.87
S82+S87_D1_LAST_INVx4.1,180,2026-02-19,-1047.7793,0.0,-48.093,0.0,0.0,-999.6863
