date,trades,win,loss,net_profit,win_rate
2026-02-27,2,2,0,14.1,100.0
2026-03-02,2,0,2,-18.48,0.0
2026-03-03,2,0,2,-24.4,0.0
2026-03-04,2,1,1,19.59,50.0
2026-03-05,3,0,3,-9.82,0.0
2026-03-06,3,0,3,-15.01,0.0
2026-03-07,1,0,1,-2.9,0.0
2026-03-09,2,1,1,16.41,50.0
2026-03-10,2,0,2,-10.57,0.0
2026-03-11,5,2,3,20.66,40.0
2026-03-13,1,0,1,-3.75,0.0
2026-03-14,1,0,1,-4.67,0.0
2026-03-18,2,0,2,-10.22,0.0
2026-03-20,1,0,1,-7.45,0.0
2026-03-23,5,3,2,172.58,60.0
2026-03-24,1,1,0,32.36,100.0
2026-03-25,2,1,1,12.83,50.0
2026-03-26,2,0,2,-9.99,0.0
2026-03-27,1,0,1,-4.44,0.0
2026-03-28,1,0,1,-4.42,0.0
2026-03-30,3,0,3,-19.26,0.0
2026-03-31,4,1,3,4.8,25.0
2026-04-01,2,0,2,-7.89,0.0
2026-04-06,1,0,1,-6.36,0.0
2026-04-07,5,1,4,-8.55,20.0
2026-04-09,1,1,0,8.09,100.0
2026-04-10,3,1,2,3.31,33.33
2026-04-11,1,0,1,-2.41,0.0
2026-04-14,3,0,3,-7.6,0.0
2026-04-15,2,0,2,-5.55,0.0
2026-04-16,2,0,2,-9.08,0.0
2026-04-17,6,0,6,-13.47,0.0
2026-04-21,3,0,3,-7.01,0.0
2026-04-22,1,0,1,-2.21,0.0
2026-04-23,2,0,2,-3.97,0.0
2026-04-25,2,0,2,-7.29,0.0
2026-04-29,3,1,2,2.41,33.33
2026-04-30,2,0,2,-6.12,0.0
2026-05-02,1,0,1,-7.56,0.0
2026-05-04,1,1,0,8.16,100.0
2026-05-05,2,0,2,-3.14,0.0
2026-05-06,3,2,1,38.03,66.67
2026-05-07,4,3,1,29.82,75.0
2026-05-08,1,1,0,12.49,100.0
2026-05-11,1,0,1,-3.7,0.0
2026-05-12,1,0,1,-3.7,0.0
2026-05-13,3,0,3,-6.38,0.0
2026-05-14,3,0,3,-9.96,0.0
2026-05-16,1,1,0,11.68,100.0
2026-05-20,3,0,3,-10.64,0.0
2026-05-21,4,2,2,14.18,50.0
2026-05-22,2,0,2,-3.89,0.0
2026-05-23,1,0,1,-4.44,0.0
2026-05-26,4,0,4,-8.66,0.0
2026-05-27,4,0,4,-10.67,0.0
2026-05-28,4,1,3,2.85,25.0
2026-05-30,1,0,1,-7.18,0.0
2026-06-02,2,0,2,-5.87,0.0
2026-06-03,1,0,1,-4.27,0.0
2026-06-04,2,0,2,-8.0,0.0
2026-06-05,2,1,1,0.93,50.0
2026-06-08,2,1,1,13.77,50.0
2026-06-09,1,0,1,-3.21,0.0
2026-06-11,5,2,3,28.84,40.0
2026-06-12,4,2,2,32.94,50.0
2026-06-15,1,0,1,-3.53,0.0
2026-06-16,2,0,2,-9.32,0.0
2026-06-17,4,0,4,-7.8,0.0
2026-06-19,2,1,1,16.93,50.0
2026-06-23,3,2,1,17.22,66.67
2026-06-24,1,1,0,17.36,100.0
2026-06-25,5,3,2,35.14,60.0
2026-06-26,1,0,1,-2.69,0.0
2026-06-29,1,1,0,12.56,100.0
2026-06-30,2,0,2,-11.19,0.0
2026-07-03,1,1,0,9.11,100.0
2026-07-06,1,0,1,-2.5,0.0
2026-07-07,2,0,2,-7.12,0.0
2026-07-08,1,0,1,-4.68,0.0
2026-07-09,4,0,4,-8.88,0.0
2026-07-10,2,1,1,5.1,50.0
