weight,pass_floor_streak,avg_day,min_day,worst_day
212.196,False,762.7226,707.2042,-1000.91015
212.197,False,762.7227,707.2044,-1000.91735
212.198,False,762.7227,707.2046,-1000.92455
212.199,False,762.7228,707.2048,-1000.93175
212.2,False,762.7229,707.205,-1000.93895
212.201,False,762.723,707.2051,-1000.94615
212.202,False,762.723,707.2053,-1000.95335
212.203,False,762.7231,707.2055,-1000.96055
212.204,False,762.7232,707.2057,-1000.96775
212.205,False,762.7233,707.2059,-1000.97495
212.206,False,762.7233,707.2061,-1000.98215
212.207,False,762.7234,707.2063,-1000.98935
212.208,False,762.7235,707.2065,-1000.99655
212.209,False,762.7236,707.2066,-1001.00375
212.21,False,762.7236,707.2068,-1001.01095
212.211,False,762.7237,707.207,-1001.01815
212.212,False,762.7238,707.2072,-1001.02535
212.213,False,762.7239,707.2074,-1001.03255
212.214,False,762.7239,707.2076,-1001.03975
212.215,False,762.724,707.2078,-1001.04695
212.216,False,762.7241,707.208,-1001.05415
212.217,False,762.7242,707.2081,-1001.06135
212.218,False,762.7242,707.2083,-1001.06855
212.219,False,762.7243,707.2085,-1001.07575
212.22,False,762.7244,707.2087,-1001.08295
212.221,False,762.7245,707.2089,-1001.09015
212.222,False,762.7245,707.2091,-1001.09735
212.223,False,762.7246,707.2093,-1001.10455
212.224,False,762.7247,707.2095,-1001.11175
212.225,False,762.7248,707.2096,-1001.11895
212.226,False,762.7248,707.2098,-1001.12615
212.227,False,762.7249,707.21,-1001.13335
212.228,False,762.725,707.2102,-1001.14055
212.229,False,762.7251,707.2104,-1001.14775
212.23,False,762.7251,707.2106,-1001.15495
212.231,False,762.7252,707.2108,-1001.16215
212.232,False,762.7253,707.211,-1001.16935
212.233,False,762.7254,707.2111,-1001.17655
212.234,False,762.7254,707.2113,-1001.18375
212.235,False,762.7255,707.2115,-1001.19095
212.236,False,762.7256,707.2117,-1001.19815
212.237,False,762.7257,707.2119,-1001.20535
212.238,False,762.7257,707.2121,-1001.21255
212.239,False,762.7258,707.2123,-1001.21975
212.24,False,762.7259,707.2125,-1001.22695
212.241,False,762.726,707.2126,-1001.23415
212.242,False,762.726,707.2128,-1001.24135
212.243,False,762.7261,707.213,-1001.24855
