date,trades,win,loss,net_profit,win_rate
2026-03-04,1,1,0,22.18,100.0
2026-03-05,1,1,0,51.33,100.0
2026-03-06,1,1,0,23.43,100.0
2026-03-10,2,0,2,-29.95,0.0
2026-03-11,1,0,1,-16.99,0.0
2026-03-16,1,0,1,-16.04,0.0
2026-03-25,1,1,0,30.77,100.0
2026-04-10,1,1,0,18.76,100.0
2026-04-13,1,1,0,13.19,100.0
2026-04-21,1,1,0,9.08,100.0
2026-04-28,1,1,0,14.16,100.0
2026-05-04,1,0,1,-8.62,0.0
2026-05-07,1,1,0,17.26,100.0
2026-05-14,2,2,0,31.81,100.0
2026-05-18,1,1,0,19.74,100.0
2026-05-21,1,0,1,-15.53,0.0
2026-05-28,1,0,1,-14.34,0.0
2026-05-29,1,1,0,15.74,100.0
2026-06-16,1,1,0,8.0,100.0
2026-06-17,1,1,0,9.6,100.0
2026-06-18,2,2,0,91.8,100.0
2026-06-25,1,1,0,16.08,100.0
2026-06-29,1,0,1,-13.32,0.0
2026-07-01,1,1,0,13.24,100.0
2026-07-02,1,1,0,12.12,100.0
