date,trades,win,loss,net_profit,win_rate
2026-04-15,2,0,2,-21.89,0.0
2026-04-16,2,2,0,53.18,100.0
2026-04-21,1,0,1,-18.78,0.0
2026-04-23,1,1,0,11.31,100.0
2026-04-24,2,1,1,6.91,50.0
2026-04-30,1,0,1,-21.75,0.0
2026-05-04,2,1,1,42.01,50.0
2026-05-07,2,2,0,62.17,100.0
2026-05-08,1,0,1,-32.1,0.0
2026-05-14,1,0,1,-9.67,0.0
2026-05-18,2,0,2,-25.41,0.0
2026-05-20,2,0,2,-32.72,0.0
2026-05-22,1,1,0,21.64,100.0
2026-05-25,1,0,1,-30.29,0.0
2026-05-27,1,0,1,-17.42,0.0
2026-06-02,1,1,0,17.6,100.0
2026-06-05,1,0,1,-8.22,0.0
2026-06-08,1,0,1,-16.88,0.0
2026-06-09,1,1,0,23.23,100.0
2026-06-11,1,0,1,-41.33,0.0
2026-06-12,1,1,0,83.29,100.0
2026-06-16,3,2,1,43.58,66.67
2026-06-17,2,1,1,13.83,50.0
2026-06-23,2,2,0,19.79,100.0
2026-06-25,3,1,2,-73.95,33.33
2026-06-26,1,1,0,39.93,100.0
2026-06-30,1,0,1,-7.22,0.0
2026-07-01,1,0,1,-22.75,0.0
2026-07-02,1,1,0,57.7,100.0
2026-07-06,2,0,2,-46.84,0.0
2026-07-07,1,0,1,-21.72,0.0
2026-07-09,2,0,2,-57.15,0.0
2026-07-10,2,0,2,-21.14,0.0
