timestamp,label,entry_tf,min_gap_atr,max_gap_age_bars,retrace_entry_pct,sl_atr_mult,tp_rr,risk_pct,trades,wr,avg_per_day_span,avg_per_month,max_dd_pct,profit_factor,pct_pos_days,max_losing_day_streak,sharpe_like,final_equity
2026-06-27 07:50:01,smoke_baseline,M5,0.15,20,0.5,1.0,1.0,0.5,63,58.7,0.42,12.6,10.29,1.14,50.0,3,0.058,1038.23
2026-06-27 07:55:47,robust36_30d,M5,0.25,15,0.5,1.0,0.8,0.5,33,81.8,4.71,141.3,0.83,4.89,72.7,1,0.708,1141.43
2026-06-27 07:55:50,robust36_45d,M5,0.25,15,0.5,1.0,0.8,0.5,48,72.9,2.68,80.4,2.78,2.25,62.5,2,0.397,1120.55
2026-06-27 07:55:55,robust36_60d,M5,0.25,15,0.5,1.0,0.8,0.5,65,69.2,2.35,70.5,3.82,1.94,59.5,2,0.338,1141.2
2026-06-27 07:56:00,robust36_90d,M5,0.25,15,0.5,1.0,0.8,0.5,69,63.8,1.37,41.1,7.0,1.53,54.3,4,0.155,1123.7
2026-06-27 07:56:06,robust36_120d,M5,0.25,15,0.5,1.0,0.8,0.5,85,58.8,0.76,22.8,7.6,1.27,48.3,4,0.093,1091.07
2026-06-27 07:56:13,robust36_150d,M5,0.25,15,0.5,1.0,0.8,0.5,117,60.7,0.78,23.4,7.4,1.29,53.3,4,0.102,1117.5
