idx,tf,n_dir,dir_sum,dir_pf,n_inv,inv_sum,inv_pf,cfg_str
0,M15,322,-8.99,0.0,322,-62.9,0.0,S86RUN_M15_lb48_imp1.6_zt0.06_body0.08_ratio0.2_tr1_tl12_tm0.6_swing_old_sl0.2_rr1
1,M15,322,140.46,0.0,322,-107.59,0.0,S86RUN_M15_lb48_imp1.6_zt0.06_body0.08_ratio0.2_tr1_tl12_tm0.6_swing_old_sl0.2_rr1.3
2,M15,322,417.51,0.0,322,-32.55,0.0,S86RUN_M15_lb48_imp1.6_zt0.06_body0.08_ratio0.2_tr1_tl12_tm0.6_swing_rr_sl0.2_rr1
3,M15,322,584.42,0.0,322,111.6,0.0,S86RUN_M15_lb48_imp1.6_zt0.06_body0.08_ratio0.2_tr1_tl12_tm0.6_swing_rr_sl0.2_rr1.3
4,M15,320,63.31,0.0,320,-257.34,0.0,S86RUN_M15_lb48_imp1.6_zt0.06_body0.08_ratio0.2_tr1_tl12_tm0.6_swing_old_sl0.35_rr1
5,M15,320,232.94,0.0,320,-300.14,0.0,S86RUN_M15_lb48_imp1.6_zt0.06_body0.08_ratio0.2_tr1_tl12_tm0.6_swing_old_sl0.35_rr1.3
6,M15,320,677.03,0.0,320,-857.05,0.0,S86RUN_M15_lb48_imp1.6_zt0.06_body0.08_ratio0.2_tr1_tl12_tm0.6_swing_rr_sl0.35_rr1
7,M15,320,956.87,0.0,320,-900.21,0.0,S86RUN_M15_lb48_imp1.6_zt0.06_body0.08_ratio0.2_tr1_tl12_tm0.6_swing_rr_sl0.35_rr1.3
8,M15,324,495.01,0.0,324,-181.76,0.0,S86RUN_M15_lb48_imp1.6_zt0.06_body0.08_ratio0.2_tr1_tl12_tm0.6_zone_old_sl0.2_rr1
9,M15,324,309.16,0.0,324,-101.27,0.0,S86RUN_M15_lb48_imp1.6_zt0.06_body0.08_ratio0.2_tr1_tl12_tm0.6_zone_old_sl0.2_rr1.3
10,M15,324,339.67,0.0,324,223.1,0.0,S86RUN_M15_lb48_imp1.6_zt0.06_body0.08_ratio0.2_tr1_tl12_tm0.6_zone_rr_sl0.2_rr1
11,M15,324,884.85,0.0,324,203.58,0.0,S86RUN_M15_lb48_imp1.6_zt0.06_body0.08_ratio0.2_tr1_tl12_tm0.6_zone_rr_sl0.2_rr1.3
12,M15,324,274.51,0.0,324,-190.29,0.0,S86RUN_M15_lb48_imp1.6_zt0.06_body0.08_ratio0.2_tr1_tl12_tm0.6_zone_old_sl0.35_rr1
13,M15,324,227.94,0.0,324,-167.89,0.0,S86RUN_M15_lb48_imp1.6_zt0.06_body0.08_ratio0.2_tr1_tl12_tm0.6_zone_old_sl0.35_rr1.3
14,M15,324,403.26,0.0,324,360.68,0.0,S86RUN_M15_lb48_imp1.6_zt0.06_body0.08_ratio0.2_tr1_tl12_tm0.6_zone_rr_sl0.35_rr1
15,M15,324,630.48,0.0,324,260.56,0.0,S86RUN_M15_lb48_imp1.6_zt0.06_body0.08_ratio0.2_tr1_tl12_tm0.6_zone_rr_sl0.35_rr1.3
16,M15,232,63.71,0.0,232,15.03,0.0,S86RUN_M15_lb48_imp1.6_zt0.06_body0.08_ratio0.2_tr1_tl12_tm1_swing_old_sl0.2_rr1
17,M15,232,165.4,0.0,232,-31.31,0.0,S86RUN_M15_lb48_imp1.6_zt0.06_body0.08_ratio0.2_tr1_tl12_tm1_swing_old_sl0.2_rr1.3
18,M15,232,-116.21,0.0,232,-254.3,0.0,S86RUN_M15_lb48_imp1.6_zt0.06_body0.08_ratio0.2_tr1_tl12_tm1_swing_rr_sl0.2_rr1
19,M15,232,-94.55,0.0,232,-211.9,0.0,S86RUN_M15_lb48_imp1.6_zt0.06_body0.08_ratio0.2_tr1_tl12_tm1_swing_rr_sl0.2_rr1.3
20,M15,230,163.89,0.0,230,32.25,0.0,S86RUN_M15_lb48_imp1.6_zt0.06_body0.08_ratio0.2_tr1_tl12_tm1_swing_old_sl0.35_rr1
21,M15,230,279.75,0.0,230,14.38,0.0,S86RUN_M15_lb48_imp1.6_zt0.06_body0.08_ratio0.2_tr1_tl12_tm1_swing_old_sl0.35_rr1.3
22,M15,230,-202.53,0.0,230,-107.27,0.0,S86RUN_M15_lb48_imp1.6_zt0.06_body0.08_ratio0.2_tr1_tl12_tm1_swing_rr_sl0.35_rr1
23,M15,230,76.13,0.0,230,-8.33,0.0,S86RUN_M15_lb48_imp1.6_zt0.06_body0.08_ratio0.2_tr1_tl12_tm1_swing_rr_sl0.35_rr1.3
24,M15,233,469.89,0.0,233,48.79,0.0,S86RUN_M15_lb48_imp1.6_zt0.06_body0.08_ratio0.2_tr1_tl12_tm1_zone_old_sl0.2_rr1
25,M15,233,326.34,0.0,233,105.97,0.0,S86RUN_M15_lb48_imp1.6_zt0.06_body0.08_ratio0.2_tr1_tl12_tm1_zone_old_sl0.2_rr1.3
26,M15,233,299.11,0.0,233,208.27,0.0,S86RUN_M15_lb48_imp1.6_zt0.06_body0.08_ratio0.2_tr1_tl12_tm1_zone_rr_sl0.2_rr1
27,M15,233,699.56,0.0,233,100.68,0.0,S86RUN_M15_lb48_imp1.6_zt0.06_body0.08_ratio0.2_tr1_tl12_tm1_zone_rr_sl0.2_rr1.3
28,M15,233,321.85,0.0,233,120.16,0.0,S86RUN_M15_lb48_imp1.6_zt0.06_body0.08_ratio0.2_tr1_tl12_tm1_zone_old_sl0.35_rr1
29,M15,233,239.35,0.0,233,157.21,0.0,S86RUN_M15_lb48_imp1.6_zt0.06_body0.08_ratio0.2_tr1_tl12_tm1_zone_old_sl0.35_rr1.3
30,M15,233,307.03,0.0,233,257.83,0.0,S86RUN_M15_lb48_imp1.6_zt0.06_body0.08_ratio0.2_tr1_tl12_tm1_zone_rr_sl0.35_rr1
31,M15,233,745.49,0.0,233,4.87,0.0,S86RUN_M15_lb48_imp1.6_zt0.06_body0.08_ratio0.2_tr1_tl12_tm1_zone_rr_sl0.35_rr1.3
32,M15,301,171.37,0.0,301,61.22,0.0,S86RUN_M15_lb48_imp1.6_zt0.06_body0.08_ratio0.2_tr1_tl16_tm0.6_swing_old_sl0.2_rr1
33,M15,301,184.49,0.0,301,3.25,0.0,S86RUN_M15_lb48_imp1.6_zt0.06_body0.08_ratio0.2_tr1_tl16_tm0.6_swing_old_sl0.2_rr1.3
34,M15,301,914.7,0.0,301,95.82,0.0,S86RUN_M15_lb48_imp1.6_zt0.06_body0.08_ratio0.2_tr1_tl16_tm0.6_swing_rr_sl0.2_rr1
35,M15,301,985.68,0.0,301,-71.03,0.0,S86RUN_M15_lb48_imp1.6_zt0.06_body0.08_ratio0.2_tr1_tl16_tm0.6_swing_rr_sl0.2_rr1.3
36,M15,299,390.31,0.0,299,-197.73,0.0,S86RUN_M15_lb48_imp1.6_zt0.06_body0.08_ratio0.2_tr1_tl16_tm0.6_swing_old_sl0.35_rr1
37,M15,299,423.42,0.0,299,-259.37,0.0,S86RUN_M15_lb48_imp1.6_zt0.06_body0.08_ratio0.2_tr1_tl16_tm0.6_swing_old_sl0.35_rr1.3
38,M15,299,1268.53,0.0,299,-288.0,0.0,S86RUN_M15_lb48_imp1.6_zt0.06_body0.08_ratio0.2_tr1_tl16_tm0.6_swing_rr_sl0.35_rr1
39,M15,299,1382.42,0.0,299,-533.86,0.0,S86RUN_M15_lb48_imp1.6_zt0.06_body0.08_ratio0.2_tr1_tl16_tm0.6_swing_rr_sl0.35_rr1.3
40,M15,304,351.13,0.0,304,-87.01,0.0,S86RUN_M15_lb48_imp1.6_zt0.06_body0.08_ratio0.2_tr1_tl16_tm0.6_zone_old_sl0.2_rr1
41,M15,304,184.22,0.0,304,51.82,0.0,S86RUN_M15_lb48_imp1.6_zt0.06_body0.08_ratio0.2_tr1_tl16_tm0.6_zone_old_sl0.2_rr1.3
42,M15,304,549.14,0.0,304,-51.67,0.0,S86RUN_M15_lb48_imp1.6_zt0.06_body0.08_ratio0.2_tr1_tl16_tm0.6_zone_rr_sl0.2_rr1
43,M15,304,581.67,0.0,304,-252.09,0.0,S86RUN_M15_lb48_imp1.6_zt0.06_body0.08_ratio0.2_tr1_tl16_tm0.6_zone_rr_sl0.2_rr1.3
44,M15,304,273.02,0.0,304,-6.91,0.0,S86RUN_M15_lb48_imp1.6_zt0.06_body0.08_ratio0.2_tr1_tl16_tm0.6_zone_old_sl0.35_rr1
45,M15,304,80.1,0.0,304,45.27,0.0,S86RUN_M15_lb48_imp1.6_zt0.06_body0.08_ratio0.2_tr1_tl16_tm0.6_zone_old_sl0.35_rr1.3
46,M15,304,576.72,0.0,304,-58.62,0.0,S86RUN_M15_lb48_imp1.6_zt0.06_body0.08_ratio0.2_tr1_tl16_tm0.6_zone_rr_sl0.35_rr1
47,M15,304,589.91,0.0,304,-159.71,0.0,S86RUN_M15_lb48_imp1.6_zt0.06_body0.08_ratio0.2_tr1_tl16_tm0.6_zone_rr_sl0.35_rr1.3
48,M15,217,180.79,0.0,217,56.91,0.0,S86RUN_M15_lb48_imp1.6_zt0.06_body0.08_ratio0.2_tr1_tl16_tm1_swing_old_sl0.2_rr1
49,M15,217,214.34,0.0,217,-0.45,0.0,S86RUN_M15_lb48_imp1.6_zt0.06_body0.08_ratio0.2_tr1_tl16_tm1_swing_old_sl0.2_rr1.3
50,M15,217,779.37,0.0,217,-193.77,0.0,S86RUN_M15_lb48_imp1.6_zt0.06_body0.08_ratio0.2_tr1_tl16_tm1_swing_rr_sl0.2_rr1
51,M15,217,654.67,0.0,217,-379.19,0.0,S86RUN_M15_lb48_imp1.6_zt0.06_body0.08_ratio0.2_tr1_tl16_tm1_swing_rr_sl0.2_rr1.3
52,M15,215,292.78,0.0,215,-24.77,0.0,S86RUN_M15_lb48_imp1.6_zt0.06_body0.08_ratio0.2_tr1_tl16_tm1_swing_old_sl0.35_rr1
53,M15,215,328.91,0.0,215,-85.25,0.0,S86RUN_M15_lb48_imp1.6_zt0.06_body0.08_ratio0.2_tr1_tl16_tm1_swing_old_sl0.35_rr1.3
54,M15,215,-78.06,0.0,215,-514.81,0.0,S86RUN_M15_lb48_imp1.6_zt0.06_body0.08_ratio0.2_tr1_tl16_tm1_swing_rr_sl0.35_rr1
55,M15,215,-121.1,0.0,215,-665.53,0.0,S86RUN_M15_lb48_imp1.6_zt0.06_body0.08_ratio0.2_tr1_tl16_tm1_swing_rr_sl0.35_rr1.3
56,M15,219,272.77,0.0,219,-126.73,0.0,S86RUN_M15_lb48_imp1.6_zt0.06_body0.08_ratio0.2_tr1_tl16_tm1_zone_old_sl0.2_rr1
57,M15,219,-164.36,0.0,219,-93.34,0.0,S86RUN_M15_lb48_imp1.6_zt0.06_body0.08_ratio0.2_tr1_tl16_tm1_zone_old_sl0.2_rr1.3
58,M15,219,466.26,0.0,219,-12.74,0.0,S86RUN_M15_lb48_imp1.6_zt0.06_body0.08_ratio0.2_tr1_tl16_tm1_zone_rr_sl0.2_rr1
