date,trades,net_profit
2025-10-16,1,-15.38
2025-10-24,1,-15.15
2025-11-03,2,32.18
2025-11-05,1,-10.59
2025-11-07,2,42.14
2025-11-11,1,-6.96
2025-11-12,1,-6.82
2025-11-13,2,-37.11
2025-11-14,2,-30.910000000000004
2025-11-26,2,2.16
2025-11-28,2,57.04
2025-12-02,1,18.45
2025-12-03,4,57.49
2025-12-04,1,-12.88
2025-12-11,1,-14.14
2025-12-15,2,-26.65
2025-12-18,3,18.2
2025-12-19,4,-36.07
2025-12-22,2,-27.49
2025-12-23,1,-13.99
2025-12-24,1,-15.7
2025-12-26,1,-12.53
2026-01-07,2,-35.36
2026-01-13,1,-6.43
2026-01-14,4,57.010000000000005
2026-01-15,1,30.39
2026-01-16,1,20.99
2026-01-21,1,-22.63
2026-01-27,1,30.74
2026-02-05,1,-40.53
2026-02-10,2,17.45
2026-02-12,1,27.87
2026-02-13,3,-81.12
2026-02-17,2,195.38
2026-02-23,1,45.53
2026-02-24,1,-14.96
2026-02-25,1,35.24
2026-03-02,2,-90.45
2026-03-04,2,135.54000000000002
2026-03-11,2,-28.35
2026-03-13,1,-21.55
2026-03-20,1,-21.55
2026-03-23,1,292.6
2026-03-31,1,-17.06
2026-04-01,1,-13.45
2026-04-08,1,-28.55
2026-04-10,2,27.620000000000005
2026-04-13,2,2.780000000000001
2026-04-20,1,-15.96
2026-04-23,1,42.42
2026-04-27,1,-8.52
2026-04-29,1,-9.99
2026-05-04,1,-10.24
2026-05-13,1,-13.91
2026-05-28,1,-17.15
2026-05-29,1,-8.6
2026-06-03,2,-17.49
2026-06-05,1,32.98
2026-06-09,1,9.74
2026-06-22,2,51.96
2026-07-02,2,-20.89
2026-07-03,1,-8.98
2026-07-09,1,-12.7
2026-07-10,1,-6.26
