fold,train,test,is_avg,oos_avg,is_sharpe,oos_sharpe,oos_worst,af2000_w_on_test,n_legs_used
1,2024-05-28..2024-11-08,2024-11-11..2024-12-18,729.43,359.62,13.85,5.52,-1124.5,68609.23,81
2,2024-07-08..2024-12-18,2024-12-19..2025-01-30,793.12,-141.7,13.27,-3.29,-1989.0,124416.0,80
3,2024-08-19..2025-01-30,2025-01-31..2025-03-13,690.06,204.61,13.01,4.79,-1088.0,45355.29,81
4,2024-09-30..2025-03-13,2025-03-14..2025-04-25,681.12,95.38,13.02,1.55,-3871.5,2132.76,81
5,2024-11-11..2025-04-25,2025-04-28..2025-06-06,666.32,-118.52,14.18,-1.92,-2091.0,2162.54,82
6,2024-12-19..2025-06-06,2025-06-09..2025-07-17,631.96,229.32,10.41,4.42,-1013.0,1325.48,82
7,2025-01-31..2025-07-17,2025-07-18..2025-08-28,785.09,266.08,11.68,5.42,-1370.0,2154.67,81
8,2025-03-14..2025-08-28,2025-08-29..2025-10-09,788.5,70.03,11.74,1.39,-1966.0,61996.39,82
9,2025-04-28..2025-10-09,2025-10-10..2025-11-20,669.14,474.07,11.41,4.92,-1259.5,2104.72,81
10,2025-06-09..2025-11-20,2025-11-21..2026-01-05,814.81,373.85,12.39,6.74,-1556.2,2415.46,83
11,2025-07-18..2026-01-05,2026-01-06..2026-02-16,815.46,504.72,11.68,6.39,-894.4,2589.49,84
12,2025-08-29..2026-02-16,2026-02-17..2026-03-30,1015.47,753.39,10.3,4.51,-8466.5,2256.31,82
13,2025-10-10..2026-03-30,2026-03-31..2026-05-12,1233.74,618.46,8.77,6.1,-2895.0,1898.69,83
14,2025-11-21..2026-05-12,2026-05-13..2026-06-23,1139.08,740.1,8.36,6.26,-1681.0,2348.16,85
