signal_time,exit_time,direction,entry,sl,tp,outcome,profit,pattern,reason
2026-05-19T07:45:00+07:00,2026-05-19T07:50:00+07:00,BUY,4583.04,4582.32,4590.25,SL,-0.92,S153 BUY Skew Tail Resume 10R,Invert failed S152 SELL snapback at opposite wick; risk=0.20ATR
2026-05-20T23:05:00+07:00,2026-05-20T23:15:00+07:00,BUY,4523.88,4521.75,4545.18,TP,21.1,S153 BUY Skew Tail Resume 10R,Invert failed S152 SELL snapback at opposite wick; risk=0.20ATR
2026-05-20T23:20:00+07:00,2026-05-20T23:25:00+07:00,BUY,4535.72,4533.22,4560.72,SL,-2.7,S153 BUY Skew Tail Resume 10R,Invert failed S152 SELL snapback at opposite wick; risk=0.20ATR
2026-05-22T15:40:00+07:00,2026-05-22T15:50:00+07:00,SELL,4520.94,4521.75,4512.83,SL,-1.01,S153 SELL Skew Tail Resume 10R,Invert failed S152 BUY snapback at opposite wick; risk=0.20ATR
2026-05-22T17:00:00+07:00,2026-05-22T17:15:00+07:00,SELL,4524.88,4525.74,4516.28,TP,8.4,S153 SELL Skew Tail Resume 10R,Invert failed S152 BUY snapback at opposite wick; risk=0.20ATR
2026-05-22T17:30:00+07:00,2026-05-22T17:35:00+07:00,SELL,4519.49,4520.35,4510.88,SL,-1.06,S153 SELL Skew Tail Resume 10R,Invert failed S152 BUY snapback at opposite wick; risk=0.20ATR
2026-05-25T06:50:00+07:00,2026-05-25T07:15:00+07:00,BUY,4562.34,4560.84,4577.34,TP,14.8,S153 BUY Skew Tail Resume 10R,Invert failed S152 SELL snapback at opposite wick; risk=0.20ATR
2026-05-27T19:35:00+07:00,2026-05-27T19:40:00+07:00,SELL,4441.81,4443.51,4424.81,SL,-1.9,S153 SELL Skew Tail Resume 10R,Invert failed S152 BUY snapback at opposite wick; risk=0.20ATR
2026-06-01T22:00:00+07:00,2026-06-01T22:05:00+07:00,SELL,4454.5,4456.66,4432.9,SL,-2.36,S153 SELL Skew Tail Resume 10R,Invert failed S152 BUY snapback at opposite wick; risk=0.20ATR
2026-06-05T21:00:00+07:00,2026-06-05T21:10:00+07:00,SELL,4418.52,4420.46,4399.12,BE,-0.2,S153 SELL Skew Tail Resume 10R,Invert failed S152 BUY snapback at opposite wick; risk=0.20ATR
2026-06-08T16:30:00+07:00,2026-06-08T16:45:00+07:00,SELL,4292.13,4293.37,4279.73,SL,-1.44,S153 SELL Skew Tail Resume 10R,Invert failed S152 BUY snapback at opposite wick; risk=0.20ATR
2026-06-08T18:35:00+07:00,2026-06-08T18:55:00+07:00,BUY,4299.29,4297.61,4316.1,BE,-0.2,S153 BUY Skew Tail Resume 10R,Invert failed S152 SELL snapback at opposite wick; risk=0.20ATR
2026-06-10T16:05:00+07:00,2026-06-10T16:15:00+07:00,SELL,4171.33,4172.79,4156.73,BE,-0.2,S153 SELL Skew Tail Resume 10R,Invert failed S152 BUY snapback at opposite wick; risk=0.20ATR
2026-06-10T16:35:00+07:00,2026-06-10T16:40:00+07:00,SELL,4175.84,4177.5,4159.24,SL,-1.86,S153 SELL Skew Tail Resume 10R,Invert failed S152 BUY snapback at opposite wick; risk=0.20ATR
2026-06-10T17:15:00+07:00,2026-06-10T17:30:00+07:00,SELL,4174.97,4176.46,4160.07,SL,-1.69,S153 SELL Skew Tail Resume 10R,Invert failed S152 BUY snapback at opposite wick; risk=0.20ATR
