leg_no,name,is_sum,is_avg,is_min,oos_sum,oos_avg,oos_min
0,S88,37661.201840000016,313.8433486666668,-999.8963,35786.62039999999,596.4436733333332,-902.2436
1,AMBFIX_INV_S84_M15_OLDWICK_FOLLOW_RD4.0_5.0_H17,-91.56227000000001,-0.7630189166666668,-784.32586,3657.30803,60.955133833333335,-696.2187700000001
2,AMBFIX_DIR_S84_RD2.7_3.4_H10,6692.61852,55.771821,-1373.14748,-1837.42084,-30.623680666666665,-1255.11188
3,AMBFIX_DIR_S84_RD2.7_3.4_H12,2561.5887000000002,21.3465725,-792.3453999999999,2295.8331,38.263884999999995,-804.6488999999999
4,AMBFIX_DIR_S84_RD5.0_7.0_H17,1311.1664299999998,10.926386916666665,-556.53164,2278.64693,37.977448833333334,0.0
5,AMBFIX_INV_S84_RD3.4_4.0_H11,1104.63828,9.205319,-1124.1894,2541.6456,42.36076,-1088.34568
6,AMBFIX_DIR_S84_RD5.0_7.0_H14,286.84439999999995,2.3903699999999994,-1538.7312,3233.1144,53.885239999999996,0.0
7,AMBFIX_INV_S84_RD4.0_5.0_H22,1188.2213999999992,9.901844999999993,-1211.4692100000002,2280.8684699999994,38.01447449999999,-1141.72578
8,AMBFIX_DIR_S84_RD5.0_7.0_H15,2668.2723800000003,22.23560316666667,-759.8699799999999,1131.0775200000003,18.851292000000004,-646.99496
9,AMBFIX_INV_S84_RD3.4_4.0_H19,3210.8696999999993,26.757247499999995,-852.6694500000001,750.4420499999998,12.507367499999996,-831.7593
10,AMBFIX_DIR_S84_RD5.0_7.0_H11,1732.505689999999,14.437547416666659,-1526.8104,1972.1300999999999,32.868835,0.0
11,AMBFIX_DIR_S84_RD3.4_4.0_H22,546.8301100000001,4.556917583333334,-1052.4418699999999,2121.37108,35.356184666666664,-1132.13068
