date,trades,win,loss,net_profit,win_rate
2025-10-16,1,1,0,10.98,100.0
2025-10-22,1,0,1,-17.59,0.0
2025-10-24,2,2,0,21.03,100.0
2025-10-31,1,1,0,5.78,100.0
2025-11-04,1,0,1,-4.81,0.0
2025-11-05,1,0,1,-4.15,0.0
2025-11-07,1,0,1,-5.23,0.0
2025-11-13,1,1,0,19.09,100.0
2025-11-21,1,0,1,-9.07,0.0
2025-11-26,1,1,0,7.02,100.0
2025-11-27,2,0,2,-7.75,0.0
2025-12-01,1,0,1,-5.8,0.0
2025-12-02,1,0,1,-3.36,0.0
2025-12-05,1,1,0,8.02,100.0
2025-12-08,1,0,1,-3.2,0.0
2025-12-11,1,1,0,5.88,100.0
2025-12-15,1,0,1,-3.86,0.0
2025-12-18,1,0,1,-6.65,0.0
2026-01-01,1,1,0,12.78,100.0
2026-01-02,1,0,1,-5.97,0.0
2026-01-05,1,0,1,-5.74,0.0
2026-01-06,2,1,1,0.9,50.0
2026-01-08,1,0,1,-4.51,0.0
2026-01-14,1,1,0,12.04,100.0
2026-01-15,1,0,1,-6.66,0.0
2026-01-23,2,1,1,6.77,50.0
2026-01-24,1,1,0,10.44,100.0
2026-01-27,2,1,1,17.54,50.0
2026-01-28,1,0,1,-8.82,0.0
2026-01-29,1,0,1,-13.61,0.0
2026-02-04,1,0,1,-10.45,0.0
2026-02-07,1,0,1,-6.11,0.0
2026-02-10,1,1,0,8.94,100.0
2026-02-13,2,2,0,44.07,100.0
2026-02-19,2,0,2,-10.76,0.0
2026-02-20,2,0,2,-15.78,0.0
2026-02-25,1,0,1,-6.36,0.0
2026-03-03,1,1,0,29.08,100.0
2026-03-04,1,0,1,-11.48,0.0
2026-03-06,1,0,1,-11.76,0.0
2026-03-10,1,0,1,-5.85,0.0
2026-03-11,1,1,0,13.4,100.0
2026-03-13,1,1,0,16.92,100.0
2026-03-20,1,1,0,12.76,100.0
2026-03-24,2,2,0,64.53,100.0
2026-03-25,1,1,0,25.68,100.0
2026-03-27,1,0,1,-12.78,0.0
2026-03-31,1,0,1,-5.67,0.0
2026-04-02,1,1,0,32.21,100.0
2026-04-10,1,1,0,12.89,100.0
2026-04-14,1,1,0,9.01,100.0
2026-04-24,1,0,1,-5.79,0.0
2026-04-27,1,1,0,5.64,100.0
2026-04-29,1,0,1,-5.94,0.0
2026-04-30,1,0,1,-16.91,0.0
2026-05-01,1,1,0,7.24,100.0
2026-05-07,1,0,1,-4.62,0.0
2026-05-11,1,0,1,-5.99,0.0
2026-05-13,1,0,1,-4.44,0.0
2026-05-14,2,0,2,-12.8,0.0
2026-05-15,1,0,1,-5.31,0.0
2026-05-22,1,0,1,-5.57,0.0
2026-05-27,2,0,2,-13.97,0.0
2026-06-03,1,0,1,-5.63,0.0
2026-06-04,1,0,1,-4.09,0.0
2026-06-05,1,0,1,-5.37,0.0
2026-06-09,1,0,1,-9.31,0.0
2026-06-12,2,2,0,43.26,100.0
2026-06-16,1,0,1,-5.59,0.0
2026-06-19,1,0,1,-7.13,0.0
2026-06-23,1,1,0,8.5,100.0
2026-06-25,1,0,1,-5.37,0.0
2026-07-02,1,1,0,13.19,100.0
2026-07-06,1,0,1,-7.13,0.0
2026-07-07,2,1,1,2.44,50.0
2026-07-08,1,0,1,-5.71,0.0
2026-07-09,1,0,1,-6.13,0.0
