timestamp,label,entry_tf,entry_pattern,confirmation_type,htf_tf,dd_control,min_gap_bars,trades,wr,total_pnl,avg_per_day_span,avg_per_month,avg_per_day_active,trades_per_active_day,n_days_with_trades,span_days,days_hit_1000,max_dd_usd,max_dd_pct,lot_min,lot_max,risk_pct,final_equity,max_consec_loss,avg_r_multiple,profit_factor,skipped_by_circuit_breaker,ema_fast,engulf_min_ratio,strong_close_pct,strong_body_atr,sl_atr_mult,tp_rr,htf_ema_period,consec_loss_trigger,cooldown_trades,sessions
2026-06-26 23:50:52,smoke_engulf_repro,M5,engulfing,htf_trend,M15,circuit_breaker,1,316,57.3,151.33,1.68,50.4,1.94,4.1,78,90,0,232.59,19.73,0.01,0.02,0.5,1151.33,5,0.1,1.1,170,8,1.3,0.7,0.5,0.5,0.8,50,3,10,"[('14:00', '23:00')]"
2026-06-26 23:51:00,smoke_family_m5,M5,family,htf_trend,M15,circuit_breaker,1,1040,58.4,493.88,5.49,164.7,4.89,10.3,101,90,0,311.25,19.74,0.01,0.02,0.5,1493.88,9,0.087,1.09,648,8,1.3,0.7,0.5,0.5,0.8,50,3,10,"[('14:00', '23:00')]"
2026-06-26 23:51:08,smoke_strong_m5,M5,strong_close,htf_trend,M15,circuit_breaker,1,900,57.7,409.54,4.55,136.5,4.1,9.0,100,90,0,304.32,18.56,0.01,0.02,0.5,1409.54,8,0.086,1.09,597,8,1.3,0.7,0.5,0.5,0.8,50,3,10,"[('14:00', '23:00')]"
2026-06-26 23:51:56,smoke_family_m1,M1,family,htf_trend,M15,circuit_breaker,1,3648,56.6,-460.91,-5.12,-153.6,-6.58,52.1,70,90,0,777.75,65.33,0.01,0.03,0.5,539.09,12,-0.028,0.94,2811,8,1.3,0.7,0.5,0.5,0.8,50,3,10,"[('14:00', '23:00')]"
2026-06-26 23:52:55,gA000_engulfing_r1.0_sc0.7_gap1_sl0.5_rr0.8,M5,engulfing,htf_trend,M15,circuit_breaker,1,397,60.2,390.83,4.34,130.2,4.71,4.8,83,90,0,141.08,11.42,0.01,0.02,0.5,1390.83,7,0.174,1.24,180,8,1.0,0.7,0.5,0.5,0.8,50,3,10,"[('14:00', '23:00')]"
2026-06-26 23:52:59,gA001_engulfing_r1.0_sc0.7_gap1_sl0.5_rr1.0,M5,engulfing,htf_trend,M15,circuit_breaker,1,337,53.4,392.22,4.36,130.8,4.9,4.2,80,90,0,104.73,8.25,0.01,0.02,0.5,1392.22,7,0.207,1.24,240,8,1.0,0.7,0.5,0.5,1.0,50,3,10,"[('14:00', '23:00')]"
2026-06-26 23:53:04,gA002_engulfing_r1.0_sc0.7_gap1_sl0.8_rr0.8,M5,engulfing,htf_trend,M15,circuit_breaker,1,365,59.7,503.25,5.59,167.7,6.21,4.5,81,90,0,129.35,10.37,0.01,0.01,0.5,1503.25,7,0.235,1.28,210,8,1.0,0.7,0.5,0.8,0.8,50,3,10,"[('14:00', '23:00')]"
2026-06-26 23:53:08,gA003_engulfing_r1.0_sc0.7_gap1_sl0.8_rr1.0,M5,engulfing,htf_trend,M15,circuit_breaker,1,348,55.5,681.15,7.57,227.1,8.31,4.2,82,90,0,159.88,10.77,0.01,0.02,0.5,1681.15,7,0.312,1.35,227,8,1.0,0.7,0.5,0.8,1.0,50,3,10,"[('14:00', '23:00')]"
2026-06-26 23:53:12,gA004_engulfing_r1.0_sc0.7_gap2_sl0.5_rr0.8,M5,engulfing,htf_trend,M15,circuit_breaker,2,397,60.2,390.83,4.34,130.2,4.71,4.8,83,90,0,141.08,11.42,0.01,0.02,0.5,1390.83,7,0.174,1.24,180,8,1.0,0.7,0.5,0.5,0.8,50,3,10,"[('14:00', '23:00')]"
2026-06-26 23:53:17,gA005_engulfing_r1.0_sc0.7_gap2_sl0.5_rr1.0,M5,engulfing,htf_trend,M15,circuit_breaker,2,337,53.4,392.22,4.36,130.8,4.9,4.2,80,90,0,104.73,8.25,0.01,0.02,0.5,1392.22,7,0.207,1.24,240,8,1.0,0.7,0.5,0.5,1.0,50,3,10,"[('14:00', '23:00')]"
2026-06-26 23:53:21,gA006_engulfing_r1.0_sc0.7_gap2_sl0.8_rr0.8,M5,engulfing,htf_trend,M15,circuit_breaker,2,365,59.7,503.25,5.59,167.7,6.21,4.5,81,90,0,129.35,10.37,0.01,0.01,0.5,1503.25,7,0.235,1.28,210,8,1.0,0.7,0.5,0.8,0.8,50,3,10,"[('14:00', '23:00')]"
2026-06-26 23:53:25,gA007_engulfing_r1.0_sc0.7_gap2_sl0.8_rr1.0,M5,engulfing,htf_trend,M15,circuit_breaker,2,348,55.5,681.15,7.57,227.1,8.31,4.2,82,90,0,159.88,10.77,0.01,0.02,0.5,1681.15,7,0.312,1.35,227,8,1.0,0.7,0.5,0.8,1.0,50,3,10,"[('14:00', '23:00')]"
2026-06-26 23:53:29,gA008_engulfing_r1.3_sc0.7_gap1_sl0.5_rr0.8,M5,engulfing,htf_trend,M15,circuit_breaker,1,317,57.4,158.98,1.77,53.1,2.04,4.1,78,90,0,232.59,19.6,0.01,0.02,0.5,1158.98,5,0.104,1.11,170,8,1.3,0.7,0.5,0.5,0.8,50,3,10,"[('14:00', '23:00')]"
2026-06-26 23:53:33,gA009_engulfing_r1.3_sc0.7_gap1_sl0.5_rr1.0,M5,engulfing,htf_trend,M15,circuit_breaker,1,267,51.3,175.63,1.95,58.5,2.51,3.8,70,90,0,150.66,13.47,0.01,0.01,0.5,1175.63,7,0.135,1.13,220,8,1.3,0.7,0.5,0.5,1.0,50,3,10,"[('14:00', '23:00')]"
2026-06-26 23:53:38,gA010_engulfing_r1.3_sc0.7_gap1_sl0.8_rr0.8,M5,engulfing,htf_trend,M15,circuit_breaker,1,285,57.2,257.0,2.86,85.8,3.57,4.0,72,90,0,174.79,15.25,0.01,0.01,0.5,1257.0,6,0.175,1.17,200,8,1.3,0.7,0.5,0.8,0.8,50,3,10,"[('14:00', '23:00')]"
2026-06-26 23:53:42,gA011_engulfing_r1.3_sc0.7_gap1_sl0.8_rr1.0,M5,engulfing,htf_trend,M15,circuit_breaker,1,275,53.8,364.48,4.05,121.5,4.93,3.7,74,90,0,205.09,16.63,0.01,0.01,0.5,1364.48,7,0.242,1.23,210,8,1.3,0.7,0.5,0.8,1.0,50,3,10,"[('14:00', '23:00')]"
2026-06-26 23:53:46,gA012_engulfing_r1.3_sc0.7_gap2_sl0.5_rr0.8,M5,engulfing,htf_trend,M15,circuit_breaker,2,317,57.4,158.98,1.77,53.1,2.04,4.1,78,90,0,232.59,19.6,0.01,0.02,0.5,1158.98,5,0.104,1.11,170,8,1.3,0.7,0.5,0.5,0.8,50,3,10,"[('14:00', '23:00')]"
2026-06-26 23:53:50,gA013_engulfing_r1.3_sc0.7_gap2_sl0.5_rr1.0,M5,engulfing,htf_trend,M15,circuit_breaker,2,267,51.3,175.63,1.95,58.5,2.51,3.8,70,90,0,150.66,13.47,0.01,0.01,0.5,1175.63,7,0.135,1.13,220,8,1.3,0.7,0.5,0.5,1.0,50,3,10,"[('14:00', '23:00')]"
2026-06-26 23:53:55,gA014_engulfing_r1.3_sc0.7_gap2_sl0.8_rr0.8,M5,engulfing,htf_trend,M15,circuit_breaker,2,285,57.2,257.0,2.86,85.8,3.57,4.0,72,90,0,174.79,15.25,0.01,0.01,0.5,1257.0,6,0.175,1.17,200,8,1.3,0.7,0.5,0.8,0.8,50,3,10,"[('14:00', '23:00')]"
2026-06-26 23:53:59,gA015_engulfing_r1.3_sc0.7_gap2_sl0.8_rr1.0,M5,engulfing,htf_trend,M15,circuit_breaker,2,275,53.8,364.48,4.05,121.5,4.93,3.7,74,90,0,205.09,16.63,0.01,0.01,0.5,1364.48,7,0.242,1.23,210,8,1.3,0.7,0.5,0.8,1.0,50,3,10,"[('14:00', '23:00')]"
2026-06-26 23:54:04,gA016_engulfing_r1.6_sc0.7_gap1_sl0.5_rr0.8,M5,engulfing,htf_trend,M15,circuit_breaker,1,254,59.8,293.16,3.26,97.8,3.96,3.4,74,90,0,214.18,16.6,0.01,0.02,0.5,1293.16,9,0.213,1.26,160,8,1.6,0.7,0.5,0.5,0.8,50,3,10,"[('14:00', '23:00')]"
2026-06-26 23:54:09,gA017_engulfing_r1.6_sc0.7_gap1_sl0.5_rr1.0,M5,engulfing,htf_trend,M15,circuit_breaker,1,214,49.1,73.06,0.81,24.3,1.11,3.2,66,90,0,286.15,22.64,0.01,0.02,0.5,1073.06,9,0.081,1.06,200,8,1.6,0.7,0.5,0.5,1.0,50,3,10,"[('14:00', '23:00')]"
