date,trades,net_profit
2025-02-25,1,-39.19
2025-03-10,1,-34.89
2025-04-03,1,134.49
2025-04-23,1,-159.24
2025-05-27,1,-52.66
2025-07-15,1,-36.88
2025-08-20,1,82.42
2025-10-09,1,-79.52
2025-11-17,1,-167.6
2025-12-05,1,160.95
2025-12-08,1,-58.49
2026-02-12,1,-136.77
2026-02-27,1,-86.66
2026-04-17,1,-82.96
2026-04-30,1,-100.51
2026-05-04,1,-108.64
