days,date,total
550,2024-05-28,1764.68967
550,2024-05-29,1830.47268
550,2024-05-30,-314.40406
550,2024-05-31,1814.936
550,2024-06-03,2155.45225
550,2024-06-04,57.6082
550,2024-06-05,182.11759
550,2024-06-06,687.14308
550,2024-06-07,-436.4192
550,2024-06-10,4983.28562
550,2024-06-11,-315.04606
550,2024-06-12,5226.44598
550,2024-06-13,2070.61812
550,2024-06-14,4205.6949
550,2024-06-17,-999.9971
550,2024-06-18,355.33566
550,2024-06-19,53.9468
550,2024-06-20,1415.50359
550,2024-06-21,5470.15311
550,2024-06-24,1694.19791
550,2024-06-25,-860.36861
550,2024-06-26,4891.81048
550,2024-06-27,1847.02144
550,2024-06-28,-874.99382
550,2024-07-01,-999.9986
550,2024-07-02,-999.99329
550,2024-07-03,9155.50827
550,2024-07-04,2230.28658
550,2024-07-05,-528.92344
550,2024-07-06,0.0
550,2024-07-08,9881.73135
550,2024-07-09,-999.99854
550,2024-07-10,4244.08809
550,2024-07-11,5145.93504
550,2024-07-12,4602.02234
550,2024-07-15,195.43941
550,2024-07-16,4595.30474
550,2024-07-17,-896.99969
550,2024-07-18,3721.66546
550,2024-07-19,-215.30833
550,2024-07-22,4440.92003
550,2024-07-23,-779.55944
550,2024-07-24,-234.94032
550,2024-07-25,2778.14682
550,2024-07-26,5195.87406
550,2024-07-29,6028.96247
550,2024-07-30,-496.8172
550,2024-07-31,-999.9984
550,2024-08-01,1399.36777
550,2024-08-02,-594.34702
550,2024-08-05,608.6774
550,2024-08-06,-999.99587
550,2024-08-07,2521.22262
550,2024-08-08,-999.99875
550,2024-08-09,4241.46887
550,2024-08-12,-999.99933
550,2024-08-13,3669.29493
550,2024-08-14,-999.99587
550,2024-08-15,361.89432
550,2024-08-16,2941.6921
550,2024-08-19,5728.66472
550,2024-08-20,-604.87852
550,2024-08-21,3874.61132
550,2024-08-22,-677.00328
550,2024-08-23,-999.38075
550,2024-08-26,2149.45714
550,2024-08-27,1895.04983
550,2024-08-28,1770.71694
550,2024-08-29,4035.32568
550,2024-08-30,3648.04708
550,2024-09-02,658.7211
550,2024-09-03,-29.789
550,2024-09-04,5372.49414
550,2024-09-05,258.45893
550,2024-09-06,-874.87134
550,2024-09-09,-676.16215
550,2024-09-10,3503.1473
550,2024-09-11,-958.04905
550,2024-09-12,1327.71965
550,2024-09-13,-99.64064
550,2024-09-16,4773.88752
550,2024-09-17,-875.98753
550,2024-09-18,-878.19969
550,2024-09-19,1283.68793
550,2024-09-20,-885.57132
550,2024-09-23,1062.56191
550,2024-09-24,3743.5533
550,2024-09-25,4361.24465
550,2024-09-26,6901.63659
550,2024-09-27,1637.87429
550,2024-09-30,2993.4134
550,2024-10-01,5934.42078
550,2024-10-02,1043.50848
550,2024-10-03,7951.53537
550,2024-10-04,2068.42127
550,2024-10-07,2341.90697
550,2024-10-08,3352.73026
550,2024-10-09,-999.99803
550,2024-10-10,-86.45041
550,2024-10-11,10719.76715
550,2024-10-14,820.26204
550,2024-10-15,3765.66196
550,2024-10-16,-497.13972
550,2024-10-17,-891.96549
550,2024-10-18,1211.88305
550,2024-10-21,-999.99912
550,2024-10-22,6473.73863
550,2024-10-23,-375.31819
550,2024-10-24,3099.0535
550,2024-10-25,6309.92438
550,2024-10-28,4244.88374
550,2024-10-29,-426.36807
550,2024-10-30,2558.09403
550,2024-10-31,2634.6572
550,2024-11-01,5058.23037
550,2024-11-04,3790.69879
550,2024-11-05,1617.71201
550,2024-11-06,3095.68758
550,2024-11-07,1129.14954
550,2024-11-08,3410.15296
550,2024-11-11,-963.86101
550,2024-11-12,2647.78501
550,2024-11-13,1710.72683
550,2024-11-14,-999.99616
550,2024-11-15,-999.9998
550,2024-11-18,1806.97784
550,2024-11-19,-999.9954
550,2024-11-20,-971.62323
550,2024-11-21,-999.99544
550,2024-11-22,3150.11751
550,2024-11-25,2075.10334
550,2024-11-26,2333.88889
550,2024-11-27,6713.22242
550,2024-11-28,-940.83412
550,2024-11-29,897.9061
550,2024-12-02,6290.22892
550,2024-12-03,11004.8703
550,2024-12-04,-849.35435
550,2024-12-05,4908.61368
550,2024-12-06,6131.70634
550,2024-12-07,0.0
550,2024-12-09,5152.14506
550,2024-12-10,1299.52663
550,2024-12-11,5047.60209
550,2024-12-12,-999.99684
550,2024-12-13,-999.99995
550,2024-12-14,0.0
550,2024-12-16,-880.62411
550,2024-12-17,-999.99756
550,2024-12-18,6178.23574
550,2024-12-19,-317.16499
550,2024-12-20,4373.82421
550,2024-12-23,-999.99711
550,2024-12-24,-737.46206
550,2024-12-26,0.00421
550,2024-12-27,-999.99631
550,2024-12-30,2252.76033
550,2024-12-31,-928.03705
550,2025-01-02,-999.99378
550,2025-01-03,6710.04989
550,2025-01-06,-999.99606
550,2025-01-07,8458.09069
550,2025-01-08,13651.50195
550,2025-01-09,281.34243
550,2025-01-10,8410.05376
550,2025-01-11,0.0
550,2025-01-13,2303.0645
550,2025-01-14,-999.99846
550,2025-01-15,619.67073
550,2025-01-16,530.60124
550,2025-01-17,-999.99804
550,2025-01-20,-999.99933
550,2025-01-21,99.93322
550,2025-01-22,-999.9986
550,2025-01-23,-999.99727
550,2025-01-24,-999.99864
550,2025-01-27,1203.09924
550,2025-01-28,5936.74096
550,2025-01-29,5071.91623
550,2025-01-30,4060.313
550,2025-01-31,-999.99883
550,2025-02-03,-928.59246
550,2025-02-04,745.02023
550,2025-02-05,921.11348
550,2025-02-06,1965.86602
550,2025-02-07,-939.63815
550,2025-02-10,1252.38988
550,2025-02-11,-56.07978
550,2025-02-12,282.29518
550,2025-02-13,-595.61167
550,2025-02-14,-999.99809
550,2025-02-17,-466.48284
550,2025-02-18,179.86025
550,2025-02-19,-878.20075
550,2025-02-20,1621.34831
550,2025-02-21,1619.95637
550,2025-02-24,4824.04826
550,2025-02-25,5278.89843
550,2025-02-26,7618.73989
550,2025-02-27,-136.88591
550,2025-02-28,7639.46398
550,2025-03-03,2303.10211
550,2025-03-04,7431.26071
550,2025-03-05,3715.24036
550,2025-03-06,5069.13157
550,2025-03-07,1709.13315
550,2025-03-10,4942.64541
550,2025-03-11,109.64466
550,2025-03-12,4429.56717
550,2025-03-13,1125.24584
550,2025-03-14,2047.20838
550,2025-03-17,764.91667
550,2025-03-18,107.30614
550,2025-03-19,-834.64421
550,2025-03-20,1132.88812
550,2025-03-21,-598.10792
550,2025-03-24,-999.99489
550,2025-03-25,1189.39506
550,2025-03-26,5643.67824
550,2025-03-27,-999.99552
550,2025-03-28,3050.5126
550,2025-03-31,-941.49531
550,2025-04-01,-999.99721
550,2025-04-02,2553.36024
550,2025-04-03,4348.03516
550,2025-04-04,1842.17085
550,2025-04-07,410.71935
550,2025-04-08,1396.65862
550,2025-04-09,2073.23946
550,2025-04-10,833.62942
550,2025-04-11,890.24426
550,2025-04-14,4446.49838
550,2025-04-15,1988.69128
550,2025-04-16,2462.78309
550,2025-04-17,420.01401
550,2025-04-21,1355.01362
550,2025-04-22,886.9196
550,2025-04-23,293.85798
550,2025-04-24,2358.53983
550,2025-04-25,2160.43688
550,2025-04-28,2761.21296
550,2025-04-29,1362.65169
550,2025-04-30,5472.20666
550,2025-05-01,10733.6642
550,2025-05-02,-542.19029
550,2025-05-05,-923.88974
550,2025-05-06,1518.31032
550,2025-05-07,587.60151
550,2025-05-08,2433.22055
550,2025-05-09,948.86741
550,2025-05-12,-589.9645
550,2025-05-13,385.24538
550,2025-05-14,4754.12249
550,2025-05-15,718.03722
550,2025-05-16,330.87425
550,2025-05-19,-27.6079
550,2025-05-20,617.70867
550,2025-05-21,-811.61881
550,2025-05-22,3739.75172
550,2025-05-23,5452.69961
550,2025-05-26,-999.99583
550,2025-05-27,2952.79128
550,2025-05-28,732.95896
550,2025-05-29,480.56845
550,2025-05-30,1515.09972
550,2025-06-02,257.56469
550,2025-06-03,-760.94495
550,2025-06-04,-914.58796
550,2025-06-05,28.36699
550,2025-06-06,5547.18139
550,2025-06-09,5360.77888
550,2025-06-10,4819.07616
550,2025-06-11,-999.99822
550,2025-06-12,-543.48977
550,2025-06-13,2468.42062
550,2025-06-16,346.06904
550,2025-06-17,514.34853
550,2025-06-18,5594.93362
550,2025-06-19,-999.9989
550,2025-06-20,3656.71591
550,2025-06-23,-790.14524
