weight,pass_floor_streak,avg_day,min_day,worst_day
31.667,False,1948.3424,1848.3129,-1005.15566
31.668,False,1948.344,1848.3139,-1005.19673
31.669,False,1948.3455,1848.3148,-1005.2378
31.67,False,1948.3471,1848.3158,-1005.27887
31.671,False,1948.3486,1848.3168,-1005.31994
31.672,False,1948.3501,1848.3178,-1005.36101
31.673,False,1948.3517,1848.3188,-1005.40208
31.674,False,1948.3532,1848.3197,-1005.44315
31.675,False,1948.3548,1848.3207,-1005.48422
31.676,False,1948.3563,1848.3217,-1005.52529
31.677,False,1948.3578,1848.3227,-1005.56636
31.678,False,1948.3594,1848.3236,-1005.60743
31.679,False,1948.3609,1848.3246,-1005.6485
31.68,False,1948.3625,1848.3256,-1005.68957
31.681,False,1948.364,1848.3266,-1005.73064
31.682,False,1948.3655,1848.3276,-1005.77171
31.683,False,1948.3671,1848.3285,-1005.81278
31.684,False,1948.3686,1848.3295,-1005.85385
31.685,False,1948.3702,1848.3305,-1005.89492
31.686,False,1948.3717,1848.3315,-1005.93599
31.687,False,1948.3732,1848.3325,-1005.97706
31.688,False,1948.3748,1848.3334,-1006.01813
31.689,False,1948.3763,1848.3344,-1006.0592
31.69,False,1948.3779,1848.3354,-1006.10027
31.691,False,1948.3794,1848.3364,-1006.14134
31.692,False,1948.3809,1848.3374,-1006.18241
31.693,False,1948.3825,1848.3383,-1006.22348
31.694,False,1948.384,1848.3393,-1006.26455
31.695,False,1948.3856,1848.3403,-1006.30562
31.696,False,1948.3871,1848.3413,-1006.34669
31.697,False,1948.3886,1848.3422,-1006.38776
31.698,False,1948.3902,1848.3432,-1006.42883
31.699,False,1948.3917,1848.3442,-1006.4699
31.7,False,1948.3933,1848.3452,-1006.51097
31.701,False,1948.3948,1848.3462,-1006.55204
31.702,False,1948.3963,1848.3471,-1006.59311
31.703,False,1948.3979,1848.3481,-1006.63418
31.704,False,1948.3994,1848.3491,-1006.67525
31.705,False,1948.401,1848.3501,-1006.71632
31.706,False,1948.4025,1848.3511,-1006.75739
31.707,False,1948.404,1848.352,-1006.79846
31.708,False,1948.4056,1848.353,-1006.83953
31.709,False,1948.4071,1848.354,-1006.8806
31.71,False,1948.4087,1848.355,-1006.92167
31.711,False,1948.4102,1848.356,-1006.96274
31.712,False,1948.4117,1848.3569,-1007.00381
31.713,False,1948.4133,1848.3579,-1007.04488
31.714,False,1948.4148,1848.3589,-1007.08595
31.715,False,1948.4164,1848.3599,-1007.12702
31.716,False,1948.4179,1848.3608,-1007.16809
31.717,False,1948.4194,1848.3618,-1007.20916
31.718,False,1948.421,1848.3628,-1007.25023
31.719,False,1948.4225,1848.3638,-1007.2913
31.72,False,1948.4241,1848.3648,-1007.33237
31.721,False,1948.4256,1848.3657,-1007.37344
31.722,False,1948.4271,1848.3667,-1007.41451
31.723,False,1948.4287,1848.3677,-1007.45558
31.724,False,1948.4302,1848.3687,-1007.49665
31.725,False,1948.4318,1848.3697,-1007.53772
31.726,False,1948.4333,1848.3706,-1007.57879
31.727,False,1948.4348,1848.3716,-1007.61986
31.728,False,1948.4364,1848.3726,-1007.66093
31.729,False,1948.4379,1848.3736,-1007.702
31.73,False,1948.4395,1848.3746,-1007.74307
31.731,False,1948.441,1848.3755,-1007.78414
31.732,False,1948.4425,1848.3765,-1007.82521
31.733,False,1948.4441,1848.3775,-1007.86628
31.734,False,1948.4456,1848.3785,-1007.90735
31.735,False,1948.4472,1848.3794,-1007.94842
31.736,False,1948.4487,1848.3804,-1007.98949
31.737,False,1948.4502,1848.3814,-1008.03056
31.738,False,1948.4518,1848.3824,-1008.07163
31.739,False,1948.4533,1848.3834,-1008.1127
31.74,False,1948.4549,1848.3843,-1008.15377
31.741,False,1948.4564,1848.3853,-1008.19484
31.742,False,1948.4579,1848.3863,-1008.23591
31.743,False,1948.4595,1848.3873,-1008.27698
31.744,False,1948.461,1848.3883,-1008.31805
31.745,False,1948.4626,1848.3892,-1008.35912
31.746,False,1948.4641,1848.3902,-1008.40019
31.747,False,1948.4656,1848.3912,-1008.44126
31.748,False,1948.4672,1848.3922,-1008.48233
31.749,False,1948.4687,1848.3932,-1008.5234
31.75,False,1948.4703,1848.3941,-1008.56447
31.751,False,1948.4718,1848.3951,-1008.60554
31.752,False,1948.4733,1848.3961,-1008.64661
31.753,False,1948.4749,1848.3971,-1008.68768
31.754,False,1948.4764,1848.3981,-1008.72875
31.755,False,1948.478,1848.399,-1008.76982
31.756,False,1948.4795,1848.4,-1008.81089
31.757,False,1948.481,1848.401,-1008.85196
31.758,False,1948.4826,1848.402,-1008.89303
31.759,False,1948.4841,1848.4029,-1008.9341
