date,trades,net_profit
2024-06-04,1,1.69
2024-06-07,1,-1.7
2024-06-11,1,0.83
2024-06-14,1,-1.76
2024-06-17,1,1.47
2024-06-18,1,-2.19
2024-06-21,1,1.24
2024-06-26,1,3.07
2024-07-10,1,1.81
2024-07-16,1,0.25
2024-07-17,1,-2.0
2024-07-18,1,-1.7
2024-08-02,1,3.78
2024-08-08,1,-2.83
2024-08-14,2,-5.34
2024-08-15,2,-0.8499999999999999
2024-08-23,2,7.2299999999999995
2024-08-26,1,-1.7
2024-08-27,1,1.52
2024-08-28,1,-2.44
2024-08-29,1,-1.7
2024-09-03,1,1.42
2024-09-11,1,1.19
2024-09-13,1,1.5
2024-09-18,1,1.88
2024-09-19,1,2.21
2024-09-20,1,-1.7
2024-09-27,1,-1.7
2024-09-28,1,-1.7
2024-10-02,1,-2.96
2024-10-03,1,-1.7
2024-10-08,1,1.86
2024-10-11,1,-6.58
2024-10-15,2,-1.33
2024-10-16,2,-0.48
2024-10-23,1,1.61
2024-10-24,1,1.05
2024-11-01,1,-1.7
2024-11-07,1,-1.7
2024-11-11,1,-1.7
2024-11-12,2,-4.54
2024-11-14,2,1.14
2024-11-15,1,-1.7
2024-11-19,1,-1.7
2024-11-25,1,-2.36
2024-11-30,1,-1.7
2024-12-03,1,-1.7
2024-12-05,1,1.56
2024-12-17,2,-0.27
2024-12-26,1,1.92
2025-01-04,1,-1.83
2025-01-07,1,-2.09
2025-01-08,1,1.16
2025-01-09,1,2.39
2025-01-15,1,-2.92
2025-01-17,1,1.97
2025-01-29,1,0.8
2025-01-30,1,2.34
2025-02-05,1,-1.7
2025-02-06,2,-3.4
2025-02-07,1,8.63
2025-02-10,1,-1.7
2025-02-12,1,-1.7
2025-02-17,1,-4.31
2025-02-20,1,-1.7
2025-02-27,1,4.69
2025-02-28,1,-1.7
2025-03-01,1,2.67
2025-03-03,2,4.07
2025-03-07,1,4.64
2025-03-12,1,-1.7
2025-03-13,1,1.38
2025-03-18,1,-1.7
2025-03-19,1,-1.7
2025-03-25,1,-1.7
2025-03-31,2,-3.4
2025-04-01,1,-2.03
2025-04-03,1,-4.53
2025-04-04,1,-2.61
2025-04-29,1,3.4
2025-05-09,1,-8.2
2025-06-23,1,1.53
2025-06-24,1,3.98
2025-06-26,1,3.1
2025-07-01,1,-1.7
2025-07-07,1,-1.7
2025-07-08,1,1.98
2025-07-17,1,-1.7
2025-07-18,2,0.74
2025-07-22,1,2.2
2025-07-30,1,-1.7
2025-07-31,1,-3.03
2025-08-04,1,-2.25
2025-08-07,1,6.29
2025-08-08,2,3.3499999999999996
2025-08-14,1,-1.7
2025-08-15,2,-0.1399999999999999
2025-08-19,1,2.2
2025-08-25,1,-1.7
2025-08-28,1,1.57
2025-09-01,2,-5.31
2025-09-05,1,-1.7
2025-09-10,1,-1.7
2025-09-11,2,1.1300000000000001
2025-09-12,1,3.06
2025-09-16,1,-1.7
2025-09-22,1,1.83
2025-09-26,1,-2.13
