timestamp,label,trades,wr,total_pnl,avg_per_day_span,avg_per_day_active,n_days_with_trades,span_days,days_hit_1000,max_dd_usd,max_dd_pct,lot_min,lot_max,risk_pct,final_equity,max_consec_loss,avg_r_multiple,profit_factor,swing_lookback,sweep_min_pierce_atr,rejection_wick_pct,rsi_overbought,rsi_oversold,sl_atr_mult,tp_rr,trend_filter
2026-06-26 19:59:27,round1_baseline,202,40.6,-132.41,-2.21,-2.21,60,60,0,359.14,30.38,0.01,0.03,1.0,867.59,10,-0.057,0.92,20,0.1,0.45,62.0,38.0,0.6,1.5,none
2026-06-26 20:00:48,grid000_lb15_p0.05_w0.35_ob62.0_sl0.6_rr1.0_none,273,50.2,-141.25,-2.35,-2.28,62,60,0,304.66,27.27,0.01,0.04,1.0,858.75,10,-0.046,0.92,15,0.05,0.35,62.0,38.0,0.6,1.0,none
2026-06-26 20:00:50,grid001_lb15_p0.05_w0.35_ob62.0_sl0.6_rr1.0_against,265,50.6,-119.01,-1.98,-1.92,62,60,0,283.63,25.23,0.01,0.04,1.0,880.99,10,-0.039,0.93,15,0.05,0.35,62.0,38.0,0.6,1.0,against
2026-06-26 20:00:51,grid002_lb15_p0.05_w0.35_ob62.0_sl0.6_rr1.5_none,273,40.7,-175.65,-2.93,-2.74,64,60,0,394.84,33.34,0.01,0.04,1.0,824.35,11,-0.058,0.91,15,0.05,0.35,62.0,38.0,0.6,1.5,none
2026-06-26 20:00:53,grid003_lb15_p0.05_w0.35_ob62.0_sl0.6_rr1.5_against,265,41.1,-76.57,-1.28,-1.2,64,60,0,362.4,28.61,0.01,0.04,1.0,923.43,11,-0.018,0.96,15,0.05,0.35,62.0,38.0,0.6,1.5,against
2026-06-26 20:00:55,grid004_lb15_p0.05_w0.35_ob62.0_sl0.6_rr2.0_none,273,35.2,-106.92,-1.78,-1.7,63,60,0,547.31,40.58,0.01,0.04,1.0,893.08,13,-0.025,0.95,15,0.05,0.35,62.0,38.0,0.6,2.0,none
2026-06-26 20:00:57,grid005_lb15_p0.05_w0.35_ob62.0_sl0.6_rr2.0_against,265,35.5,19.47,0.32,0.31,63,60,0,531.5,37.27,0.01,0.04,1.0,1019.47,11,0.023,1.01,15,0.05,0.35,62.0,38.0,0.6,2.0,against
2026-06-26 20:00:59,grid006_lb15_p0.05_w0.35_ob62.0_sl0.6_rr2.5_none,273,27.5,-373.14,-6.22,-5.74,65,60,0,799.35,66.22,0.01,0.03,1.0,626.86,18,-0.139,0.84,15,0.05,0.35,62.0,38.0,0.6,2.5,none
2026-06-26 20:01:00,grid007_lb15_p0.05_w0.35_ob62.0_sl0.6_rr2.5_against,265,27.9,-331.2,-5.52,-5.18,64,60,0,796.19,63.91,0.01,0.03,1.0,668.8,18,-0.123,0.86,15,0.05,0.35,62.0,38.0,0.6,2.5,against
2026-06-26 20:01:02,grid008_lb15_p0.05_w0.45_ob62.0_sl0.6_rr1.0_none,219,51.1,-4.1,-0.07,-0.07,60,60,0,215.18,18.34,0.01,0.03,1.0,995.9,9,0.007,1.0,15,0.05,0.45,62.0,38.0,0.6,1.0,none
