timestamp,rank,label,w_s63,w_s69,w_s64,score,min_pf,avg_pf,avg_day,avg_month,avg_sharpe,max_streak,days,trades,trade_units,fixed_per_day,fixed_per_month,fixed_pf,sharpe_like,max_losing_day_streak,by_leg
2026-07-02 22:24:36,1,S631_S694,1.0,4.0,0.0,"(1, 2.119, 0.3635, 5.27, -3)",2.119,2.266,5.27,158.07,0.364,3,90,51,78.0,6.58,197.51,2.5,0.438,3,S63:284.20;S69:308.32
2026-07-02 22:24:36,1,S631_S694,1.0,4.0,0.0,"(1, 2.119, 0.3635, 5.27, -3)",2.119,2.266,5.27,158.07,0.364,3,120,62,92.0,5.23,156.85,2.239,0.374,3,S63:268.98;S69:358.44
2026-07-02 22:24:36,1,S631_S694,1.0,4.0,0.0,"(1, 2.119, 0.3635, 5.27, -3)",2.119,2.266,5.27,158.07,0.364,3,150,76,106.0,4.44,133.07,2.206,0.34,3,S63:306.89;S69:358.44
2026-07-02 22:24:36,1,S631_S694,1.0,4.0,0.0,"(1, 2.119, 0.3635, 5.27, -3)",2.119,2.266,5.27,158.07,0.364,3,180,95,137.0,4.83,144.86,2.119,0.302,3,S63:341.62;S69:527.56
2026-07-02 22:24:36,2,S631_S693,1.0,3.0,0.0,"(1, 2.032, 0.3605, 4.5375, -3)",2.032,2.18,4.537,136.07,0.36,3,90,51,69.0,5.73,171.81,2.433,0.439,3,S63:284.20;S69:231.24
2026-07-02 22:24:36,2,S631_S693,1.0,3.0,0.0,"(1, 2.032, 0.3605, 4.5375, -3)",2.032,2.18,4.537,136.07,0.36,3,120,62,82.0,4.48,134.45,2.142,0.365,3,S63:268.98;S69:268.83
2026-07-02 22:24:36,2,S631_S693,1.0,3.0,0.0,"(1, 2.032, 0.3605, 4.5375, -3)",2.032,2.18,4.537,136.07,0.36,3,150,76,96.0,3.84,115.14,2.115,0.335,3,S63:306.89;S69:268.83
2026-07-02 22:24:36,2,S631_S693,1.0,3.0,0.0,"(1, 2.032, 0.3605, 4.5375, -3)",2.032,2.18,4.537,136.07,0.36,3,180,95,123.0,4.1,122.88,2.032,0.303,3,S63:341.62;S69:395.67
2026-07-02 22:24:36,3,S631_S640.25_S694,1.0,4.0,0.25,"(1, 1.996, 0.3075, 5.7675, -3)",1.996,2.086,5.768,173.1,0.307,3,90,92,88.25,7.07,212.07,2.244,0.351,3,S63:284.20;S64:43.69;S69:308.32
2026-07-02 22:24:36,3,S631_S640.25_S694,1.0,4.0,0.25,"(1, 1.996, 0.3075, 5.7675, -3)",1.996,2.086,5.768,173.1,0.307,3,120,111,104.25,5.87,176.23,2.088,0.326,3,S63:268.98;S64:77.49;S69:358.44
2026-07-02 22:24:36,3,S631_S640.25_S694,1.0,4.0,0.25,"(1, 1.996, 0.3075, 5.7675, -3)",1.996,2.086,5.768,173.1,0.307,3,150,132,120.0,4.84,145.3,2.017,0.296,3,S63:306.89;S64:61.16;S69:358.44
2026-07-02 22:24:36,3,S631_S640.25_S694,1.0,4.0,0.25,"(1, 1.996, 0.3075, 5.7675, -3)",1.996,2.086,5.768,173.1,0.307,3,180,164,154.25,5.29,158.8,1.996,0.257,3,S63:341.62;S64:83.63;S69:527.56
2026-07-02 22:24:36,4,S631_S692.5,1.0,2.5,0.0,"(1, 1.982, 0.3563, 4.17, -3)",1.982,2.132,4.17,125.07,0.356,3,90,51,64.5,5.3,158.97,2.395,0.437,3,S63:284.20;S69:192.70
2026-07-02 22:24:36,4,S631_S692.5,1.0,2.5,0.0,"(1, 1.982, 0.3563, 4.17, -3)",1.982,2.132,4.17,125.07,0.356,3,120,62,77.0,4.11,123.25,2.087,0.357,3,S63:268.98;S69:224.03
2026-07-02 22:24:36,4,S631_S692.5,1.0,2.5,0.0,"(1, 1.982, 0.3563, 4.17, -3)",1.982,2.132,4.17,125.07,0.356,3,150,76,91.0,3.54,106.18,2.065,0.329,3,S63:306.89;S69:224.03
