label,days,date,total,S87_MAIN,S87_D1_LAST_INV,S87_D1_REV,S87_H12_TURN,S88_D1_INV_NO17,S88_D1_INV_RISK10,S88_D1_INV_RATR12,demo_allin_total
S83_BASELINE,90,2026-03-09,-984.0877,0.0,0.0,0.0,0.0,-683.8377,0.0,0.0,-300.25
S83_BASELINE,120,2026-03-09,-984.0877,0.0,0.0,0.0,0.0,-683.8377,0.0,0.0,-300.25
S83_BASELINE,150,2025-12-18,-998.7615,-963.8915,0.0,0.0,0.0,0.0,0.0,0.0,-34.87
S83_BASELINE,180,2025-10-14,-999.9079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-999.9079
S83+S87_D1_LAST_INVx10,90,2026-03-09,-1457.9877,0.0,-473.9,0.0,0.0,-683.8377,0.0,0.0,-300.25
S83+S87_D1_LAST_INVx10,120,2026-03-09,-1457.9877,0.0,-473.9,0.0,0.0,-683.8377,0.0,0.0,-300.25
S83+S87_D1_LAST_INVx10,150,2026-03-09,-1468.0177,0.0,-473.9,0.0,0.0,-683.8377,0.0,0.0,-310.28
S83+S87_D1_LAST_INVx10,180,2026-03-09,-1473.5377,0.0,-473.9,0.0,0.0,-683.8377,0.0,0.0,-315.8
S83+S87_D1_LAST_INVx9.9,90,2026-03-09,-1453.2487,0.0,-469.161,0.0,0.0,-683.8377,0.0,0.0,-300.25
S83+S87_D1_LAST_INVx9.9,120,2026-03-09,-1453.2487,0.0,-469.161,0.0,0.0,-683.8377,0.0,0.0,-300.25
S83+S87_D1_LAST_INVx9.9,150,2026-03-09,-1463.2787,0.0,-469.161,0.0,0.0,-683.8377,0.0,0.0,-310.28
S83+S87_D1_LAST_INVx9.9,180,2026-03-09,-1468.7987,0.0,-469.161,0.0,0.0,-683.8377,0.0,0.0,-315.8
S83+S87_D1_LAST_INVx9.8,90,2026-03-09,-1448.5097,0.0,-464.422,0.0,0.0,-683.8377,0.0,0.0,-300.25
S83+S87_D1_LAST_INVx9.8,120,2026-03-09,-1448.5097,0.0,-464.422,0.0,0.0,-683.8377,0.0,0.0,-300.25
S83+S87_D1_LAST_INVx9.8,150,2026-03-09,-1458.5397,0.0,-464.422,0.0,0.0,-683.8377,0.0,0.0,-310.28
S83+S87_D1_LAST_INVx9.8,180,2026-03-09,-1464.0597,0.0,-464.422,0.0,0.0,-683.8377,0.0,0.0,-315.8
S83+S87_D1_LAST_INVx9.7,90,2026-03-09,-1443.7707,0.0,-459.683,0.0,0.0,-683.8377,0.0,0.0,-300.25
S83+S87_D1_LAST_INVx9.7,120,2026-03-09,-1443.7707,0.0,-459.683,0.0,0.0,-683.8377,0.0,0.0,-300.25
S83+S87_D1_LAST_INVx9.7,150,2026-03-09,-1453.8007,0.0,-459.683,0.0,0.0,-683.8377,0.0,0.0,-310.28
S83+S87_D1_LAST_INVx9.7,180,2026-03-09,-1459.3207,0.0,-459.683,0.0,0.0,-683.8377,0.0,0.0,-315.8
