time,exit_time,dir,entry,sl,tp,outcome,profit
2026-04-15 16:10,2026-04-15 17:10,BUY,4811.55,4798.68,4830.86,SL,-13.07
2026-04-15 17:15,2026-04-15 17:25,BUY,4806.25,4797.63,4819.19,SL,-8.82
2026-04-16 00:45,2026-04-16 08:40,BUY,4805.64,4786.8,4833.91,TP,28.07
2026-04-16 23:15,2026-04-17 09:10,SELL,4803.51,4820.38,4778.2,TP,25.11
2026-04-21 09:40,2026-04-21 11:20,BUY,4813.49,4794.91,4841.35,SL,-18.78
2026-04-23 22:55,2026-04-23 23:45,SELL,4733.59,4741.26,4722.08,TP,11.31
2026-04-24 02:05,2026-04-24 10:25,SELL,4710.47,4729.26,4682.28,TP,27.99
2026-04-24 17:05,2026-04-24 19:25,SELL,4691.41,4712.29,4660.09,SL,-21.08
2026-04-30 01:10,2026-04-30 08:45,SELL,4550.62,4572.17,4518.3,SL,-21.75
2026-05-04 07:15,2026-05-04 08:20,BUY,4616.27,4602.69,4636.64,SL,-13.78
2026-05-04 22:40,2026-05-04 23:20,SELL,4574.43,4611.76,4518.44,TP,55.79
2026-05-07 04:50,2026-05-07 14:30,BUY,4691.1,4665.56,4729.41,TP,38.11
2026-05-07 08:45,2026-05-07 09:15,BUY,4689.82,4673.65,4714.08,TP,24.06
2026-05-08 22:30,2026-05-11 06:05,BUY,4722.33,4690.43,4770.18,SL,-32.1
2026-05-14 04:30,2026-05-14 06:40,SELL,4689.81,4699.28,4675.61,SL,-9.67
2026-05-18 14:25,2026-05-18 15:30,SELL,4537.53,4554.62,4511.89,SL,-17.29
2026-05-18 16:25,2026-05-18 16:50,SELL,4547.86,4555.78,4535.98,SL,-8.12
2026-05-20 16:30,2026-05-20 19:25,SELL,4483.2,4500.73,4456.9,SL,-17.73
2026-05-20 17:40,2026-05-20 19:25,SELL,4483.2,4497.99,4461.02,SL,-14.99
2026-05-22 16:10,2026-05-22 22:10,SELL,4524.75,4539.31,4502.91,TP,21.64
2026-05-25 15:20,2026-05-26 12:40,BUY,4555.6,4525.51,4600.73,SL,-30.29
2026-05-27 07:05,2026-05-27 07:45,SELL,4509.82,4527.04,4483.99,SL,-17.42
2026-06-02 08:35,2026-06-02 09:50,SELL,4489.18,4501.05,4471.38,TP,17.6
2026-06-05 07:05,2026-06-05 07:35,BUY,4471.69,4463.67,4483.72,SL,-8.22
2026-06-08 22:45,2026-06-08 23:00,SELL,4317.77,4334.45,4292.74,SL,-16.88
2026-06-09 02:25,2026-06-09 07:30,SELL,4342.68,4358.3,4319.25,TP,23.23
2026-06-11 14:45,2026-06-12 01:30,SELL,4091.82,4132.96,4030.12,SL,-41.33
2026-06-12 15:20,2026-06-15 06:05,BUY,4178.16,4122.5,4261.65,TP,83.29
2026-06-16 03:10,2026-06-16 03:45,BUY,4322.57,4318.18,4329.16,SL,-4.59
2026-06-16 09:35,2026-06-16 16:10,BUY,4317.66,4302.92,4339.78,TP,21.92
2026-06-16 14:00,2026-06-16 16:40,BUY,4317.43,4299.79,4343.88,TP,26.25
2026-06-17 14:00,2026-06-17 22:20,BUY,4327.94,4314.7,4347.81,TP,19.67
2026-06-17 16:00,2026-06-17 16:15,BUY,4325.96,4320.32,4334.41,SL,-5.84
2026-06-23 06:30,2026-06-23 08:05,SELL,4192.52,4197.22,4185.47,TP,6.85
2026-06-23 08:45,2026-06-23 09:15,SELL,4191.14,4199.9,4178.0,TP,12.94
2026-06-25 06:10,2026-06-25 23:50,SELL,4001.71,4040.86,3942.98,SL,-39.35
2026-06-25 07:45,2026-06-26 21:00,SELL,4010.87,4062.9,3932.83,SL,-52.23
2026-06-25 17:30,2026-06-25 19:35,SELL,3993.92,4005.8,3976.09,TP,17.63
2026-06-26 01:30,2026-06-26 10:35,SELL,4032.02,4058.77,3991.89,TP,39.93
2026-06-30 17:05,2026-06-30 18:00,SELL,4018.8,4025.82,4008.27,SL,-7.22
2026-07-01 00:40,2026-07-01 04:55,BUY,4031.44,4008.89,4065.27,SL,-22.75
2026-07-02 07:15,2026-07-02 20:30,BUY,4039.05,4000.45,4096.95,TP,57.7
2026-07-06 15:10,2026-07-06 20:40,BUY,4150.98,4134.53,4175.66,SL,-16.65
2026-07-06 22:30,2026-07-08 03:05,BUY,4140.93,4110.94,4185.92,SL,-30.19
2026-07-07 00:20,2026-07-07 13:00,BUY,4145.47,4123.95,4177.76,SL,-21.72
2026-07-09 06:50,2026-07-09 14:30,SELL,4078.19,4105.97,4036.52,SL,-27.98
2026-07-09 08:05,2026-07-09 14:30,SELL,4077.42,4106.39,4033.96,SL,-29.17
2026-07-10 08:00,2026-07-10 09:35,BUY,4123.77,4110.2,4144.13,SL,-13.77
2026-07-10 14:50,2026-07-10 15:40,BUY,4113.7,4106.53,4124.46,SL,-7.37
