signal_time,exit_time,direction,entry,sl,tp,outcome,profit,pattern,reason
2026-05-18T08:25:00+07:00,2026-05-18T08:30:00+07:00,SELL,4517.74,4521.97,4488.12,TP,29.42,S140 SELL Downside RV Continuation 7R,"Asymmetric downside clustering; SELL short/long RV=1.46, previous=0.65, efficiency=0.81, volume=2.08x; short risk=0.56ATR, target=7.00R"
2026-05-21T18:35:00+07:00,2026-05-21T18:45:00+07:00,SELL,4512.84,4518.94,4470.14,BE,-0.2,S140 SELL Downside RV Continuation 7R,"Asymmetric downside clustering; SELL short/long RV=2.51, previous=0.71, efficiency=0.88, volume=1.31x; short risk=1.00ATR, target=7.00R"
2026-06-02T20:50:00+07:00,2026-06-02T21:05:00+07:00,SELL,4517.76,4521.94,4488.5,BE,-0.2,S140 SELL Downside RV Continuation 7R,"Asymmetric downside clustering; SELL short/long RV=1.60, previous=0.88, efficiency=0.99, volume=1.30x; short risk=0.92ATR, target=7.00R"
2026-06-03T07:35:00+07:00,2026-06-03T07:40:00+07:00,SELL,4465.8,4468.81,4444.72,SL,-3.21,S140 SELL Downside RV Continuation 7R,"Asymmetric downside clustering; SELL short/long RV=1.97, previous=0.87, efficiency=1.00, volume=1.55x; short risk=0.56ATR, target=7.00R"
2026-06-05T21:55:00+07:00,2026-06-08T13:30:00+07:00,SELL,4375.72,4387.61,4292.49,TP,83.03,S140 SELL Downside RV Continuation 7R,"Asymmetric downside clustering; SELL short/long RV=2.00, previous=0.98, efficiency=0.94, volume=2.66x; short risk=1.01ATR, target=7.00R"
2026-06-18T17:05:00+07:00,2026-06-18T17:15:00+07:00,SELL,4267.29,4270.08,4247.76,BE,-0.2,S140 SELL Downside RV Continuation 7R,"Asymmetric downside clustering; SELL short/long RV=1.49, previous=0.64, efficiency=0.82, volume=1.20x; short risk=0.46ATR, target=7.00R"
2026-06-19T12:05:00+07:00,2026-06-19T12:15:00+07:00,SELL,4145.64,4148.45,4125.97,SL,-3.01,S140 SELL Downside RV Continuation 7R,"Asymmetric downside clustering; SELL short/long RV=1.76, previous=0.65, efficiency=1.00, volume=1.31x; short risk=0.53ATR, target=7.00R"
2026-06-19T13:00:00+07:00,2026-06-19T13:10:00+07:00,SELL,4125.01,4128.11,4103.31,BE,-0.2,S140 SELL Downside RV Continuation 7R,"Asymmetric downside clustering; SELL short/long RV=1.48, previous=0.74, efficiency=0.95, volume=1.34x; short risk=0.50ATR, target=7.00R"
2026-06-26T10:40:00+07:00,2026-06-26T11:05:00+07:00,SELL,3994.51,3998.65,3965.53,BE,-0.2,S140 SELL Downside RV Continuation 7R,"Asymmetric downside clustering; SELL short/long RV=1.49, previous=0.90, efficiency=0.89, volume=1.19x; short risk=0.68ATR, target=7.00R"
2026-06-30T08:05:00+07:00,2026-06-30T08:10:00+07:00,SELL,4005.9,4009.0,3984.2,SL,-3.3,S140 SELL Downside RV Continuation 7R,"Asymmetric downside clustering; SELL short/long RV=1.59, previous=0.92, efficiency=0.82, volume=1.74x; short risk=0.85ATR, target=7.00R"
2026-06-30T20:30:00+07:00,2026-06-30T21:05:00+07:00,SELL,4018.48,4022.58,3989.78,BE,-0.2,S140 SELL Downside RV Continuation 7R,"Asymmetric downside clustering; SELL short/long RV=1.61, previous=0.81, efficiency=1.00, volume=1.32x; short risk=0.98ATR, target=7.00R"
2026-07-10T08:30:00+07:00,2026-07-10T08:40:00+07:00,SELL,4117.02,4120.07,4095.67,SL,-3.25,S140 SELL Downside RV Continuation 7R,"Asymmetric downside clustering; SELL short/long RV=1.72, previous=0.81, efficiency=0.92, volume=2.51x; short risk=1.19ATR, target=7.00R"
