weight,valid,avg_day,min_day,worst_day,streak
1.123,True,1124.0196,1124.0196,-999.9999,3
1.124,True,1124.0198,1124.0198,-999.9999,3
1.125,True,1124.0199,1124.0199,-999.9999,3
1.126,True,1124.0201,1124.0201,-999.9999,3
1.127,True,1124.0203,1124.0203,-999.9999,3
1.128,True,1124.0205,1124.0205,-999.9999,3
1.129,True,1124.0207,1124.0207,-999.9999,3
1.13,True,1124.0209,1124.0209,-999.9999,3
1.131,True,1124.0211,1124.0211,-999.9999,3
1.132,True,1124.0213,1124.0213,-999.9999,3
1.133,True,1124.0215,1124.0215,-999.9999,3
1.134,True,1124.0216,1124.0216,-999.9999,3
1.135,True,1124.0218,1124.0218,-999.9999,3
1.136,True,1124.022,1124.022,-999.9999,3
1.137,True,1124.0222,1124.0222,-999.9999,3
1.138,True,1124.0224,1124.0224,-999.9999,3
1.139,True,1124.0226,1124.0226,-999.9999,3
1.14,True,1124.0228,1124.0228,-999.9999,3
1.141,True,1124.023,1124.023,-999.9999,3
1.142,True,1124.0232,1124.0232,-999.9999,3
1.143,True,1124.0233,1124.0233,-999.9999,3
1.144,True,1124.0235,1124.0235,-999.9999,3
1.145,True,1124.0237,1124.0237,-999.9999,3
1.146,True,1124.0239,1124.0239,-999.9999,3
1.147,True,1124.0241,1124.0241,-999.9999,3
1.148,True,1124.0243,1124.0243,-999.9999,3
1.149,True,1124.0245,1124.0245,-999.9999,3
1.15,True,1124.0247,1124.0247,-999.9999,3
1.151,True,1124.0249,1124.0249,-999.9999,3
1.152,True,1124.025,1124.025,-999.9999,3
1.153,True,1124.0252,1124.0252,-999.9999,3
1.154,True,1124.0254,1124.0254,-999.9999,3
1.155,True,1124.0256,1124.0256,-999.9999,3
1.156,True,1124.0258,1124.0258,-999.9999,3
1.157,True,1124.026,1124.026,-999.9999,3
1.158,True,1124.0262,1124.0262,-999.9999,3
1.159,True,1124.0264,1124.0264,-999.9999,3
1.16,True,1124.0266,1124.0266,-999.9999,3
1.161,True,1124.0267,1124.0267,-999.9999,3
1.162,True,1124.0269,1124.0269,-999.9999,3
1.163,True,1124.0271,1124.0271,-999.9999,3
1.164,True,1124.0273,1124.0273,-999.9999,3
1.165,True,1124.0275,1124.0275,-999.9999,3
1.166,True,1124.0277,1124.0277,-999.9999,3
1.167,True,1124.0279,1124.0279,-999.9999,3
1.168,True,1124.0281,1124.0281,-999.9999,3
1.169,True,1124.0283,1124.0283,-999.9999,3
1.17,True,1124.0284,1124.0284,-999.9999,3
1.171,True,1124.0286,1124.0286,-999.9999,3
1.172,True,1124.0288,1124.0288,-999.9999,3
1.173,True,1124.029,1124.029,-999.9999,3
1.174,True,1124.0292,1124.0292,-999.9999,3
1.175,True,1124.0294,1124.0294,-999.9999,3
1.176,True,1124.0296,1124.0296,-999.9999,3
1.177,True,1124.0298,1124.0298,-999.9999,3
1.178,True,1124.03,1124.03,-999.9999,3
1.179,True,1124.0301,1124.0301,-999.9999,3
1.18,True,1124.0303,1124.0303,-999.9999,3
1.181,True,1124.0305,1124.0305,-999.9999,3
1.182,True,1124.0307,1124.0307,-999.9999,3
1.183,True,1124.0309,1124.0309,-999.9999,3
1.184,True,1124.0311,1124.0311,-999.9999,3
1.185,True,1124.0313,1124.0313,-999.9999,3
1.186,True,1124.0315,1124.0315,-999.9999,3
1.187,True,1124.0317,1124.0317,-999.9999,3
1.188,True,1124.0318,1124.0318,-999.9999,3
1.189,True,1124.032,1124.032,-999.9999,3
1.19,True,1124.0322,1124.0322,-999.9999,3
1.191,True,1124.0324,1124.0324,-999.9999,3
1.192,True,1124.0326,1124.0326,-999.9999,3
1.193,True,1124.0328,1124.0328,-999.9999,3
1.194,True,1124.033,1124.033,-999.9999,3
1.195,True,1124.0332,1124.0332,-999.9999,3
1.196,True,1124.0334,1124.0334,-999.9999,3
1.197,True,1124.0335,1124.0335,-999.9999,3
1.198,True,1124.0337,1124.0337,-999.9999,3
1.199,True,1124.0339,1124.0339,-999.9999,3
1.2,True,1124.0341,1124.0341,-999.9999,3
1.201,True,1124.0343,1124.0343,-999.9999,3
1.202,True,1124.0345,1124.0345,-999.9999,3
1.203,True,1124.0347,1124.0347,-999.9999,3
1.204,True,1124.0349,1124.0349,-999.9999,3
1.205,True,1124.0351,1124.0351,-999.9999,3
1.206,True,1124.0352,1124.0352,-999.9999,3
1.207,True,1124.0354,1124.0354,-999.9999,3
1.208,True,1124.0356,1124.0356,-999.9999,3
1.209,True,1124.0358,1124.0358,-999.9999,3
1.21,True,1124.036,1124.036,-999.9999,3
1.211,True,1124.0362,1124.0362,-999.9999,3
1.212,True,1124.0364,1124.0364,-999.9999,3
1.213,True,1124.0366,1124.0366,-999.9999,3
1.214,True,1124.0368,1124.0368,-999.9999,3
1.215,True,1124.0369,1124.0369,-999.9999,3
1.216,True,1124.0371,1124.0371,-999.9999,3
1.217,True,1124.0373,1124.0373,-999.9999,3
1.218,True,1124.0375,1124.0375,-999.9999,3
1.219,True,1124.0377,1124.0377,-999.9999,3
1.22,True,1124.0379,1124.0379,-999.9999,3
1.221,True,1124.0381,1124.0381,-999.9999,3
1.222,True,1124.0383,1124.0383,-999.9999,3
1.223,True,1124.0385,1124.0385,-999.9999,3
1.224,True,1124.0386,1124.0386,-999.9999,3
1.225,True,1124.0388,1124.0388,-999.9999,3
1.226,True,1124.039,1124.039,-999.9999,3
1.227,True,1124.0392,1124.0392,-999.9999,3
1.228,True,1124.0394,1124.0394,-999.9999,3
1.229,True,1124.0396,1124.0396,-999.9999,3
1.23,True,1124.0398,1124.0398,-999.9999,3
1.231,True,1124.04,1124.04,-999.9999,3
1.232,True,1124.0402,1124.0402,-999.9999,3
1.233,True,1124.0403,1124.0403,-999.9999,3
1.234,True,1124.0405,1124.0405,-999.9999,3
1.235,True,1124.0407,1124.0407,-999.9999,3
1.236,True,1124.0409,1124.0409,-999.9999,3
1.237,True,1124.0411,1124.0411,-999.9999,3
1.238,True,1124.0413,1124.0413,-999.9999,3
1.239,True,1124.0415,1124.0415,-999.9999,3
1.24,True,1124.0417,1124.0417,-999.9999,3
1.241,True,1124.0419,1124.0419,-999.9999,3
1.242,True,1124.042,1124.042,-999.9999,3
1.243,True,1124.0422,1124.0422,-999.9999,3
1.244,True,1124.0424,1124.0424,-999.9999,3
1.245,True,1124.0426,1124.0426,-999.9999,3
1.246,True,1124.0428,1124.0428,-999.9999,3
1.247,True,1124.043,1124.043,-999.9999,3
1.248,True,1124.0432,1124.0432,-999.9999,3
1.249,True,1124.0434,1124.0434,-999.9999,3
1.25,True,1124.0436,1124.0436,-999.9999,3
1.251,True,1124.0437,1124.0437,-999.9999,3
1.252,True,1124.0439,1124.0439,-999.9999,3
1.253,True,1124.0441,1124.0441,-999.9999,3
1.254,True,1124.0443,1124.0443,-999.9999,3
1.255,True,1124.0445,1124.0445,-999.9999,3
1.256,True,1124.0447,1124.0447,-999.9999,3
1.257,True,1124.0449,1124.0449,-999.9999,3
1.258,True,1124.0451,1124.0451,-999.9999,3
1.259,True,1124.0453,1124.0453,-999.9999,3
1.26,True,1124.0454,1124.0454,-999.9999,3
1.261,True,1124.0456,1124.0456,-999.9999,3
1.262,True,1124.0458,1124.0458,-999.9999,3
1.263,True,1124.046,1124.046,-999.9999,3
1.264,True,1124.0462,1124.0462,-999.9999,3
1.265,True,1124.0464,1124.0464,-999.9999,3
1.266,True,1124.0466,1124.0466,-999.9999,3
1.267,True,1124.0468,1124.0468,-999.9999,3
1.268,True,1124.047,1124.047,-999.9999,3
1.269,True,1124.0471,1124.0471,-999.9999,3
1.27,True,1124.0473,1124.0473,-999.9999,3
1.271,True,1124.0475,1124.0475,-999.9999,3
1.272,True,1124.0477,1124.0477,-999.9999,3
1.273,True,1124.0479,1124.0479,-999.9999,3
1.274,True,1124.0481,1124.0481,-999.9999,3
1.275,True,1124.0483,1124.0483,-999.9999,3
1.276,True,1124.0485,1124.0485,-999.9999,3
1.277,True,1124.0486,1124.0486,-999.9999,3
1.278,True,1124.0488,1124.0488,-999.9999,3
1.279,True,1124.049,1124.049,-999.9999,3
1.28,True,1124.0492,1124.0492,-999.9999,3
1.281,True,1124.0494,1124.0494,-999.9999,3
1.282,True,1124.0496,1124.0496,-999.9999,3
1.283,True,1124.0498,1124.0498,-999.9999,3
1.284,True,1124.05,1124.05,-999.9999,3
1.285,True,1124.0502,1124.0502,-999.9999,3
1.286,True,1124.0503,1124.0503,-999.9999,3
1.287,True,1124.0505,1124.0505,-999.9999,3
1.288,True,1124.0507,1124.0507,-999.9999,3
1.289,True,1124.0509,1124.0509,-999.9999,3
1.29,True,1124.0511,1124.0511,-999.9999,3
1.291,True,1124.0513,1124.0513,-999.9999,3
1.292,True,1124.0515,1124.0515,-999.9999,3
1.293,True,1124.0517,1124.0517,-999.9999,3
1.294,True,1124.0519,1124.0519,-999.9999,3
1.295,True,1124.052,1124.052,-999.9999,3
1.296,True,1124.0522,1124.0522,-999.9999,3
1.297,True,1124.0524,1124.0524,-999.9999,3
1.298,True,1124.0526,1124.0526,-999.9999,3
1.299,True,1124.0528,1124.0528,-999.9999,3
1.3,True,1124.053,1124.053,-999.9999,3
1.301,True,1124.0532,1124.0532,-999.9999,3
1.302,True,1124.0534,1124.0534,-999.9999,3
1.303,True,1124.0536,1124.0536,-999.9999,3
1.304,True,1124.0537,1124.0537,-999.9999,3
1.305,True,1124.0539,1124.0539,-999.9999,3
1.306,True,1124.0541,1124.0541,-999.9999,3
1.307,True,1124.0543,1124.0543,-999.9999,3
1.308,True,1124.0545,1124.0545,-999.9999,3
1.309,True,1124.0547,1124.0547,-999.9999,3
1.31,True,1124.0549,1124.0549,-999.9999,3
1.311,True,1124.0551,1124.0551,-999.9999,3
1.312,True,1124.0553,1124.0553,-999.9999,3
1.313,True,1124.0554,1124.0554,-999.9999,3
1.314,True,1124.0556,1124.0556,-999.9999,3
1.315,True,1124.0558,1124.0558,-999.9999,3
1.316,True,1124.056,1124.056,-999.9999,3
