timestamp,label,entry_tf,round_step,touch_atr_mult,reject_atr_mult,sl_atr_mult,tp_rr,confirmation_type,risk_pct,trades,wr,avg_per_day_span,avg_per_month,max_dd_pct,profit_factor,pct_pos_days,max_losing_day_streak,sharpe_like,final_equity
2026-06-28 16:28:45,smoke_step50,M5,50.0,0.3,0.15,1.0,1.5,htf_trend,0.5,358,40.5,-2.44,-73.2,54.23,0.95,35.1,10,-0.045,780.25
2026-06-28 16:28:51,smoke_step25,M5,25.0,0.3,0.15,1.0,1.5,htf_trend,0.5,781,48.3,26.45,793.5,23.2,1.32,46.0,7,0.194,3380.22
2026-06-28 16:28:58,smoke_step10,M5,10.0,0.3,0.15,1.0,1.5,htf_trend,0.5,1480,46.6,28.9,867.0,46.57,1.21,51.9,6,0.191,3600.71
