time,exit_time,dir,entry,sl,tp,outcome,profit,reason
2026-03-02 21:35,2026-03-02 23:00,BUY,5345.13,5301.08,5389.77,SL,-44.25,"Judas below Asian low 5323.14 (fake 5306.79, depth 0.9ATR) re-entered"
2026-03-02 22:30,2026-03-02 23:00,BUY,5346.09,5300.09,5389.77,SL,-46.2,"Judas below Asian low 5340.91 (fake 5306.79, depth 1.5ATR) re-entered"
2026-03-04 20:15,2026-03-05 01:10,SELL,5188.14,5208.99,5120.26,TP,67.68,"Judas above Asian high 5190.72 (fake 5206.09, depth 1.6ATR) re-entered"
2026-03-04 20:30,2026-03-05 01:10,SELL,5188.32,5208.98,5120.26,TP,67.86,"Judas above Asian high 5190.72 (fake 5206.09, depth 1.6ATR) re-entered"
2026-03-11 15:55,2026-03-11 19:35,BUY,5187.67,5173.66,5223.18,SL,-14.21,"Judas below Asian low 5186.87 (fake 5175.46, depth 1.9ATR) re-entered"
2026-03-11 16:20,2026-03-11 19:35,BUY,5187.63,5173.69,5223.18,SL,-14.14,"Judas below Asian low 5186.87 (fake 5175.46, depth 1.9ATR) re-entered"
2026-03-13 14:30,2026-03-13 15:00,BUY,5090.94,5069.59,5128.62,SL,-21.55,"Judas below Asian low 5085.73 (fake 5071.73, depth 2.0ATR) re-entered"
2026-03-20 20:35,2026-03-20 20:50,BUY,4654.49,4633.14,4735.87,SL,-21.55,"Judas below Asian low 4648.56 (fake 4636.76, depth 1.0ATR) re-entered"
2026-03-23 14:35,2026-03-23 19:50,BUY,4180.38,4087.19,4473.18,TP,292.6,"Judas below Asian low 4163.28 (fake 4098.85, depth 1.7ATR) re-entered"
2026-03-31 22:15,2026-03-31 22:30,SELL,4611.67,4628.53,4548.03,SL,-17.06,"Judas above Asian high 4614.86 (fake 4625.20, depth 0.9ATR) re-entered"
2026-04-01 15:00,2026-04-01 15:30,SELL,4722.55,4735.8,4667.08,SL,-13.45,"Judas above Asian high 4724.10 (fake 4733.14, depth 1.0ATR) re-entered"
2026-04-08 20:30,2026-04-08 22:25,BUY,4793.44,4765.09,4857.51,SL,-28.55,"Judas below Asian low 4788.24 (fake 4768.20, depth 1.9ATR) re-entered"
2026-04-10 16:55,2026-04-10 20:30,BUY,4740.89,4729.15,4777.04,TP,35.95,"Judas below Asian low 4738.02 (fake 4730.81, depth 1.3ATR) re-entered"
