timestamp,label,trades,wr,total_pnl,avg_per_day_span,avg_per_day_active,n_days_with_trades,span_days,days_hit_1000,max_dd_usd,max_dd_pct,lot_min,lot_max,risk_pct,final_equity,max_consec_loss,max_asian_range_atr_mult,tp_rr,sl_atr_mult
2026-06-26 19:22:36,debug_wide2,50,38.0,-60.97,-1.02,-2.03,30,60,0,207.14,18.07,0.01,0.06,1.5,939.03,11,100.0,1.5,0.5
2026-06-26 19:22:48,round2_maxrange6,17,47.1,66.52,1.11,4.16,16,60,0,64.55,5.76,0.01,0.04,1.5,1066.52,4,6.0,1.5,0.5
2026-06-26 19:22:50,round2_maxrange8,34,41.2,30.7,0.51,1.23,25,60,0,122.54,10.71,0.01,0.05,1.5,1030.7,8,8.0,1.5,0.5
2026-06-26 19:22:52,round3_rr1,17,52.9,16.95,0.28,1.06,16,60,0,46.64,4.42,0.01,0.04,1.5,1016.95,3,6.0,1.0,0.5
2026-06-26 19:22:54,round3_rr2,17,29.4,-11.5,-0.19,-0.72,16,60,0,81.53,7.62,0.01,0.04,1.5,988.5,6,6.0,2.0,0.5
2026-06-26 19:22:56,round3_sl0.3,17,41.2,13.08,0.22,0.82,16,60,0,62.94,5.89,0.01,0.06,1.5,1013.08,4,6.0,1.5,0.3
2026-06-26 19:23:07,round4_risk15,17,47.1,135.19,2.25,8.45,16,60,0,1018.11,48.15,0.08,0.48,15.0,1135.19,4,6.0,1.5,0.5
2026-06-26 19:23:10,round4_risk30,17,47.1,-196.82,-3.28,-12.3,16,60,0,2077.95,73.93,0.16,0.84,30.0,803.18,4,6.0,1.5,0.5
