timestamp,label,blend,sl_atr_mult_a,tp_rr_a,sl_atr_mult_b,tp_rr_b,risk_pct,trades,wr,avg_per_day_span,avg_per_month,max_dd_pct,profit_factor,pct_pos_days,max_losing_day_streak,sharpe_like,final_equity
2026-06-27 00:32:05,smoke_repro,False,1.2,1.0,,,0.5,325,55.7,7.84,235.2,11.2,1.32,57.1,3,0.204,1705.32
2026-06-27 00:32:18,smoke_blend1,True,1.2,1.0,0.8,1.5,0.5,590,0.0,14.983,449.49,28.85,0.0,50.0,5,0.207,2348.51
