timestamp,label,entry_tf,lookback,min_level_age,touch_tol_atr,close_away_atr,min_reject_wick_atr,wick_body_mult,use_doji_levels,use_pivot_levels,require_trend_into_level,trend_lookback,trend_min_atr,sl_atr_mult,tp_rr,trades,wr,avg_per_day_span,max_dd_pct,profit_factor,fixed_per_day,fixed_per_month,fixed_pf,fixed_avg,pct_pos_days,max_losing_day_streak,sharpe_like
2026-07-03 11:28:56,s85_default_90,M5,72,8,0.12,0.06,0.24,1.0,False,True,True,12,0.8,0.25,1.0,405,51.4,0.21,8.09,1.02,-0.21,-6.3,0.986,-0.047,47.9,8,-0.013
2026-07-03 11:29:20,s85_strict_b_90,M5,144,16,0.06,0.12,0.42,1.6,False,True,True,20,1.5,0.35,1.6,105,34.3,-1.72,15.48,0.45,-1.65,-49.52,0.726,-1.415,41.5,5,-0.182
2026-07-03 11:29:20,s85_strict_a_90,M5,96,12,0.08,0.1,0.36,1.4,False,True,True,16,1.2,0.25,1.4,172,44.2,0.68,6.9,1.18,0.43,12.98,1.056,0.226,52.6,5,0.034
2026-07-03 11:29:31,s85_doji_strict_90,M5,96,12,0.08,0.1,0.36,1.4,True,True,True,16,1.2,0.25,1.4,145,44.8,0.73,8.94,1.23,0.94,28.24,1.151,0.584,50.7,4,0.083
2026-07-03 11:29:48,s85_m15_strict_90,M15,96,10,0.08,0.08,0.28,1.2,True,True,True,12,0.8,0.25,1.2,81,40.7,0.61,7.23,1.23,-0.67,-20.06,0.887,-0.743,44.6,8,-0.057
2026-07-03 11:30:05,s85_strict_d_90,M5,72,12,0.08,0.08,0.3,1.2,True,True,True,16,1.0,0.2,1.0,225,50.7,-1.12,14.5,0.76,-0.67,-20.02,0.919,-0.267,50.0,6,-0.055
2026-07-03 11:30:06,s85_strict_c_90,M5,96,18,0.05,0.12,0.45,1.8,True,True,True,20,1.2,0.25,1.2,82,32.9,-0.5,5.4,0.67,-2.32,-69.54,0.511,-2.544,35.7,5,-0.339
