fold,train,test,is_avg,oos_avg,is_sharpe,oos_sharpe,oos_worst,af2000_w_on_test,n_legs_used
1,2024-05-28..2024-11-08,2024-11-11..2024-12-18,1402.67,800.44,7.84,5.41,-2747.88,91216.3,81
2,2024-07-08..2024-12-18,2024-12-19..2025-01-30,1480.8,97.34,6.48,2.86,-1003.6,75346.96,81
3,2024-08-19..2025-01-30,2025-01-31..2025-03-13,1251.78,232.58,10.67,4.23,-1847.56,77277.52,81
4,2024-09-30..2025-03-13,2025-03-14..2025-04-25,1212.5,317.86,13.14,4.46,-2974.68,58596.43,80
5,2024-11-11..2025-04-25,2025-04-28..2025-06-06,1304.76,275.13,10.68,4.68,-1330.08,65616.79,81
6,2024-12-19..2025-06-06,2025-06-09..2025-07-17,1451.3,638.18,7.17,5.33,-1495.66,42029.99,83
7,2025-01-31..2025-07-17,2025-07-18..2025-08-28,1839.97,570.99,8.47,7.77,-1103.12,58066.9,82
8,2025-03-14..2025-08-28,2025-08-29..2025-10-09,1679.04,395.0,8.9,7.82,-762.32,50541.26,82
9,2025-04-28..2025-10-09,2025-10-10..2025-11-20,1202.53,1617.0,10.0,5.43,-1065.08,80804.11,82
10,2025-06-09..2025-11-20,2025-11-21..2026-01-05,1526.2,1200.74,8.51,7.99,-1935.04,65957.51,82
11,2025-07-18..2026-01-05,2026-01-06..2026-02-16,1767.48,562.53,7.33,8.51,-1175.2,68320.79,81
12,2025-08-29..2026-02-16,2026-02-17..2026-03-30,2102.49,2566.56,6.21,5.36,-5918.04,89427.27,80
13,2025-10-10..2026-03-30,2026-03-31..2026-05-12,2776.93,1075.84,6.53,6.82,-1948.54,59557.49,84
14,2025-11-21..2026-05-12,2026-05-13..2026-06-23,2389.04,2550.36,6.22,4.54,-25071.26,84719.63,82
