timestamp,label,days,legs,trades,wr,fixed_pnl,fixed_per_day,fixed_per_month,fixed_pf,fixed_avg,pct_pos_days,max_losing_day_streak,sharpe_like,by_leg
2026-07-02 22:20:17,s70_s63_180,180,S63,81,58.0,341.62,1.9,56.94,1.648,4.218,59.1,3,0.232,S63:341.62
2026-07-02 22:20:17,s70_s63_s64_180,180,S63+S64,150,62.0,676.15,3.76,112.69,1.543,4.508,60.0,4,0.207,S63:341.62;S64:334.53
2026-07-02 22:20:17,s70_s63_s69_180,180,S63+S69,95,60.0,473.51,2.63,78.92,1.803,4.984,60.6,3,0.28,S63:341.62;S69:131.89
2026-07-02 22:20:32,s70_s63_s69_90,90,S63+S69,51,60.8,361.28,4.01,120.43,2.251,7.084,61.8,3,0.401,S63:284.20;S69:77.08
2026-07-02 22:20:32,s70_s63_s69_120,120,S63+S69,62,59.7,358.59,2.99,89.65,1.896,5.784,58.1,3,0.307,S63:268.98;S69:89.61
2026-07-02 22:20:32,s70_s63_s69_150,150,S63+S69,76,60.5,396.5,2.64,79.3,1.89,5.217,60.7,3,0.289,S63:306.89;S69:89.61
2026-07-02 22:20:33,s70_all_180,180,S63+S64+S69,164,62.8,808.04,4.49,134.67,1.618,4.927,61.0,4,0.234,S63:341.62;S64:334.53;S69:131.89
2026-07-02 22:20:50,s70_s63_90,90,S63,42,59.5,284.2,3.16,94.73,2.122,6.767,58.8,3,0.338,S63:284.20
2026-07-02 22:20:50,s70_s63_120,120,S63,52,57.7,268.98,2.24,67.24,1.737,5.173,55.8,3,0.245,S63:268.98
2026-07-02 22:20:50,s70_s63_150,150,S63,66,59.1,306.89,2.05,61.38,1.748,4.65,58.9,3,0.238,S63:306.89
2026-07-02 22:20:50,s70_all_120,120,S63+S64+S69,111,64.9,668.57,5.57,167.14,1.693,6.023,61.4,3,0.261,S63:268.98;S64:309.98;S69:89.61
