label,days,date,total,base,siglevel,weight
S86_BASELINE,90,2026-05-07,-999.8417,-999.8417,0.0,0.0
S86_BASELINE,120,2026-03-09,-984.0877,-984.0877,0.0,0.0
S86_BASELINE,150,2025-12-18,-998.7615,-998.7615,0.0,0.0
S86_BASELINE,180,2025-10-14,-999.9079,-999.9079,0.0,0.0
S85SIG_M5_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr1_tl12_tm0.8_sl0.25_rr1x0,90,2026-05-07,-999.8417,-999.8417,-0.0,0.0
S85SIG_M5_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr1_tl12_tm0.8_sl0.25_rr1x0,120,2026-03-09,-984.0877,-984.0877,0.0,0.0
S85SIG_M5_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr1_tl12_tm0.8_sl0.25_rr1x0,150,2025-12-18,-998.7615,-998.7615,0.0,0.0
S85SIG_M5_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr1_tl12_tm0.8_sl0.25_rr1x0,180,2025-10-14,-999.9079,-999.9079,-0.0,0.0
S85SIG_M5_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr1_tl12_tm0.8_sl0.25_rr1x1,90,2026-05-07,-1005.6817,-999.8417,-5.84,1.0
S85SIG_M5_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr1_tl12_tm0.8_sl0.25_rr1x1,120,2026-03-09,-979.2477,-984.0877,4.84,1.0
S85SIG_M5_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr1_tl12_tm0.8_sl0.25_rr1x1,150,2026-03-09,-989.2777,-994.1177,4.84,1.0
S85SIG_M5_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr1_tl12_tm0.8_sl0.25_rr1x1,180,2025-10-14,-1023.7679,-999.9079,-23.86,1.0
S85SIG_M5_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr1_tl12_tm0.8_sl0.25_rr1x2,90,2026-05-07,-1011.5217,-999.8417,-11.68,2.0
S85SIG_M5_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr1_tl12_tm0.8_sl0.25_rr1x2,120,2026-03-09,-974.4077,-984.0877,9.68,2.0
S85SIG_M5_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr1_tl12_tm0.8_sl0.25_rr1x2,150,2026-03-09,-984.4377,-994.1177,9.68,2.0
S85SIG_M5_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr1_tl12_tm0.8_sl0.25_rr1x2,180,2025-10-14,-1047.6279,-999.9079,-47.72,2.0
S85SIG_M5_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr1_tl12_tm0.8_sl0.25_rr1x3,90,2026-05-07,-1017.3617,-999.8417,-17.52,3.0
S85SIG_M5_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr1_tl12_tm0.8_sl0.25_rr1x3,120,2026-02-19,-986.0363,-937.3163,-48.72,3.0
S85SIG_M5_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr1_tl12_tm0.8_sl0.25_rr1x3,150,2026-02-19,-985.4663,-936.7463,-48.72,3.0
S85SIG_M5_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr1_tl12_tm0.8_sl0.25_rr1x3,180,2025-10-14,-1071.4879,-999.9079,-71.58,3.0
S85SIG_M5_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr1_tl12_tm0.8_sl0.25_rr1x4,90,2026-05-07,-1023.2017,-999.8417,-23.36,4.0
S85SIG_M5_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr1_tl12_tm0.8_sl0.25_rr1x4,120,2026-02-19,-1002.2763,-937.3163,-64.96,4.0
S85SIG_M5_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr1_tl12_tm0.8_sl0.25_rr1x4,150,2026-02-19,-1001.7063,-936.7463,-64.96,4.0
S85SIG_M5_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr1_tl12_tm0.8_sl0.25_rr1x4,180,2025-10-14,-1095.3479,-999.9079,-95.44,4.0
S85SIG_M5_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr1_tl12_tm0.8_sl0.25_rr1x5,90,2026-05-07,-1029.0417,-999.8417,-29.2,5.0
S85SIG_M5_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr1_tl12_tm0.8_sl0.25_rr1x5,120,2026-02-19,-1018.5163,-937.3163,-81.2,5.0
S85SIG_M5_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr1_tl12_tm0.8_sl0.25_rr1x5,150,2026-02-19,-1017.9463,-936.7463,-81.2,5.0
S85SIG_M5_lb72_age8_t0.08_a0.04_w0.18_wb0.8_dj0_pv1_tr1_tl12_tm0.8_sl0.25_rr1x5,180,2025-10-14,-1119.2079,-999.9079,-119.3,5.0
