time,fill_time,exit_time,dir,entry,sl,tp,outcome,profit,reason
2024-06-20 20:40,2024-06-20 20:45,2024-06-20 22:00,BUY,2344.75,2337.99,2365.01,TP,20.06,"Box 2335.40-2343.59 (w=8.19), break body 3.95, vol x1.7, retest-limit above box"
2024-06-24 20:25,2024-06-24 20:45,2024-06-25 08:45,BUY,2330.35,2324.32,2348.42,SL,-6.23,"Box 2323.28-2328.36 (w=5.08), break body 3.22, vol x1.7, retest-limit above box"
2024-06-28 20:30,2024-06-28 20:35,2024-07-01 14:10,SELL,2328.23,2337.01,2301.87,TRAIL,4.6,"Box 2331.26-2339.76 (w=8.50), break body 3.80, vol x1.7, retest-limit below box"
2024-07-05 20:30,2024-07-05 20:35,2024-07-05 21:20,BUY,2369.81,2363.7,2388.13,TRAIL,3.19,"Box 2361.88-2368.52 (w=6.64), break body 4.44, vol x3.7, retest-limit above box"
2024-07-11 20:30,2024-07-11 20:35,2024-07-11 23:40,BUY,2399.25,2379.45,2458.68,TRAIL,20.28,"Box 2377.61-2384.28 (w=6.67), break body 21.77, vol x4.1, retest-limit above box"
2024-08-14 20:30,2024-08-14 20:35,2024-08-14 20:35,SELL,2465.87,2474.81,2439.07,SL,-9.14,"Box 2470.50-2476.11 (w=5.61), break body 6.69, vol x3.0, retest-limit below box"
2024-08-26 14:25,2024-08-26 14:30,2024-08-26 15:50,BUY,2513.61,2508.89,2527.79,TRAIL,5.41,"Box 2508.75-2512.03 (w=3.28), break body 2.79, vol x1.6, retest-limit above box"
2024-09-04 22:00,2024-09-04 22:05,2024-09-04 23:05,BUY,2492.18,2485.17,2513.22,TRAIL,2.95,"Box 2482.13-2491.21 (w=9.08), break body 7.12, vol x2.0, retest-limit above box"
2024-09-05 20:20,2024-09-05 20:25,2024-09-05 21:00,BUY,2519.43,2514.68,2533.69,SL,-4.95,"Box 2513.36-2519.00 (w=5.64), break body 3.66, vol x2.5, retest-limit above box"
2024-09-06 20:30,2024-09-06 20:35,2024-09-06 21:05,BUY,2524.75,2514.76,2554.74,SL,-10.19,"Box 2512.24-2520.28 (w=8.04), break body 8.58, vol x3.3, retest-limit above box"
2024-09-11 20:30,2024-09-11 20:35,2024-09-12 14:10,SELL,2512.12,2522.11,2482.13,SL,-10.19,"Box 2516.88-2524.35 (w=7.47), break body 6.92, vol x4.8, retest-limit below box"
2024-10-04 20:30,2024-10-04 20:35,2024-10-04 22:55,SELL,2641.69,2660.78,2584.42,SL,-19.29,"Box 2656.02-2662.55 (w=6.53), break body 16.36, vol x4.6, retest-limit below box"
2024-10-09 21:15,2024-10-09 21:20,2024-10-10 20:30,SELL,2612.26,2620.21,2588.4,SL,-8.15,"Box 2615.04-2622.38 (w=7.34), break body 3.83, vol x1.9, retest-limit below box"
2024-10-10 20:30,2024-10-10 20:35,2024-10-11 00:40,BUY,2620.3,2613.57,2640.51,TRAIL,4.35,"Box 2611.25-2618.88 (w=7.63), break body 7.87, vol x3.8, retest-limit above box"
2024-10-24 21:25,2024-10-24 21:30,2024-10-24 21:45,BUY,2742.25,2736.89,2758.35,SL,-5.56,"Box 2734.96-2741.81 (w=6.85), break body 2.42, vol x1.3, retest-limit above box"
2024-11-13 15:10,2024-11-13 15:15,2024-11-13 15:30,SELL,2602.03,2607.01,2587.1,SL,-5.18,"Box 2603.58-2607.44 (w=3.86), break body 1.94, vol x1.5, retest-limit below box"
2024-11-19 21:15,2024-11-19 21:25,2024-11-20 07:05,SELL,2626.74,2635.6,2600.19,SL,-9.06,"Box 2628.76-2639.43 (w=10.67), break body 3.94, vol x1.7, retest-limit below box"
2024-12-06 21:05,2024-12-06 21:10,2024-12-06 22:05,SELL,2628.79,2639.04,2598.05,SL,-10.45,"Box 2631.78-2643.30 (w=11.52), break body 7.59, vol x1.9, retest-limit below box"
2025-01-10 20:30,2025-01-10 20:35,2025-01-10 20:45,SELL,2666.63,2680.46,2625.14,SL,-14.03,"Box 2674.92-2683.00 (w=8.08), break body 10.95, vol x2.7, retest-limit below box"
2025-01-23 16:20,2025-01-23 16:55,2025-01-23 20:40,SELL,2746.21,2754.99,2719.85,TRAIL,7.99,"Box 2751.46-2755.52 (w=4.06), break body 5.70, vol x2.1, retest-limit below box"
2025-02-21 21:45,2025-02-21 21:50,2025-02-21 22:10,BUY,2937.39,2929.74,2960.35,SL,-7.85,"Box 2926.88-2935.60 (w=8.72), break body 7.75, vol x2.8, retest-limit above box"
2025-02-27 21:45,2025-02-27 21:50,2025-02-28 16:00,SELL,2872.49,2887.83,2826.47,TRAIL,14.24,"Box 2880.27-2892.39 (w=12.12), break body 10.11, vol x2.2, retest-limit below box"
2025-03-07 20:15,2025-03-07 20:30,2025-03-07 20:30,SELL,2914.97,2921.25,2896.14,SL,-6.48,"Box 2916.71-2922.79 (w=6.08), break body 3.27, vol x2.0, retest-limit below box"
2025-04-01 22:10,2025-04-01 22:15,2025-04-02 00:15,SELL,3125.98,3133.94,3102.1,TP,23.68,"Box 3127.74-3137.15 (w=9.41), break body 6.81, vol x1.7, retest-limit below box"
2025-05-12 14:00,2025-05-12 14:05,2025-05-12 14:50,SELL,3255.34,3277.78,3188.01,TRAIL,29.66,"Box 3268.57-3283.76 (w=15.19), break body 22.89, vol x3.0, retest-limit below box"
2025-07-17 20:30,2025-07-17 20:35,2025-07-17 22:15,SELL,3318.58,3328.19,3289.74,SL,-9.81,"Box 3322.23-3331.16 (w=8.93), break body 9.01, vol x3.5, retest-limit below box"
2025-08-14 15:00,2025-08-14 15:05,2025-08-14 15:35,BUY,3365.31,3357.69,3388.19,SL,-7.82,"Box 3356.01-3362.36 (w=6.35), break body 3.67, vol x1.9, retest-limit above box"
2025-08-14 20:30,2025-08-14 20:35,2025-08-14 22:15,SELL,3348.37,3357.07,3322.28,TRAIL,8.4,"Box 3352.15-3358.98 (w=6.83), break body 5.33, vol x4.3, retest-limit below box"
2025-08-22 20:10,2025-08-22 20:15,2025-08-22 21:30,SELL,3325.89,3331.0,3310.58,SL,-5.31,"Box 3327.29-3331.71 (w=4.42), break body 2.11, vol x2.9, retest-limit below box"
2025-09-05 20:30,2025-09-05 20:35,2025-09-08 15:50,BUY,3576.77,3549.97,3657.16,TRAIL,30.55,"Box 3547.78-3555.16 (w=7.38), break body 22.49, vol x4.3, retest-limit above box"
2025-09-11 20:30,2025-09-11 20:35,2025-09-11 21:35,BUY,3638.36,3619.41,3695.19,SL,-19.15,"Box 3615.47-3626.35 (w=10.88), break body 14.85, vol x3.3, retest-limit above box"
2025-09-30 14:50,2025-09-30 14:55,2025-09-30 16:20,SELL,3857.01,3868.33,3823.06,TP,33.75,"Box 3861.96-3871.70 (w=9.74), break body 8.09, vol x2.1, retest-limit below box"
