date,trades,net_profit
2024-06-04,4,-6.8
2024-06-05,4,-6.8
2024-06-11,1,-1.7
2024-06-12,1,-1.7
2024-06-13,5,-9.11
2024-06-14,6,2.34
2024-06-17,9,-15.299999999999999
2024-06-18,2,-3.4
2024-06-21,6,23.22
2024-06-25,4,10.12
2024-06-27,3,-5.1
2024-06-28,1,-1.7
2024-07-03,1,-1.7
2024-07-09,9,-15.299999999999999
2024-07-10,6,-10.2
2024-07-11,4,5.78
2024-07-12,3,-5.1
2024-07-16,2,-3.4
2024-07-18,4,-3.54
2024-07-19,1,-1.7
2024-07-23,1,1.33
2024-07-29,3,16.35
2024-07-30,2,-3.4
2024-08-01,1,1.83
2024-08-02,1,12.96
2024-08-06,3,8.239999999999998
2024-08-15,3,8.040000000000001
2024-08-16,1,1.63
2024-08-19,1,-1.7
2024-08-20,3,7.199999999999999
2024-08-22,2,3.88
2024-08-23,1,-1.7
2024-08-27,2,-3.4
2024-08-28,1,1.66
2024-09-12,1,-1.7
2024-09-19,5,-8.719999999999999
2024-09-23,2,-3.4
2024-09-30,1,-1.7
2024-10-01,2,-3.4
2024-10-04,3,9.81
2024-10-07,2,-3.4
2024-10-14,4,-6.8
2024-10-15,3,2.7
2024-10-17,3,-5.1
2024-10-24,5,-8.5
2024-10-25,2,-0.44999999999999996
2024-11-01,3,-5.1
2024-11-06,2,4.4
2024-11-07,1,-1.7
2024-11-12,2,-3.4
2024-11-15,5,27.1
2024-11-16,1,-1.7
2024-11-18,3,21.75
2024-11-25,8,-14.75
2024-11-26,7,-11.9
2024-12-03,5,-8.5
2024-12-06,7,1.6600000000000001
2024-12-09,2,-3.4
2024-12-19,1,5.92
2024-12-27,2,3.9
2024-12-31,3,7.89
2025-01-09,2,5.84
2025-01-20,3,-5.1
2025-01-23,2,-3.4
2025-02-03,4,-6.8
2025-02-06,2,-3.4
2025-02-07,3,8.850000000000001
2025-02-15,1,-1.7
2025-02-17,1,-1.7
2025-02-20,1,-1.7
2025-02-21,5,-3.9
2025-02-26,6,-10.2
2025-02-27,7,-11.9
2025-03-03,10,108.8
2025-03-06,2,5.9
2025-03-15,1,3.45
2025-03-20,1,2.62
2025-03-21,1,1.68
2025-03-22,4,-6.8
2025-03-28,1,-1.7
2025-03-31,1,-1.7
2025-04-03,8,-17.2
2025-04-04,4,1.1699999999999995
2025-04-14,3,-5.94
2025-04-17,1,7.1
2025-04-23,2,-6.99
2025-04-25,1,-1.87
2025-04-30,3,-5.79
2025-05-08,2,-3.4
2025-05-09,1,-1.73
2025-05-27,1,3.74
2025-05-29,1,-1.7
2025-06-03,3,7.64
2025-06-04,1,-1.7
2025-06-12,10,-18.85
2025-06-16,3,7.82
2025-06-17,4,-6.859999999999999
2025-06-19,12,-20.4
2025-06-20,2,12.24
2025-06-23,1,-1.7
2025-06-24,1,-1.7
2025-06-26,1,3.24
2025-07-08,1,-1.7
2025-07-16,8,-13.6
2025-07-17,1,-1.7
2025-07-22,2,7.74
2025-07-29,3,10.32
2025-08-04,2,-3.4
2025-08-12,2,-3.4
2025-08-22,3,-5.1
2025-08-23,4,-6.8
2025-08-25,1,-1.7
2025-08-26,1,-1.7
2025-08-28,1,-1.7
2025-08-29,1,-1.7
2025-09-02,4,9.129999999999999
2025-09-10,2,-3.4
2025-09-17,1,3.01
2025-09-19,3,2.32
2025-09-24,8,70.72
2025-09-26,1,4.03
