timestamp,rank,label,add_leg,add_weight,leg_a,weight_a,leg_b,weight_b,beats_s83,floor_flags,score,avg_day,min_day,min_pf,max_streak,worst_day,max_lot,max_leg_dd_pct,skipped_by_cb,days,day,daily_pf,window_streak,window_worst_day,best_day,trade_units,by_leg
2026-07-03 16:11:41,0,S82_BASELINE,,,,,,,,-700:FAIL;-900:FAIL;-973.16:FAIL;-999.91:PASS;-1000:PASS,,384.42,364.83,4.055,3,-999.91,0.19,55.01,9727,90,372.89,4.106,3,-965.96,2843.84,5890.06,A:727.79;B:183.20;C:100.49;D:6154.91;E:947.06;F:3769.80;G:281.39;H:212.88;I:739.34;K:5249.59;L:382.39;M:2377.48;N:692.90;P:314.04;Q:182.88;R:4530.82;S63:2187.90;S64:126.54;S69:1710.60;S87_MAIN:2688.03
2026-07-03 16:11:41,0,S82_BASELINE,,,,,,,,-700:FAIL;-900:FAIL;-973.16:FAIL;-999.91:PASS;-1000:PASS,,384.42,364.83,4.055,3,-999.91,0.19,55.01,9727,120,431.59,4.628,3,-937.32,5164.4,7751.88,A:767.05;B:97.29;C:92.10;D:7579.72;E:1508.81;F:5419.94;G:279.66;H:245.09;I:1235.77;K:7939.22;L:413.75;M:3727.53;N:2746.43;P:103.57;Q:402.57;R:5892.88;S63:1993.09;S64:1516.26;S69:1988.67;S87_MAIN:7840.97
2026-07-03 16:11:41,0,S82_BASELINE,,,,,,,,-700:FAIL;-900:FAIL;-973.16:FAIL;-999.91:PASS;-1000:PASS,,384.42,364.83,4.055,3,-999.91,0.19,55.01,9727,150,364.83,4.196,3,-998.76,4944.19,9322.75,A:780.28;B:124.85;C:124.02;D:7728.02;E:1464.27;F:7216.66;G:360.85;H:58.67;I:1137.89;K:8681.18;L:425.38;M:3967.04;N:2834.46;P:140.01;Q:569.77;R:8307.25;S63:1899.52;S64:-769.23;S69:1988.67;S87_MAIN:7685.63
2026-07-03 16:11:41,0,S82_BASELINE,,,,,,,,-700:FAIL;-900:FAIL;-973.16:FAIL;-999.91:PASS;-1000:PASS,,384.42,364.83,4.055,3,-999.91,0.19,55.01,9727,180,368.35,4.055,3,-999.91,4944.19,11158.99,A:670.87;B:152.23;C:153.56;D:8229.83;E:1823.52;F:11568.15;G:336.37;H:280.54;I:1301.36;K:12014.20;L:1353.65;M:4372.46;N:3687.01;P:169.81;Q:1015.99;R:7526.49;S63:2492.67;S64:477.72;S69:2926.97;S87_MAIN:5749.80
2026-07-03 16:11:41,0,S83_CHAMPION,,,,,,,,-700:FAIL;-900:FAIL;-973.16:FAIL;-999.91:PASS;-1000:PASS,,429.68,401.38,4.095,3,-999.91,0.19,55.01,9754,90,439.1,4.474,3,-984.09,3352.32,6366.25,A:727.79;B:183.20;C:100.49;D:6154.91;E:947.06;F:3769.80;G:281.39;H:212.88;I:739.34;K:5249.59;L:382.39;M:2377.48;N:692.90;P:314.04;Q:182.88;R:4530.82;S63:2187.90;S64:126.54;S69:1710.60;S87_MAIN:2688.03;S88_D1_INV_NO17:5959.16
2026-07-03 16:11:41,0,S83_CHAMPION,,,,,,,,-700:FAIL;-900:FAIL;-973.16:FAIL;-999.91:PASS;-1000:PASS,,429.68,401.38,4.095,3,-999.91,0.19,55.01,9754,120,475.4,4.573,3,-984.09,5771.9,8458.94,A:767.05;B:97.29;C:92.10;D:7579.72;E:1508.81;F:5419.94;G:279.66;H:245.09;I:1235.77;K:7939.22;L:413.75;M:3727.53;N:2746.43;P:103.57;Q:402.57;R:5892.88;S63:1993.09;S64:1516.26;S69:1988.67;S87_MAIN:7840.97;S88_D1_INV_NO17:5257.57
2026-07-03 16:11:41,0,S83_CHAMPION,,,,,,,,-700:FAIL;-900:FAIL;-973.16:FAIL;-999.91:PASS;-1000:PASS,,429.68,401.38,4.095,3,-999.91,0.19,55.01,9754,150,402.83,4.22,3,-998.76,5771.9,10130.83,A:780.28;B:124.85;C:124.02;D:7728.02;E:1464.27;F:7216.66;G:360.85;H:58.67;I:1137.89;K:8681.18;L:425.38;M:3967.04;N:2834.46;P:140.01;Q:569.77;R:8307.25;S63:1899.52;S64:-769.23;S69:1988.67;S87_MAIN:7685.63;S88_D1_INV_NO17:5698.84
2026-07-03 16:11:41,0,S83_CHAMPION,,,,,,,,-700:FAIL;-900:FAIL;-973.16:FAIL;-999.91:PASS;-1000:PASS,,429.68,401.38,4.095,3,-999.91,0.19,55.01,9754,180,401.38,4.095,3,-999.91,5771.9,12068.08,A:670.87;B:152.23;C:153.56;D:8229.83;E:1823.52;F:11568.15;G:336.37;H:280.54;I:1301.36;K:12014.20;L:1353.65;M:4372.46;N:3687.01;P:169.81;Q:1015.99;R:7526.49;S63:2492.67;S64:477.72;S69:2926.97;S87_MAIN:5749.80;S88_D1_INV_NO17:5946.03
2026-07-03 16:11:41,1,S82+S88_D1_INV_NO17x14.25+S89_D1_INV_NO17_RATR18x10,S88_D1_INV_NO17+S89_D1_INV_NO17_RATR18,14.25+10,S88_D1_INV_NO17,14.25,S89_D1_INV_NO17_RATR18,10.0,False,-700:FAIL;-900:FAIL;-973.16:FAIL;-999.91:PASS;-1000:PASS,"(0, 1, 431.830238, 399.556309, -999.9079, 3.959505, -3)",431.83,399.56,3.96,3,-999.91,0.19,55.01,9794,90,452.2,4.398,3,-975.56,3383.01,6550.31,A:727.79;B:183.20;C:100.49;D:6154.91;E:947.06;F:3769.80;G:281.39;H:212.88;I:739.34;K:5249.59;L:382.39;M:2377.48;N:692.90;P:314.04;Q:182.88;R:4530.82;S63:2187.90;S64:126.54;S69:1710.60;S87_MAIN:2688.03;S88_D1_INV_NO17:5884.82;S89_D1_INV_NO17_RATR18:1253.50
2026-07-03 16:11:41,1,S82+S88_D1_INV_NO17x14.25+S89_D1_INV_NO17_RATR18x10,S88_D1_INV_NO17+S89_D1_INV_NO17_RATR18,14.25+10,S88_D1_INV_NO17,14.25,S89_D1_INV_NO17_RATR18,10.0,False,-700:FAIL;-900:FAIL;-973.16:FAIL;-999.91:PASS;-1000:PASS,"(0, 1, 431.830238, 399.556309, -999.9079, 3.959505, -3)",431.83,399.56,3.96,3,-999.91,0.19,55.01,9794,120,475.25,4.429,3,-975.56,5292.68,8660.12,A:767.05;B:97.29;C:92.10;D:7579.72;E:1508.81;F:5419.94;G:279.66;H:245.09;I:1235.77;K:7939.22;L:413.75;M:3727.53;N:2746.43;P:103.57;Q:402.57;R:5892.88;S63:1993.09;S64:1516.26;S69:1988.67;S87_MAIN:7840.97;S88_D1_INV_NO17:5191.99;S89_D1_INV_NO17_RATR18:47.30
2026-07-03 16:11:41,1,S82+S88_D1_INV_NO17x14.25+S89_D1_INV_NO17_RATR18x10,S88_D1_INV_NO17+S89_D1_INV_NO17_RATR18,14.25+10,S88_D1_INV_NO17,14.25,S89_D1_INV_NO17_RATR18,10.0,False,-700:FAIL;-900:FAIL;-973.16:FAIL;-999.91:PASS;-1000:PASS,"(0, 1, 431.830238, 399.556309, -999.9079, 3.959505, -3)",431.83,399.56,3.96,3,-999.91,0.19,55.01,9794,150,399.56,4.022,3,-998.76,5292.68,10380.75,A:780.28;B:124.85;C:124.02;D:7728.02;E:1464.27;F:7216.66;G:360.85;H:58.67;I:1137.89;K:8681.18;L:425.38;M:3967.04;N:2834.46;P:140.01;Q:569.77;R:8307.25;S63:1899.52;S64:-769.23;S69:1988.67;S87_MAIN:7685.63;S88_D1_INV_NO17:5627.75;S89_D1_INV_NO17_RATR18:-419.50
2026-07-03 16:11:41,1,S82+S88_D1_INV_NO17x14.25+S89_D1_INV_NO17_RATR18x10,S88_D1_INV_NO17+S89_D1_INV_NO17_RATR18,14.25+10,S88_D1_INV_NO17,14.25,S89_D1_INV_NO17_RATR18,10.0,False,-700:FAIL;-900:FAIL;-973.16:FAIL;-999.91:PASS;-1000:PASS,"(0, 1, 431.830238, 399.556309, -999.9079, 3.959505, -3)",431.83,399.56,3.96,3,-999.91,0.19,55.01,9794,180,400.31,3.96,3,-999.91,5292.68,12356.74,A:670.87;B:152.23;C:153.56;D:8229.83;E:1823.52;F:11568.15;G:336.37;H:280.54;I:1301.36;K:12014.20;L:1353.65;M:4372.46;N:3687.01;P:169.81;Q:1015.99;R:7526.49;S63:2492.67;S64:477.72;S69:2926.97;S87_MAIN:5749.80;S88_D1_INV_NO17:5871.86;S89_D1_INV_NO17_RATR18:-118.60
2026-07-03 16:11:41,2,S82+S88_D1_INV_NO17x14.25+S89_D1_INV_NO17_RATR18x9.75,S88_D1_INV_NO17+S89_D1_INV_NO17_RATR18,14.25+9.75,S88_D1_INV_NO17,14.25,S89_D1_INV_NO17_RATR18,9.75,False,-700:FAIL;-900:FAIL;-973.16:FAIL;-999.91:PASS;-1000:PASS,"(0, 1, 431.762323, 399.626226, -999.9079, 3.963331, -3)",431.76,399.63,3.963,3,-999.91,0.19,55.01,9794,90,451.86,4.4,3,-975.56,3367.11,6545.56,A:727.79;B:183.20;C:100.49;D:6154.91;E:947.06;F:3769.80;G:281.39;H:212.88;I:739.34;K:5249.59;L:382.39;M:2377.48;N:692.90;P:314.04;Q:182.88;R:4530.82;S63:2187.90;S64:126.54;S69:1710.60;S87_MAIN:2688.03;S88_D1_INV_NO17:5884.82;S89_D1_INV_NO17_RATR18:1222.16
2026-07-03 16:11:41,2,S82+S88_D1_INV_NO17x14.25+S89_D1_INV_NO17_RATR18x9.75,S88_D1_INV_NO17+S89_D1_INV_NO17_RATR18,14.25+9.75,S88_D1_INV_NO17,14.25,S89_D1_INV_NO17_RATR18,9.75,False,-700:FAIL;-900:FAIL;-973.16:FAIL;-999.91:PASS;-1000:PASS,"(0, 1, 431.762323, 399.626226, -999.9079, 3.963331, -3)",431.76,399.63,3.963,3,-999.91,0.19,55.01,9794,120,475.24,4.433,3,-975.56,5304.4,8654.88,A:767.05;B:97.29;C:92.10;D:7579.72;E:1508.81;F:5419.94;G:279.66;H:245.09;I:1235.77;K:7939.22;L:413.75;M:3727.53;N:2746.43;P:103.57;Q:402.57;R:5892.88;S63:1993.09;S64:1516.26;S69:1988.67;S87_MAIN:7840.97;S88_D1_INV_NO17:5191.99;S89_D1_INV_NO17_RATR18:46.12
2026-07-03 16:11:41,2,S82+S88_D1_INV_NO17x14.25+S89_D1_INV_NO17_RATR18x9.75,S88_D1_INV_NO17+S89_D1_INV_NO17_RATR18,14.25+9.75,S88_D1_INV_NO17,14.25,S89_D1_INV_NO17_RATR18,9.75,False,-700:FAIL;-900:FAIL;-973.16:FAIL;-999.91:PASS;-1000:PASS,"(0, 1, 431.762323, 399.626226, -999.9079, 3.963331, -3)",431.76,399.63,3.963,3,-999.91,0.19,55.01,9794,150,399.63,4.027,3,-998.76,5304.4,10374.25,A:780.28;B:124.85;C:124.02;D:7728.02;E:1464.27;F:7216.66;G:360.85;H:58.67;I:1137.89;K:8681.18;L:425.38;M:3967.04;N:2834.46;P:140.01;Q:569.77;R:8307.25;S63:1899.52;S64:-769.23;S69:1988.67;S87_MAIN:7685.63;S88_D1_INV_NO17:5627.75;S89_D1_INV_NO17_RATR18:-409.01
2026-07-03 16:11:41,2,S82+S88_D1_INV_NO17x14.25+S89_D1_INV_NO17_RATR18x9.75,S88_D1_INV_NO17+S89_D1_INV_NO17_RATR18,14.25+9.75,S88_D1_INV_NO17,14.25,S89_D1_INV_NO17_RATR18,9.75,False,-700:FAIL;-900:FAIL;-973.16:FAIL;-999.91:PASS;-1000:PASS,"(0, 1, 431.762323, 399.626226, -999.9079, 3.963331, -3)",431.76,399.63,3.963,3,-999.91,0.19,55.01,9794,180,400.33,3.963,3,-999.91,5304.4,12349.24,A:670.87;B:152.23;C:153.56;D:8229.83;E:1823.52;F:11568.15;G:336.37;H:280.54;I:1301.36;K:12014.20;L:1353.65;M:4372.46;N:3687.01;P:169.81;Q:1015.99;R:7526.49;S63:2492.67;S64:477.72;S69:2926.97;S87_MAIN:5749.80;S88_D1_INV_NO17:5871.86;S89_D1_INV_NO17_RATR18:-115.64
2026-07-03 16:11:41,3,S82+S88_D1_INV_NO17x14.25+S89_D1_INV_NO17_RATR18x9.5,S88_D1_INV_NO17+S89_D1_INV_NO17_RATR18,14.25+9.5,S88_D1_INV_NO17,14.25,S89_D1_INV_NO17_RATR18,9.5,False,-700:FAIL;-900:FAIL;-973.16:FAIL;-999.91:PASS;-1000:PASS,"(0, 1, 431.694408, 399.696143, -999.9079, 3.967166, -3)",431.69,399.7,3.967,3,-999.91,0.19,55.01,9794,90,451.51,4.402,3,-975.56,3351.2,6540.81,A:727.79;B:183.20;C:100.49;D:6154.91;E:947.06;F:3769.80;G:281.39;H:212.88;I:739.34;K:5249.59;L:382.39;M:2377.48;N:692.90;P:314.04;Q:182.88;R:4530.82;S63:2187.90;S64:126.54;S69:1710.60;S87_MAIN:2688.03;S88_D1_INV_NO17:5884.82;S89_D1_INV_NO17_RATR18:1190.82
2026-07-03 16:11:41,3,S82+S88_D1_INV_NO17x14.25+S89_D1_INV_NO17_RATR18x9.5,S88_D1_INV_NO17+S89_D1_INV_NO17_RATR18,14.25+9.5,S88_D1_INV_NO17,14.25,S89_D1_INV_NO17_RATR18,9.5,False,-700:FAIL;-900:FAIL;-973.16:FAIL;-999.91:PASS;-1000:PASS,"(0, 1, 431.694408, 399.696143, -999.9079, 3.967166, -3)",431.69,399.7,3.967,3,-999.91,0.19,55.01,9794,120,475.23,4.437,3,-975.56,5316.12,8649.62,A:767.05;B:97.29;C:92.10;D:7579.72;E:1508.81;F:5419.94;G:279.66;H:245.09;I:1235.77;K:7939.22;L:413.75;M:3727.53;N:2746.43;P:103.57;Q:402.57;R:5892.88;S63:1993.09;S64:1516.26;S69:1988.67;S87_MAIN:7840.97;S88_D1_INV_NO17:5191.99;S89_D1_INV_NO17_RATR18:44.93
2026-07-03 16:11:41,3,S82+S88_D1_INV_NO17x14.25+S89_D1_INV_NO17_RATR18x9.5,S88_D1_INV_NO17+S89_D1_INV_NO17_RATR18,14.25+9.5,S88_D1_INV_NO17,14.25,S89_D1_INV_NO17_RATR18,9.5,False,-700:FAIL;-900:FAIL;-973.16:FAIL;-999.91:PASS;-1000:PASS,"(0, 1, 431.694408, 399.696143, -999.9079, 3.967166, -3)",431.69,399.7,3.967,3,-999.91,0.19,55.01,9794,150,399.7,4.032,3,-998.76,5316.12,10367.75,A:780.28;B:124.85;C:124.02;D:7728.02;E:1464.27;F:7216.66;G:360.85;H:58.67;I:1137.89;K:8681.18;L:425.38;M:3967.04;N:2834.46;P:140.01;Q:569.77;R:8307.25;S63:1899.52;S64:-769.23;S69:1988.67;S87_MAIN:7685.63;S88_D1_INV_NO17:5627.75;S89_D1_INV_NO17_RATR18:-398.53
2026-07-03 16:11:41,3,S82+S88_D1_INV_NO17x14.25+S89_D1_INV_NO17_RATR18x9.5,S88_D1_INV_NO17+S89_D1_INV_NO17_RATR18,14.25+9.5,S88_D1_INV_NO17,14.25,S89_D1_INV_NO17_RATR18,9.5,False,-700:FAIL;-900:FAIL;-973.16:FAIL;-999.91:PASS;-1000:PASS,"(0, 1, 431.694408, 399.696143, -999.9079, 3.967166, -3)",431.69,399.7,3.967,3,-999.91,0.19,55.01,9794,180,400.35,3.967,3,-999.91,5316.12,12341.74,A:670.87;B:152.23;C:153.56;D:8229.83;E:1823.52;F:11568.15;G:336.37;H:280.54;I:1301.36;K:12014.20;L:1353.65;M:4372.46;N:3687.01;P:169.81;Q:1015.99;R:7526.49;S63:2492.67;S64:477.72;S69:2926.97;S87_MAIN:5749.80;S88_D1_INV_NO17:5871.86;S89_D1_INV_NO17_RATR18:-112.67
