date,trades,net_profit
2025-10-20,2,-4.27
2025-10-25,3,-7.43
2025-11-06,1,-1.7
2025-11-14,5,-13.8
2025-11-18,1,13.74
2025-11-28,2,-3.4
2025-12-04,5,44.900000000000006
2025-12-09,2,-3.4
2025-12-13,5,-11.66
2025-12-15,2,-3.8499999999999996
2025-12-16,2,-3.4
2025-12-19,2,-3.4
2025-12-24,4,-8.47
2025-12-30,1,-2.2
2026-01-02,4,-6.859999999999999
2026-01-03,5,-10.87
2026-01-06,1,-1.7
2026-01-08,4,-6.85
2026-01-21,1,11.17
2026-01-22,2,-4.43
2026-01-23,5,-11.370000000000001
2026-01-26,5,-13.219999999999999
2026-02-05,1,-6.91
2026-02-10,2,-4.92
2026-02-11,2,26.58
2026-02-13,2,35.76
2026-02-17,3,28.05
2026-02-18,3,106.28999999999999
2026-02-19,1,-1.7
2026-03-02,5,-17.119999999999997
2026-03-06,2,-4.52
2026-03-07,5,113.55000000000001
2026-03-11,5,-14.05
2026-03-25,1,-3.19
2026-03-31,3,58.949999999999996
2026-04-03,5,133.1
2026-04-06,4,145.56
2026-04-07,1,-1.7
2026-04-08,4,76.84
2026-04-13,2,-5.109999999999999
2026-04-15,2,18.96
2026-04-17,1,6.73
2026-04-18,4,-9.35
2026-04-22,3,-6.6899999999999995
2026-04-27,4,-9.72
2026-04-28,5,-8.54
2026-04-29,5,-8.5
2026-04-30,1,-1.7
2026-05-05,1,-1.7
2026-05-07,4,-9.9
2026-05-08,1,-2.03
2026-05-11,6,-19.259999999999998
2026-05-19,1,-1.75
2026-05-20,4,-8.98
2026-05-21,1,-2.4
2026-05-22,5,-9.87
2026-05-27,2,-3.4
2026-05-30,5,-10.49
2026-06-02,3,19.59
2026-06-03,1,-2.08
2026-06-15,1,-1.7
2026-06-18,4,-9.23
2026-06-26,1,-1.88
2026-07-02,3,-7.02
