time,exit_time,dir,entry,sl,tp,outcome,profit,ml_prob
2025-10-17 20:20,2025-10-17 21:35,BUY,4293.55,4274.41,4322.26,SL,-19.34,0.603
2025-10-17 22:25,2025-10-18 00:30,BUY,4241.26,4209.34,4289.14,SL,-32.12,0.604
2025-10-17 23:15,2025-10-18 00:30,BUY,4238.79,4213.01,4277.46,SL,-25.98,0.616
2025-10-18 00:45,2025-10-18 01:00,BUY,4216.06,4198.52,4242.37,SL,-17.74,0.61
2025-10-18 01:35,2025-10-18 02:10,BUY,4212.39,4193.54,4240.67,TP,28.08,0.637
2025-10-18 02:25,2025-10-18 03:10,BUY,4244.53,4229.55,4267.0,SL,-15.18,0.637
2025-10-18 03:25,2025-10-18 04:00,BUY,4216.46,4205.17,4233.4,TP,16.74,0.629
2025-10-20 08:05,2025-10-20 08:10,BUY,4237.76,4228.52,4251.62,SL,-9.44,0.603
2025-10-20 15:40,2025-10-20 18:05,BUY,4259.12,4250.15,4272.58,SL,-9.17,0.63
2025-10-20 20:00,2025-10-20 20:15,BUY,4276.21,4269.06,4286.93,TP,10.52,0.604
2025-10-21 03:55,2025-10-21 04:00,SELL,4378.11,4383.4,4370.17,TP,7.74,0.614
2025-10-21 10:35,2025-10-21 13:30,BUY,4339.46,4327.55,4357.32,SL,-12.11,0.602
2025-10-21 22:05,2025-10-21 22:25,BUY,4172.94,4147.95,4210.42,SL,-25.19,0.604
2025-10-21 22:55,2025-10-22 00:35,BUY,4139.66,4111.04,4182.59,SL,-28.82,0.635
2025-10-21 23:45,2025-10-22 00:20,BUY,4140.3,4115.9,4176.9,SL,-24.6,0.663
2025-10-22 01:10,2025-10-22 01:25,BUY,4114.28,4097.8,4139.0,SL,-16.68,0.635
2025-10-22 02:05,2025-10-22 07:55,BUY,4113.8,4098.61,4136.59,SL,-15.39,0.619
2025-10-22 08:05,2025-10-22 08:10,BUY,4036.57,4018.75,4063.3,SL,-18.02,0.619
2025-10-22 08:55,2025-10-22 11:30,BUY,4074.91,4043.79,4121.59,TP,46.48,0.702
2025-10-22 09:45,2025-10-22 11:35,BUY,4099.83,4077.07,4133.97,TP,33.94,0.634
2025-10-22 16:20,2025-10-22 16:45,BUY,4104.72,4083.75,4136.18,SL,-21.17,0.601
2025-10-22 17:10,2025-10-22 18:40,BUY,4075.59,4047.29,4118.04,SL,-28.5,0.611
2025-10-22 19:20,2025-10-22 19:30,BUY,4040.02,4019.12,4071.37,SL,-21.1,0.604
2025-10-22 20:10,2025-10-22 21:00,BUY,4036.22,4016.47,4065.84,TP,29.43,0.615
2025-10-22 21:15,2025-10-22 22:30,BUY,4065.28,4047.09,4092.57,SL,-18.39,0.633
2025-10-22 23:05,2025-10-23 01:45,BUY,4035.46,4014.45,4066.98,TP,31.32,0.605
2025-10-23 02:40,2025-10-23 03:10,BUY,4076.28,4066.17,4091.45,TP,14.97,0.624
2025-10-23 08:25,2025-10-23 11:15,BUY,4076.17,4064.35,4093.9,TP,17.53,0.613
2025-10-23 14:10,2025-10-23 14:30,BUY,4130.34,4120.54,4145.04,SL,-10.0,0.618
2025-10-23 17:15,2025-10-23 17:40,BUY,4122.95,4115.12,4134.69,SL,-8.03,0.602
2025-10-23 20:45,2025-10-23 21:15,BUY,4123.91,4113.73,4139.18,TP,15.07,0.63
2025-10-23 21:35,2025-10-24 00:40,BUY,4141.23,4129.79,4158.39,SL,-11.64,0.644
2025-10-24 00:50,2025-10-24 03:35,BUY,4132.03,4123.44,4144.91,SL,-8.79,0.636
2025-10-24 01:40,2025-10-24 03:35,BUY,4134.4,4124.83,4148.76,SL,-9.77,0.614
2025-10-24 03:45,2025-10-24 04:10,BUY,4118.78,4112.11,4128.78,SL,-6.87,0.62
2025-10-24 07:35,2025-10-24 07:50,BUY,4112.13,4105.95,4121.4,TP,9.07,0.605
2025-10-24 08:35,2025-10-24 09:05,BUY,4128.78,4120.82,4140.72,TP,11.74,0.6
