timestamp,rank,label,base,w_s63,w_s69,w_s64,score,min_pf,avg_day,avg_month,avg_sharpe,max_streak,days,trades,trade_units,fixed_per_day,fixed_per_month,fixed_pf,sharpe_like,max_losing_day_streak,by_leg
2026-07-03 09:21:40,4,P13+S63x8+S69x24+S64x2,P13,8.0,24.0,2.0,"(1, 1, 1.117, 0.1467, 3092.96, -4)",1.117,103.097,3092.96,0.147,4,90,7550,8092.0,126.74,3802.23,1.192,0.197,4,P13-B:183.20;P13-C:124.33;P13-D:1233.48;P13-F:-262.27;P13-G:301.29;P13-H:297.71;P13-I:550.26;P13-K:-309.58;P13-M:1525.59;P13-N:1411.44;P13-P:121.42;P13-Q:-57.02;P13-R:1706.45;S63:2273.60;S64:456.88;S69:1849.92
2026-07-03 09:21:40,4,P13+S63x8+S69x24+S64x2,P13,8.0,24.0,2.0,"(1, 1, 1.117, 0.1467, 3092.96, -4)",1.117,103.097,3092.96,0.147,4,120,10288,10932.0,112.95,3388.61,1.155,0.145,4,P13-B:141.60;P13-C:118.72;P13-D:181.43;P13-F:-1350.58;P13-G:246.84;P13-H:340.47;P13-I:993.46;P13-K:-304.58;P13-M:3375.79;P13-N:2920.72;P13-P:42.65;P13-Q:-226.47;P13-R:2114.71;S63:2151.84;S64:657.20;S69:2150.64
2026-07-03 09:21:40,4,P13+S63x8+S69x24+S64x2,P13,8.0,24.0,2.0,"(1, 1, 1.117, 0.1467, 3092.96, -4)",1.117,103.097,3092.96,0.147,4,150,12940,13689.0,79.95,2398.59,1.117,0.111,4,P13-B:172.66;P13-C:146.12;P13-D:-307.84;P13-F:-1509.87;P13-G:235.91;P13-H:285.73;P13-I:894.29;P13-K:-472.07;P13-M:3201.03;P13-N:3049.26;P13-P:36.04;P13-Q:-335.40;P13-R:1464.76;S63:2455.12;S64:526.56;S69:2150.64
2026-07-03 09:21:40,4,P13+S63x8+S69x24+S64x2,P13,8.0,24.0,2.0,"(1, 1, 1.117, 0.1467, 3092.96, -4)",1.117,103.097,3092.96,0.147,4,180,15246,16205.0,92.75,2782.42,1.142,0.134,4,P13-B:200.04;P13-C:187.18;P13-D:-767.06;P13-F:-873.01;P13-G:119.02;P13-H:504.21;P13-I:1056.83;P13-K:183.65;P13-M:3739.34;P13-N:4348.33;P13-P:28.98;P13-Q:91.04;P13-R:1271.35;S63:2732.96;S64:706.30;S69:3165.36
2026-07-03 09:21:40,5,P13+S63x8+S69x24+S64x1,P13,8.0,24.0,1.0,"(1, 1, 1.115, 0.1447, 3025.51, -4)",1.115,100.853,3025.51,0.145,4,90,7550,8051.0,124.2,3726.09,1.189,0.193,4,P13-B:183.20;P13-C:124.33;P13-D:1233.48;P13-F:-262.27;P13-G:301.29;P13-H:297.71;P13-I:550.26;P13-K:-309.58;P13-M:1525.59;P13-N:1411.44;P13-P:121.42;P13-Q:-57.02;P13-R:1706.45;S63:2273.60;S64:228.44;S69:1849.92
2026-07-03 09:21:40,5,P13+S63x8+S69x24+S64x1,P13,8.0,24.0,1.0,"(1, 1, 1.115, 0.1447, 3025.51, -4)",1.115,100.853,3025.51,0.145,4,120,10288,10882.0,110.22,3306.46,1.152,0.143,4,P13-B:141.60;P13-C:118.72;P13-D:181.43;P13-F:-1350.58;P13-G:246.84;P13-H:340.47;P13-I:993.46;P13-K:-304.58;P13-M:3375.79;P13-N:2920.72;P13-P:42.65;P13-Q:-226.47;P13-R:2114.71;S63:2151.84;S64:328.60;S69:2150.64
2026-07-03 09:21:40,5,P13+S63x8+S69x24+S64x1,P13,8.0,24.0,1.0,"(1, 1, 1.115, 0.1447, 3025.51, -4)",1.115,100.853,3025.51,0.145,4,150,12940,13632.0,78.2,2345.93,1.115,0.11,4,P13-B:172.66;P13-C:146.12;P13-D:-307.84;P13-F:-1509.87;P13-G:235.91;P13-H:285.73;P13-I:894.29;P13-K:-472.07;P13-M:3201.03;P13-N:3049.26;P13-P:36.04;P13-Q:-335.40;P13-R:1464.76;S63:2455.12;S64:263.28;S69:2150.64
2026-07-03 09:21:40,5,P13+S63x8+S69x24+S64x1,P13,8.0,24.0,1.0,"(1, 1, 1.115, 0.1447, 3025.51, -4)",1.115,100.853,3025.51,0.145,4,180,15246,16135.0,90.79,2723.56,1.14,0.133,4,P13-B:200.04;P13-C:187.18;P13-D:-767.06;P13-F:-873.01;P13-G:119.02;P13-H:504.21;P13-I:1056.83;P13-K:183.65;P13-M:3739.34;P13-N:4348.33;P13-P:28.98;P13-Q:91.04;P13-R:1271.35;S63:2732.96;S64:353.15;S69:3165.36
2026-07-03 09:21:40,6,P13+S63x8+S69x24+S64x0.5,P13,8.0,24.0,0.5,"(1, 1, 1.114, 0.1437, 2991.78, -4)",1.114,99.725,2991.78,0.144,4,90,7550,8030.5,122.93,3688.01,1.188,0.191,4,P13-B:183.20;P13-C:124.33;P13-D:1233.48;P13-F:-262.27;P13-G:301.29;P13-H:297.71;P13-I:550.26;P13-K:-309.58;P13-M:1525.59;P13-N:1411.44;P13-P:121.42;P13-Q:-57.02;P13-R:1706.45;S63:2273.60;S64:114.22;S69:1849.92
2026-07-03 09:21:40,6,P13+S63x8+S69x24+S64x0.5,P13,8.0,24.0,0.5,"(1, 1, 1.114, 0.1437, 2991.78, -4)",1.114,99.725,2991.78,0.144,4,120,10288,10857.0,108.85,3265.39,1.151,0.143,4,P13-B:141.60;P13-C:118.72;P13-D:181.43;P13-F:-1350.58;P13-G:246.84;P13-H:340.47;P13-I:993.46;P13-K:-304.58;P13-M:3375.79;P13-N:2920.72;P13-P:42.65;P13-Q:-226.47;P13-R:2114.71;S63:2151.84;S64:164.30;S69:2150.64
