date,trades,win,loss,net_profit,win_rate
2025-10-15,1,1,0,18.03,100.0
2025-10-16,1,0,1,-9.4,0.0
2025-12-11,1,0,1,-13.69,0.0
2026-01-19,1,0,1,-7.29,0.0
2026-01-22,1,1,0,12.78,100.0
2026-01-27,1,1,0,40.15,100.0
2026-02-10,1,1,0,37.19,100.0
2026-03-06,1,1,0,26.62,100.0
2026-03-10,1,0,1,-10.86,0.0
2026-04-13,1,1,0,15.09,100.0
2026-04-21,1,1,0,10.51,100.0
2026-05-14,1,1,0,15.76,100.0
2026-05-18,1,1,0,22.4,100.0
2026-05-28,1,0,1,-10.81,0.0
2026-06-16,1,0,1,-5.51,0.0
2026-06-17,1,1,0,11.07,100.0
2026-07-02,1,1,0,13.77,100.0
