date,trades,net_profit
2026-03-02,2,-90.45
2026-03-04,2,135.54000000000002
2026-03-11,2,-28.35
2026-03-13,1,-21.55
2026-03-20,1,-21.55
2026-03-23,1,292.6
2026-03-31,1,-17.06
2026-04-01,1,-13.45
2026-04-08,1,-28.55
2026-04-10,2,27.620000000000005
2026-04-13,2,2.780000000000001
2026-04-20,1,-15.96
2026-04-23,1,42.42
2026-04-27,1,-8.52
2026-04-29,1,-9.99
2026-05-04,1,-10.24
2026-05-13,1,-13.91
2026-05-28,1,-17.15
2026-05-29,1,-8.6
2026-06-03,2,-17.49
2026-06-05,1,32.98
2026-06-09,1,9.74
2026-06-22,2,51.96
2026-07-02,2,-20.89
2026-07-03,1,-8.98
2026-07-09,1,-12.7
2026-07-10,1,-6.26
