timestamp,label,scale,days,fixed_per_day,fixed_per_month,fixed_pf,sharpe_like,max_losing_day_streak,worst_day,best_day,trade_units
2026-07-03 09:22:37,S72_FIXED,1.0,90,131.82,3954.53,1.196,0.205,4,-952.17,1981.72,8174.0
2026-07-03 09:22:37,S72_FIXED,1.0,120,118.43,3552.91,1.16,0.147,4,-1169.65,5026.78,11032.0
2026-07-03 09:22:37,S72_FIXED,1.0,150,83.46,2503.9,1.121,0.112,4,-1169.65,5026.78,13803.0
2026-07-03 09:22:37,S72_FIXED,1.0,180,96.67,2900.14,1.146,0.135,4,-1169.65,5026.78,16345.0
2026-07-03 09:22:37,S73_AVG_1000,9.294,90,1225.13,36753.81,1.196,0.205,4,-8849.57,18418.33,75970.07
2026-07-03 09:22:37,S73_AVG_1000,9.294,120,1100.7,33021.14,1.16,0.147,4,-10870.86,46719.46,102532.65
2026-07-03 09:22:37,S73_AVG_1000,9.294,150,775.72,23271.53,1.121,0.112,4,-10870.86,46719.46,128286.63
2026-07-03 09:22:37,S73_AVG_1000,9.294,180,898.47,26954.2,1.146,0.135,4,-10870.86,46719.46,151912.26
2026-07-03 09:22:37,S73_ALL_WINDOWS_1000,11.982,90,1579.41,47382.3,1.196,0.205,4,-11408.7,23744.55,97939.13
2026-07-03 09:22:37,S73_ALL_WINDOWS_1000,11.982,120,1419.01,42570.21,1.16,0.147,4,-14014.5,60229.81,132183.08
2026-07-03 09:22:37,S73_ALL_WINDOWS_1000,11.982,150,1000.04,30001.2,1.121,0.112,4,-14014.5,60229.81,165384.62
2026-07-03 09:22:37,S73_ALL_WINDOWS_1000,11.982,180,1158.29,34748.82,1.146,0.135,4,-14014.5,60229.81,195842.32
