fold,train,test,is_avg,oos_avg,is_sharpe,oos_sharpe,oos_worst,af2000_w_on_test,n_legs_used
1,2024-05-28..2024-11-08,2024-11-11..2024-12-18,1365.83,49.32,4.68,0.4,-8339.4,68609.23,12
2,2024-07-08..2024-12-18,2024-12-19..2025-01-30,1379.91,-544.1,5.48,-4.6,-7029.0,124416.0,10
3,2024-08-19..2025-01-30,2025-01-31..2025-03-13,1067.4,741.98,6.32,3.35,-4713.2,45355.29,11
4,2024-09-30..2025-03-13,2025-03-14..2025-04-25,1157.49,142.33,6.69,0.75,-9762.9,2132.76,19
5,2024-11-11..2025-04-25,2025-04-28..2025-06-06,1348.14,-255.13,6.34,-2.06,-5164.8,2162.54,12
6,2024-12-19..2025-06-06,2025-06-09..2025-07-17,1300.73,625.31,5.83,2.58,-9696.0,1325.48,12
7,2025-01-31..2025-07-17,2025-07-18..2025-08-28,2753.46,135.37,4.07,0.57,-9327.4,2154.67,12
8,2025-03-14..2025-08-28,2025-08-29..2025-10-09,2600.1,-493.61,3.88,-1.79,-23766.6,61996.39,7
9,2025-04-28..2025-10-09,2025-10-10..2025-11-20,1277.09,240.69,7.66,2.03,-4870.6,2104.72,10
10,2025-06-09..2025-11-20,2025-11-21..2026-01-05,1999.77,376.09,3.22,0.45,-37780.2,2415.46,10
11,2025-07-18..2026-01-05,2026-01-06..2026-02-16,2552.35,180.51,3.45,3.74,-1099.8,2589.49,11
12,2025-08-29..2026-02-16,2026-02-17..2026-03-30,4001.02,5450.91,2.67,3.61,-6328.3,2256.31,8
13,2025-10-10..2026-03-30,2026-03-31..2026-05-12,5436.6,2560.84,3.17,2.01,-68772.0,1898.69,5
14,2025-11-21..2026-05-12,2026-05-13..2026-06-23,5137.41,-2001.78,2.92,-3.43,-51000.0,2348.16,8
