timestamp,label,entry_tf,sma_period,dev_stdev_mult,rsi_overbought,rsi_oversold,adx_max,sl_atr_mult,tp_rr,risk_pct,trades,wr,avg_per_day_span,avg_per_month,max_dd_pct,profit_factor,pct_pos_days,max_losing_day_streak,sharpe_like,final_equity
2026-06-27 07:37:46,smoke_baseline,M5,20,2.0,70,30,25.0,1.0,1.0,0.5,66,59.1,0.66,19.8,4.1,1.19,54.8,2,0.087,1059.78
2026-06-27 07:43:37,robust_30d,M5,20,2.0,70,30,25.0,1.0,1.0,0.5,15,53.3,-0.15,-4.5,2.74,0.93,50.0,2,-0.039,995.46
2026-06-27 07:43:42,robust_45d,M5,20,2.0,70,30,25.0,1.0,1.0,0.5,24,54.2,-0.03,-0.9,2.74,0.99,47.1,2,-0.009,998.46
2026-06-27 07:43:49,robust_60d,M5,20,2.0,70,30,25.0,1.0,1.0,0.5,39,56.4,0.03,0.9,3.34,1.01,51.9,2,0.006,1001.74
2026-06-27 07:43:58,robust_90d,M5,20,2.0,70,30,25.0,1.0,1.0,0.5,66,59.1,0.66,19.8,4.1,1.19,54.8,2,0.087,1059.78
2026-06-27 07:44:09,robust_120d,M5,20,2.0,70,30,25.0,1.0,1.0,0.5,82,59.8,1.19,35.7,3.8,1.38,54.9,3,0.17,1143.25
2026-06-27 07:44:22,robust_150d,M5,20,2.0,70,30,25.0,1.0,1.0,0.5,93,55.9,0.62,18.6,6.25,1.21,50.9,5,0.101,1093.71
