timestamp,label,entry_tf,mode,sp_lookback,sp_max_atr,fvg_required,fvg_min_atr,min_body_atr,body_ratio,sl,rr,trades,wr,fixed_pnl,fixed_per_day,fixed_per_month,fixed_pf,fixed_avg,pct_pos_days,max_losing_day_streak,sharpe_like
2026-07-02 17:06:35,M15_breakout_lb8_sp1.4_fvg1_fm0.0_mb0.2_br0.4_sl0.35_rr1.2,M15,breakout,8,1.4,True,0.0,0.2,0.4,0.35,1.2,6,66.7,165.09,1.83,55.03,3.749,27.515,66.7,1,0.641
2026-07-02 17:06:35,M15_either_lb8_sp1.4_fvg1_fm0.0_mb0.2_br0.4_sl0.35_rr1.2,M15,either,8,1.4,True,0.0,0.2,0.4,0.35,1.2,6,66.7,165.09,1.83,55.03,3.749,27.515,66.7,1,0.641
2026-07-02 17:06:35,M15_breakout_lb8_sp1.4_fvg1_fm0.0_mb0.2_br0.4_sl0.6_rr1.2,M15,breakout,8,1.4,True,0.0,0.2,0.4,0.6,1.2,6,66.7,174.84,1.94,58.28,3.64,29.14,66.7,1,0.63
2026-07-02 17:06:35,M15_either_lb8_sp1.4_fvg1_fm0.0_mb0.2_br0.4_sl0.6_rr1.2,M15,either,8,1.4,True,0.0,0.2,0.4,0.6,1.2,6,66.7,174.84,1.94,58.28,3.64,29.14,66.7,1,0.63
2026-07-02 17:06:35,M15_breakout_lb8_sp1.4_fvg1_fm0.0_mb0.35_br0.4_sl0.35_rr1.2,M15,breakout,8,1.4,True,0.0,0.35,0.4,0.35,1.2,5,60.0,135.94,1.51,45.31,3.264,27.188,60.0,2,0.578
2026-07-02 17:06:35,M15_either_lb8_sp1.4_fvg1_fm0.0_mb0.35_br0.4_sl0.35_rr1.2,M15,either,8,1.4,True,0.0,0.35,0.4,0.35,1.2,5,60.0,135.94,1.51,45.31,3.264,27.188,60.0,2,0.578
2026-07-02 17:06:35,M15_breakout_lb8_sp1.4_fvg1_fm0.0_mb0.35_br0.4_sl0.6_rr1.2,M15,breakout,8,1.4,True,0.0,0.35,0.4,0.6,1.2,5,60.0,142.57,1.58,47.52,3.153,28.514,60.0,2,0.563
2026-07-02 17:06:35,M15_either_lb8_sp1.4_fvg1_fm0.0_mb0.35_br0.4_sl0.6_rr1.2,M15,either,8,1.4,True,0.0,0.35,0.4,0.6,1.2,5,60.0,142.57,1.58,47.52,3.153,28.514,60.0,2,0.563
2026-07-02 17:06:35,M15_breakout_lb8_sp1.4_fvg1_fm0.0_mb0.2_br0.4_sl0.6_rr0.9,M15,breakout,8,1.4,True,0.0,0.2,0.4,0.6,0.9,6,66.7,114.38,1.27,38.13,2.727,19.063,66.7,1,0.496
2026-07-02 17:06:35,M15_either_lb8_sp1.4_fvg1_fm0.0_mb0.2_br0.4_sl0.6_rr0.9,M15,either,8,1.4,True,0.0,0.2,0.4,0.6,0.9,6,66.7,114.38,1.27,38.13,2.727,19.063,66.7,1,0.496
