fold,train,test,is_avg,oos_avg,is_sharpe,oos_sharpe,oos_worst,af2000_w_on_test,n_legs_used
1,2024-05-28..2024-11-08,2024-11-11..2024-12-18,880.79,596.25,10.96,5.59,-2313.4,68609.23,47
2,2024-07-08..2024-12-18,2024-12-19..2025-01-30,999.07,-120.65,11.08,-2.18,-1873.8,124416.0,43
3,2024-08-19..2025-01-30,2025-01-31..2025-03-13,766.05,364.03,10.81,5.44,-1912.8,45355.29,48
4,2024-09-30..2025-03-13,2025-03-14..2025-04-25,838.24,-15.81,9.45,-0.14,-6901.0,2132.76,43
5,2024-11-11..2025-04-25,2025-04-28..2025-06-06,734.85,-219.66,12.72,-3.58,-2357.0,2162.54,44
6,2024-12-19..2025-06-06,2025-06-09..2025-07-17,761.92,215.09,10.22,3.38,-2020.2,1325.48,47
7,2025-01-31..2025-07-17,2025-07-18..2025-08-28,1010.42,149.47,9.61,2.36,-1577.0,2154.67,48
8,2025-03-14..2025-08-28,2025-08-29..2025-10-09,1020.28,294.6,9.61,4.4,-2285.4,61996.39,44
9,2025-04-28..2025-10-09,2025-10-10..2025-11-20,870.94,461.08,9.68,3.83,-3479.0,2104.72,45
10,2025-06-09..2025-11-20,2025-11-21..2026-01-05,1022.66,140.86,11.53,1.54,-3785.0,2415.46,44
11,2025-07-18..2026-01-05,2026-01-06..2026-02-16,1100.74,709.57,9.43,5.25,-846.0,2589.49,44
12,2025-08-29..2026-02-16,2026-02-17..2026-03-30,1331.1,1219.89,9.91,3.85,-15747.0,2256.31,46
13,2025-10-10..2026-03-30,2026-03-31..2026-05-12,1592.32,510.72,7.56,4.09,-5731.0,1898.69,44
14,2025-11-21..2026-05-12,2026-05-13..2026-06-23,1578.93,398.43,7.2,3.13,-4408.8,2348.16,49
