signal_time,exit_time,direction,entry,sl,tp,outcome,profit,pattern,reason
2025-07-23T09:40:00+07:00,2025-07-23T10:00:00+07:00,BUY,3423.49,3420.89,3467.43,SL,-2.8,S202 BUY Kurt-VR Confluence Sweep 16.9R,"Kurtosis=3.36, VR=0.77; structural sweep reclaimed"
2025-07-28T22:00:00+07:00,2025-07-28T22:10:00+07:00,BUY,3305.4,3301.48,3371.65,BE,-0.2,S202 BUY Kurt-VR Confluence Sweep 16.9R,"Kurtosis=14.47, VR=0.80; structural sweep reclaimed"
2025-08-01T15:40:00+07:00,2025-08-01T15:50:00+07:00,BUY,3286.78,3285.52,3308.08,SL,-1.46,S202 BUY Kurt-VR Confluence Sweep 16.9R,"Kurtosis=2.00, VR=0.92; structural sweep reclaimed"
2025-08-07T09:45:00+07:00,2025-08-07T09:55:00+07:00,SELL,3380.7,3382.23,3354.84,BE,-0.2,S202 SELL Kurt-VR Confluence Sweep 16.9R,"Kurtosis=3.65, VR=0.86; structural sweep reclaimed"
2025-08-08T09:25:00+07:00,2025-08-08T09:35:00+07:00,BUY,3384.11,3381.69,3425.01,BE,-0.2,S202 BUY Kurt-VR Confluence Sweep 16.9R,"Kurtosis=2.07, VR=0.94; structural sweep reclaimed"
2025-08-11T15:40:00+07:00,2025-08-11T15:45:00+07:00,BUY,3361.26,3358.53,3407.4,SL,-2.93,S202 BUY Kurt-VR Confluence Sweep 16.9R,"Kurtosis=6.29, VR=0.90; structural sweep reclaimed"
2025-08-12T20:50:00+07:00,2025-08-12T21:40:00+07:00,SELL,3353.82,3358.44,3275.74,BE,-0.2,S202 SELL Kurt-VR Confluence Sweep 16.9R,"Kurtosis=8.60, VR=0.92; structural sweep reclaimed"
2025-08-19T08:20:00+07:00,2025-08-19T10:55:00+07:00,SELL,3337.07,3339.36,3298.36,BE,-0.2,S202 SELL Kurt-VR Confluence Sweep 16.9R,"Kurtosis=5.17, VR=0.46; structural sweep reclaimed"
2025-08-20T22:50:00+07:00,2025-08-21T01:50:00+07:00,SELL,3347.95,3350.53,3304.34,BE,-0.2,S202 SELL Kurt-VR Confluence Sweep 16.9R,"Kurtosis=4.90, VR=0.67; structural sweep reclaimed"
2025-09-04T14:35:00+07:00,2025-09-04T15:05:00+07:00,SELL,3537.86,3541.92,3469.24,BE,-0.2,S202 SELL Kurt-VR Confluence Sweep 16.9R,"Kurtosis=4.81, VR=0.90; structural sweep reclaimed"
2025-09-08T09:20:00+07:00,2025-09-08T09:30:00+07:00,BUY,3586.93,3584.65,3625.47,BE,-0.2,S202 BUY Kurt-VR Confluence Sweep 16.9R,"Kurtosis=4.67, VR=0.42; structural sweep reclaimed"
2025-09-08T14:15:00+07:00,2025-09-08T14:25:00+07:00,SELL,3592.31,3594.63,3553.1,BE,-0.2,S202 SELL Kurt-VR Confluence Sweep 16.9R,"Kurtosis=3.55, VR=0.67; structural sweep reclaimed"
2025-09-10T03:50:00+07:00,2025-09-10T03:55:00+07:00,BUY,3630.72,3628.87,3661.99,SL,-2.05,S202 BUY Kurt-VR Confluence Sweep 16.9R,"Kurtosis=4.54, VR=0.92; structural sweep reclaimed"
2025-09-12T16:55:00+07:00,2025-09-12T17:05:00+07:00,BUY,3640.6,3639.46,3659.87,BE,-0.2,S202 BUY Kurt-VR Confluence Sweep 16.9R,"Kurtosis=4.20, VR=0.58; structural sweep reclaimed"
2025-09-16T23:10:00+07:00,2025-09-16T23:30:00+07:00,BUY,3682.49,3679.6,3731.34,BE,-0.2,S202 BUY Kurt-VR Confluence Sweep 16.9R,"Kurtosis=2.71, VR=0.86; structural sweep reclaimed"
2025-09-19T23:05:00+07:00,2025-09-19T23:10:00+07:00,SELL,3667.52,3670.5,3617.15,SL,-3.18,S202 SELL Kurt-VR Confluence Sweep 16.9R,"Kurtosis=3.43, VR=0.76; structural sweep reclaimed"
2025-10-20T14:05:00+07:00,2025-10-20T14:25:00+07:00,BUY,4237.59,4230.6,4355.73,SL,-7.19,S202 BUY Kurt-VR Confluence Sweep 16.9R,"Kurtosis=2.16, VR=0.76; structural sweep reclaimed"
2025-10-29T07:05:00+07:00,2025-10-29T07:15:00+07:00,SELL,3965.52,3969.63,3896.06,BE,-0.2,S202 SELL Kurt-VR Confluence Sweep 16.9R,"Kurtosis=5.01, VR=0.89; structural sweep reclaimed"
2025-10-30T02:45:00+07:00,2025-10-30T03:05:00+07:00,BUY,3936.88,3926.73,4108.42,BE,-0.2,S202 BUY Kurt-VR Confluence Sweep 16.9R,"Kurtosis=11.54, VR=0.75; structural sweep reclaimed"
2025-11-10T15:40:00+07:00,2025-11-10T15:50:00+07:00,SELL,4081.67,4085.41,4018.46,BE,-0.2,S202 SELL Kurt-VR Confluence Sweep 16.9R,"Kurtosis=5.04, VR=0.68; structural sweep reclaimed"
2025-11-18T15:40:00+07:00,2025-11-18T15:55:00+07:00,SELL,4039.86,4043.28,3982.06,BE,-0.2,S202 SELL Kurt-VR Confluence Sweep 16.9R,"Kurtosis=2.47, VR=0.95; structural sweep reclaimed"
2025-11-21T19:50:00+07:00,2025-11-21T20:00:00+07:00,SELL,4065.17,4072.14,3947.37,BE,-0.2,S202 SELL Kurt-VR Confluence Sweep 16.9R,"Kurtosis=2.85, VR=0.94; structural sweep reclaimed"
2025-12-03T08:10:00+07:00,2025-12-03T08:35:00+07:00,SELL,4217.15,4221.39,4145.49,BE,-0.2,S202 SELL Kurt-VR Confluence Sweep 16.9R,"Kurtosis=2.70, VR=0.92; structural sweep reclaimed"
2025-12-16T10:00:00+07:00,2025-12-16T10:10:00+07:00,BUY,4290.53,4286.22,4363.37,BE,-0.2,S202 BUY Kurt-VR Confluence Sweep 16.9R,"Kurtosis=5.06, VR=0.84; structural sweep reclaimed"
2025-12-22T08:05:00+07:00,2025-12-22T08:20:00+07:00,SELL,4368.02,4372.91,4285.37,BE,-0.2,S202 SELL Kurt-VR Confluence Sweep 16.9R,"Kurtosis=2.19, VR=0.88; structural sweep reclaimed"
2025-12-29T13:30:00+07:00,2025-12-29T13:40:00+07:00,BUY,4490.81,4484.21,4602.36,BE,-0.2,S202 BUY Kurt-VR Confluence Sweep 16.9R,"Kurtosis=2.59, VR=0.84; structural sweep reclaimed"
2025-12-29T20:55:00+07:00,2025-12-29T21:00:00+07:00,BUY,4414.65,4406.41,4553.91,SL,-8.44,S202 BUY Kurt-VR Confluence Sweep 16.9R,"Kurtosis=3.58, VR=0.77; structural sweep reclaimed"
2025-12-29T21:10:00+07:00,2025-12-29T21:20:00+07:00,BUY,4393.61,4385.52,4530.34,BE,-0.2,S202 BUY Kurt-VR Confluence Sweep 16.9R,"Kurtosis=3.79, VR=0.93; structural sweep reclaimed"
2026-01-02T20:40:00+07:00,2026-01-02T20:55:00+07:00,BUY,4370.5,4365.75,4450.78,SL,-4.95,S202 BUY Kurt-VR Confluence Sweep 16.9R,"Kurtosis=10.26, VR=0.92; structural sweep reclaimed"
