Pattern,TF,Trades,Win,Loss,BE,Net_PnL
ATR,H1,58,17,41,0,900.92
ATR,H12,2,1,1,0,67.17999999999999
ATR,M15,177,24,152,0,-36.54999999999998
ATR,M30,109,19,90,0,178.47000000000006
Div,D1,5,0,5,0,-666.8399999999999
Div,H1,302,47,255,0,224.42000000000002
Div,H12,15,0,15,0,-914.72
Div,M15,397,37,360,0,-1668.82
Div,M30,318,16,302,0,-3506.02
Div/ATR,H1,1,0,1,0,-41.71
Div/ATR,M15,3,0,3,0,-42.94
Div/FollowDiv,H1,5,1,4,0,62.120000000000005
Div/FollowDiv,M15,12,1,11,0,42.42000000000001
Div/FollowDiv,M30,12,1,11,0,92.55000000000001
Doji,H1,2,0,2,0,-52.68
Doji,M15,1,0,1,0,-14.73
Doji,M30,5,0,5,0,-70.44
Fibo,D1,1,1,0,0,39.97
Fibo,H1,6,0,6,0,-42.24
Fibo,H12,4,1,3,0,-113.68
Fibo,M15,14,0,14,0,-46.8
Fibo,M30,1,0,1,0,-0.86
Fibo/ATR,M15,1,1,0,0,52.35
FollowDiv,D1,5,0,5,0,-421.83
FollowDiv,H1,104,12,91,0,-178.38000000000002
FollowDiv,H12,8,1,7,0,-481.85
FollowDiv,M15,548,61,487,0,370.16999999999996
FollowDiv,M30,228,31,197,0,-51.269999999999996
FollowDiv/ATR,M15,1,0,1,0,-5.15
FollowDiv/ATR,M30,1,0,1,0,-16.08
GapSweep,D1,27,13,10,0,898.8
GapSweep,H1,99,57,42,0,1118.26
GapSweep,H12,32,16,15,0,900.19
GapSweep,M15,199,110,89,0,980.27
GapSweep,M30,131,74,57,0,584.6999999999999
Naiya,D1,50,17,32,0,-303.08
Naiya,H1,1270,236,1034,0,1667.53
Naiya,H12,93,28,65,0,-540.81
Naiya,M15,5070,675,4395,0,1302.69
Naiya,M30,2602,399,2203,0,2952.12
Naiya Doji,D1,196,72,124,0,2694.17
Naiya Doji,H1,9047,1373,7674,0,-6043.54
Naiya Doji,H12,461,96,364,0,-1507.84
Naiya Doji,M15,40318,4763,35555,0,680.3400000000012
Naiya Doji,M30,19354,2719,16635,0,18858.079999999998
Naiya Hidden,D1,7,4,3,0,5.939999999999998
Naiya Hidden,H1,131,35,96,0,-471.65999999999997
Naiya Hidden,H12,12,6,6,0,-401.10999999999996
Naiya Hidden,M15,543,101,442,0,-1301.94
Naiya Hidden,M30,279,64,215,0,973.0999999999999
