Pattern,TF,Time (BKK),Type,Limit_Price,Entry,SL,TP,be_trig,be_act,RSI,ATR,Lot,dist_sma50,dist_sma200,body,range,Bars_Waited,Reason,P&L,CloseTime (BKK),Balance,Date,Month
Naiya,H1,2025-03-14 19:00,BUY,2985.39,2985.39,2978.49,2996.55,2999.19,False,47.62,7.87,0.01,0.59,,3.12,3.76,2,TP,11.16,2025-03-17 10:00,10011.16,2025-03-17,2025-03
Naiya Doji,H1,2025-03-14 20:00,BUY,2982.5,2982.5,2978.49,2988.99,2990.52,False,47.03,7.79,0.01,0.57,,0.55,3.83,3,TP,6.49,2025-03-16 23:00,10017.65,2025-03-16,2025-03
Naiya Doji,H1,2025-03-14 20:00,BUY,2982.5,2982.5,2978.49,2988.99,2990.52,False,47.03,7.79,0.01,0.57,,0.55,3.83,2,TP,6.49,2025-03-16 23:00,10024.14,2025-03-16,2025-03
Naiya Doji,H1,2025-03-17 04:00,BUY,2985.38,2985.38,2981.8,3004.96,2992.54,False,39.18,6.39,0.01,0.42,,1.15,3.35,5,TP,19.58,2025-03-18 02:00,10043.72,2025-03-18,2025-03
Naiya Doji,H1,2025-03-17 04:00,BUY,2985.38,2985.38,2981.8,3004.96,2992.54,False,39.18,6.39,0.01,0.42,,1.15,3.35,4,TP,19.58,2025-03-18 02:00,10063.3,2025-03-18,2025-03
Naiya Doji,H1,2025-03-17 04:00,BUY,2985.38,2985.38,2981.8,3004.96,2992.54,False,39.18,6.39,0.01,0.42,,1.15,3.35,3,TP,19.58,2025-03-18 02:00,10082.88,2025-03-18,2025-03
Naiya Doji,H1,2025-03-17 04:00,BUY,2985.38,2985.38,2981.8,3004.96,2992.54,False,39.18,6.39,0.01,0.42,,1.15,3.35,2,TP,19.58,2025-03-18 02:00,10102.46,2025-03-18,2025-03
Naiya Hidden,H1,2025-03-17 05:00,BUY,2983.5,2983.5,2967.6,3004.96,3015.3,False,44.1,5.84,0.01,0.25,,4.34,5.33,6,TP,21.46,2025-03-18 02:00,10123.92,2025-03-18,2025-03
Naiya Doji,H1,2025-03-17 05:00,BUY,2982.5,2982.5,2978.49,3004.96,2990.52,False,44.1,5.84,0.01,0.25,,4.34,5.33,2,TP,22.46,2025-03-18 02:00,10146.38,2025-03-18,2025-03
Naiya Doji,H1,2025-03-17 05:00,BUY,2982.5,2982.5,2978.49,3004.96,2990.52,False,44.1,5.84,0.01,0.25,,4.34,5.33,1,TP,22.46,2025-03-18 02:00,10168.84,2025-03-18,2025-03
Naiya Doji,H1,2025-03-17 08:00,BUY,2985.38,2985.38,2981.8,3004.96,2992.54,False,43.79,5.04,0.01,0.26,,4.03,5.79,1,TP,19.58,2025-03-18 02:00,10188.42,2025-03-18,2025-03
Naiya Doji,H1,2025-03-17 10:00,SELL,2990.94,2990.94,2993.2,2880.15,2986.42,False,66.39,5.53,0.01,0.53,,7.24,9.25,7,SL,-2.26,2025-03-17 10:00,10186.16,2025-03-17,2025-03
Naiya Doji,H1,2025-03-17 10:00,SELL,2990.94,2990.94,2993.2,2880.15,2986.42,False,66.39,5.53,0.01,0.53,,7.24,9.25,6,SL,-2.26,2025-03-17 10:00,10183.9,2025-03-17,2025-03
Naiya Doji,H1,2025-03-17 10:00,SELL,2990.94,2990.94,2993.2,2880.15,2986.42,False,66.39,5.53,0.01,0.53,,7.24,9.25,5,SL,-2.26,2025-03-17 10:00,10181.64,2025-03-17,2025-03
Naiya Doji,H1,2025-03-17 10:00,SELL,2990.94,2990.94,2993.2,2880.15,2986.42,False,66.39,5.53,0.01,0.53,,7.24,9.25,4,SL,-2.26,2025-03-17 10:00,10179.38,2025-03-17,2025-03
Naiya Doji,H1,2025-03-17 10:00,SELL,2990.94,2990.94,2993.2,2880.15,2986.42,False,66.39,5.53,0.01,0.53,,7.24,9.25,2,SL,-2.26,2025-03-17 10:00,10177.12,2025-03-17,2025-03
Naiya Doji,H1,2025-03-17 10:00,SELL,2990.94,2990.94,2993.2,2880.15,2986.42,False,66.39,5.53,0.01,0.53,,7.24,9.25,1,SL,-2.26,2025-03-17 10:00,10174.86,2025-03-17,2025-03
Naiya Doji,H1,2025-03-17 10:00,SELL,2996.47,2996.47,2999.67,2880.15,2990.07,False,66.39,5.53,0.01,0.53,,7.24,9.25,17,SL,-3.2,2025-03-17 12:00,10171.66,2025-03-17,2025-03
Naiya Doji,H1,2025-03-17 10:00,SELL,2996.47,2996.47,2999.67,2880.15,2990.07,False,66.39,5.53,0.01,0.53,,7.24,9.25,16,SL,-3.2,2025-03-17 12:00,10168.460000000001,2025-03-17,2025-03
Naiya Doji,H1,2025-03-17 10:00,SELL,2996.47,2996.47,2999.67,2880.15,2990.07,False,66.39,5.53,0.01,0.53,,7.24,9.25,15,SL,-3.2,2025-03-17 12:00,10165.26,2025-03-17,2025-03
Naiya Doji,H1,2025-03-17 10:00,SELL,2996.47,2996.47,2999.67,2880.15,2990.07,False,66.39,5.53,0.01,0.53,,7.24,9.25,14,SL,-3.2,2025-03-17 12:00,10162.06,2025-03-17,2025-03
Naiya Doji,H1,2025-03-17 10:00,SELL,2996.47,2996.47,2999.67,2880.15,2990.07,False,66.39,5.53,0.01,0.53,,7.24,9.25,13,SL,-3.2,2025-03-17 12:00,10158.86,2025-03-17,2025-03
Naiya Doji,H1,2025-03-17 10:00,SELL,2996.47,2996.47,2999.67,2880.15,2990.07,False,66.39,5.53,0.01,0.53,,7.24,9.25,12,SL,-3.2,2025-03-17 12:00,10155.66,2025-03-17,2025-03
Naiya Doji,H1,2025-03-17 10:00,SELL,2996.47,2996.47,2999.67,2880.15,2990.07,False,66.39,5.53,0.01,0.53,,7.24,9.25,11,SL,-3.2,2025-03-17 12:00,10152.460000000001,2025-03-17,2025-03
Naiya Doji,H1,2025-03-17 10:00,SELL,2996.47,2996.47,2999.67,2880.15,2990.07,False,66.39,5.53,0.01,0.53,,7.24,9.25,10,SL,-3.2,2025-03-17 12:00,10149.26,2025-03-17,2025-03
Naiya Doji,H1,2025-03-17 10:00,SELL,2996.47,2996.47,2999.67,2880.15,2990.07,False,66.39,5.53,0.01,0.53,,7.24,9.25,9,SL,-3.2,2025-03-17 12:00,10146.06,2025-03-17,2025-03
Naiya Doji,H1,2025-03-17 10:00,SELL,2996.47,2996.47,2999.67,2880.15,2990.07,False,66.39,5.53,0.01,0.53,,7.24,9.25,8,SL,-3.2,2025-03-17 12:00,10142.86,2025-03-17,2025-03
Naiya Doji,H1,2025-03-17 10:00,SELL,2996.47,2996.47,2999.67,2880.15,2990.07,False,66.39,5.53,0.01,0.53,,7.24,9.25,3,SL,-3.2,2025-03-17 12:00,10139.66,2025-03-17,2025-03
Naiya Doji,H1,2025-03-17 13:00,BUY,2988.74,2988.74,2986.36,3004.96,2993.5,False,47.92,5.79,0.01,0.13,,10.34,12.93,3,SL,-2.38,2025-03-17 13:00,10137.28,2025-03-17,2025-03
Naiya Doji,H1,2025-03-17 13:00,BUY,2988.74,2988.74,2986.36,3004.96,2993.5,False,47.92,5.79,0.01,0.13,,10.34,12.93,2,SL,-2.38,2025-03-17 13:00,10134.9,2025-03-17,2025-03
Naiya Doji,H1,2025-03-17 13:00,BUY,2988.74,2988.74,2986.36,3004.96,2993.5,False,47.92,5.79,0.01,0.13,,10.34,12.93,1,SL,-2.38,2025-03-17 13:00,10132.52,2025-03-17,2025-03
Naiya Doji,H1,2025-03-17 15:00,SELL,2998.8,2998.8,3001.16,2880.15,2994.08,False,56.89,6.35,0.01,0.45,,10.42,13.33,2,SL,-2.36,2025-03-17 21:00,10130.16,2025-03-17,2025-03
Naiya Doji,H1,2025-03-17 15:00,SELL,2998.8,2998.8,3001.16,2880.15,2994.08,False,56.89,6.35,0.01,0.45,,10.42,13.33,1,SL,-2.36,2025-03-17 21:00,10127.800000000001,2025-03-17,2025-03
Naiya Doji,H1,2025-03-17 18:00,SELL,2998.8,2998.8,3001.16,2880.15,2994.08,False,59.14,6.58,0.01,0.32,,3.39,4.96,1,SL,-2.36,2025-03-17 21:00,10125.44,2025-03-17,2025-03
Naiya,H1,2025-03-17 19:00,BUY,2997.18,2997.18,2993.0,3004.96,3005.54,False,64.61,6.45,0.01,0.35,,1.44,3.4,1,TP,7.78,2025-03-18 02:00,10133.22,2025-03-18,2025-03
Naiya,H1,2025-03-19 01:00,SELL,3033.24,3033.24,3034.53,2982.31,3030.66,False,63.89,5.85,0.01,0.78,,0.31,3.58,1,SL,-1.29,2025-03-19 04:00,10131.93,2025-03-19,2025-03
Naiya Doji,H1,2025-03-19 04:00,SELL,3036.61,3036.61,3038.03,2982.31,3033.77,False,52.96,5.46,0.01,0.85,,2.96,6.74,6,SL,-1.42,2025-03-19 04:00,10130.51,2025-03-19,2025-03
Naiya Doji,H1,2025-03-19 04:00,SELL,3036.61,3036.61,3038.03,2982.31,3033.77,False,52.96,5.46,0.01,0.85,,2.96,6.74,5,SL,-1.42,2025-03-19 04:00,10129.09,2025-03-19,2025-03
Naiya Doji,H1,2025-03-19 04:00,SELL,3036.61,3036.61,3038.03,2982.31,3033.77,False,52.96,5.46,0.01,0.85,,2.96,6.74,4,SL,-1.42,2025-03-19 04:00,10127.67,2025-03-19,2025-03
Naiya Doji,H1,2025-03-19 04:00,SELL,3036.61,3036.61,3038.03,2982.31,3033.77,False,52.96,5.46,0.01,0.85,,2.96,6.74,3,SL,-1.42,2025-03-19 04:00,10126.25,2025-03-19,2025-03
Naiya Doji,H1,2025-03-19 04:00,SELL,3036.61,3036.61,3038.03,2982.31,3033.77,False,52.96,5.46,0.01,0.85,,2.96,6.74,2,SL,-1.42,2025-03-19 04:00,10124.83,2025-03-19,2025-03
Naiya Doji,H1,2025-03-19 04:00,SELL,3036.61,3036.61,3038.03,2982.31,3033.77,False,52.96,5.46,0.01,0.85,,2.96,6.74,1,SL,-1.42,2025-03-19 04:00,10123.41,2025-03-19,2025-03
Naiya,H1,2025-03-19 09:00,BUY,3031.4,3031.4,3027.41,3037.86,3039.38,False,41.73,5.54,0.01,0.32,,10.84,12.35,6,SL,-3.99,2025-03-19 09:00,10119.42,2025-03-19,2025-03
Naiya Doji,H1,2025-03-19 11:00,SELL,3036.61,3036.61,3038.03,2982.31,3033.77,False,49.27,6.36,0.01,0.58,,4.22,9.33,2,SL,-1.42,2025-03-19 12:00,10118.0,2025-03-19,2025-03
Naiya Doji,H1,2025-03-19 11:00,SELL,3036.61,3036.61,3038.03,2982.31,3033.77,False,49.27,6.36,0.01,0.58,,4.22,9.33,1,SL,-1.42,2025-03-19 12:00,10116.58,2025-03-19,2025-03
Naiya Doji,H1,2025-03-19 12:00,SELL,3036.61,3036.61,3038.03,2982.31,3033.77,False,54.63,6.6,0.01,0.68,,4.28,6.16,1,SL,-1.42,2025-03-19 12:00,10115.16,2025-03-19,2025-03
Naiya Doji,H1,2025-03-19 17:00,SELL,3036.61,3036.61,3038.03,2982.31,3033.77,False,49.75,7.8,0.01,0.36,,1.5,6.95,3,SL,-1.42,2025-03-19 17:00,10113.74,2025-03-19,2025-03
Naiya Doji,H1,2025-03-19 17:00,SELL,3036.61,3036.61,3038.03,2982.31,3033.77,False,49.75,7.8,0.01,0.36,,1.5,6.95,2,SL,-1.42,2025-03-19 17:00,10112.32,2025-03-19,2025-03
Naiya Doji,H1,2025-03-19 17:00,SELL,3036.61,3036.61,3038.03,2982.31,3033.77,False,49.75,7.8,0.01,0.36,,1.5,6.95,1,SL,-1.42,2025-03-19 17:00,10110.9,2025-03-19,2025-03
Naiya Doji,H1,2025-03-19 19:00,SELL,3036.61,3036.61,3038.03,2982.31,3033.77,False,56.71,8.75,0.01,0.75,,16.55,18.45,2,SL,-1.42,2025-03-19 19:00,10109.48,2025-03-19,2025-03
Naiya Doji,H1,2025-03-19 19:00,SELL,3034.84,3034.84,3038.31,2982.31,3027.9,False,56.71,8.75,0.01,0.75,,16.55,18.45,1,SL,-3.47,2025-03-19 19:00,10106.01,2025-03-19,2025-03
Naiya,H1,2025-03-19 19:00,SELL,3031.52,3031.52,3038.31,2982.31,3017.94,False,56.71,8.75,0.01,0.75,,16.55,18.45,1,SL,-6.79,2025-03-19 19:00,10099.22,2025-03-19,2025-03
Naiya,H1,2025-03-20 02:00,BUY,3050.11,3050.11,3048.73,3052.34,3052.87,False,64.49,7.03,0.01,0.64,,3.59,6.78,1,TP,2.23,2025-03-20 02:00,10101.45,2025-03-20,2025-03
Naiya,H1,2025-03-20 03:00,BUY,3047.93,3047.93,3044.29,3053.82,3055.21,False,56.57,7.1,0.01,0.48,,3.99,7.19,4,TP,5.89,2025-03-20 05:00,10107.34,2025-03-20,2025-03
Naiya,H1,2025-03-20 03:00,SELL,3050.05,3050.05,3055.56,2982.31,3039.03,False,56.57,7.1,0.01,0.48,,3.99,7.19,1,SL,-5.51,2025-03-20 05:00,10101.83,2025-03-20,2025-03
Naiya,H1,2025-03-20 07:00,SELL,3049.95,3049.95,3057.4,2982.31,3035.05,False,67.39,7.06,0.01,0.47,,2.13,5.78,1,SL,-7.45,2025-03-27 15:00,10094.380000000001,2025-03-27,2025-03
Naiya Doji,H1,2025-03-20 09:00,BUY,3039.61,3039.61,3034.44,3047.98,3049.95,False,60.9,7.12,0.01,0.2,,0.31,5.27,13,SL,-5.17,2025-03-20 11:00,10089.210000000001,2025-03-20,2025-03
Naiya Doji,H1,2025-03-20 09:00,BUY,3039.61,3039.61,3034.44,3047.98,3049.95,False,60.9,7.12,0.01,0.2,,0.31,5.27,12,SL,-5.17,2025-03-20 11:00,10084.04,2025-03-20,2025-03
Naiya Doji,H1,2025-03-20 09:00,BUY,3039.61,3039.61,3034.44,3047.98,3049.95,False,60.9,7.12,0.01,0.2,,0.31,5.27,11,SL,-5.17,2025-03-20 11:00,10078.87,2025-03-20,2025-03
Naiya Doji,H1,2025-03-20 09:00,BUY,3039.61,3039.61,3034.44,3047.98,3049.95,False,60.9,7.12,0.01,0.2,,0.31,5.27,10,SL,-5.17,2025-03-20 11:00,10073.7,2025-03-20,2025-03
Naiya Doji,H1,2025-03-20 09:00,BUY,3039.61,3039.61,3034.44,3047.98,3049.95,False,60.9,7.12,0.01,0.2,,0.31,5.27,9,SL,-5.17,2025-03-20 11:00,10068.53,2025-03-20,2025-03
Naiya Doji,H1,2025-03-20 09:00,BUY,3039.61,3039.61,3034.44,3047.98,3049.95,False,60.9,7.12,0.01,0.2,,0.31,5.27,8,SL,-5.17,2025-03-20 11:00,10063.36,2025-03-20,2025-03
Naiya Doji,H1,2025-03-20 09:00,BUY,3039.61,3039.61,3034.44,3047.98,3049.95,False,60.9,7.12,0.01,0.2,,0.31,5.27,7,SL,-5.17,2025-03-20 11:00,10058.19,2025-03-20,2025-03
Naiya Doji,H1,2025-03-20 09:00,BUY,3039.61,3039.61,3034.44,3047.98,3049.95,False,60.9,7.12,0.01,0.2,,0.31,5.27,6,SL,-5.17,2025-03-20 11:00,10053.02,2025-03-20,2025-03
Naiya Doji,H1,2025-03-20 09:00,BUY,3039.61,3039.61,3034.44,3047.98,3049.95,False,60.9,7.12,0.01,0.2,,0.31,5.27,5,SL,-5.17,2025-03-20 11:00,10047.85,2025-03-20,2025-03
