Month,Trades,Win,Loss,BE,Net_PnL,Cumulative_PnL
2025-03,1438,161,1277,0,-485.82000000000005,-485.82000000000005
2025-04,4149,683,3466,0,-2095.9,-2581.7200000000003
2025-05,4582,650,3932,0,8487.48,5905.759999999999
2025-06,4468,469,3999,0,6714.47,12620.23
2025-07,4992,560,4432,0,2612.73,15232.96
2025-08,4574,617,3957,0,-1805.18,13427.779999999999
2025-09,4232,697,3535,0,-2035.4199999999998,11392.359999999999
2025-10,4708,742,3966,0,-2474.82,8917.539999999999
2025-11,4311,610,3701,0,-4558.99,4358.549999999999
2025-12,4755,645,4110,0,9242.41,13600.96
2026-01,4604,787,3817,0,8873.640000000001,22474.6
2026-02,4531,505,4026,0,2168.800000000001,24643.4
2026-03,4526,444,4082,0,-13073.53,11569.87
2026-04,4503,515,3988,0,-2721.0500000000006,8848.82
2026-05,4796,549,4247,0,-3374.61,5474.209999999999
2026-06,4663,629,4034,0,3783.7899999999995,9257.999999999998
2026-07,5063,631,4432,0,3971.4300000000003,13229.429999999998
2026-08,4490,854,3636,0,1145.27,14374.699999999999
2026-09,2882,382,2491,0,2328.49,16703.19
