SIM_Open_Time,MT5_Open_Time,SIM_Close_Time,MT5_Close_Time,SIM_Leg,SIM_TF,MT5_TF,SIM_Type,MT5_Type,SIM_Entry,MT5_Entry,MT5_Close_Price,SIM_SL,MT5_SL,SIM_TP,MT5_TP,SIM_Lot,MT5_Volume,SIM_P&L,MT5_P&L,SIM_Balance,MT5_Balance,MT5_Comment,MT5_Position_ID,Matched,Match_Detail,SIM_Reason,MT5_Reason,Sim_point,MT5_point
2026-09-17 18:05:00,,2026-09-17 18:55:00,,S20_304_XAUUSDm,M30,,SELL,,4335.969,,,4343.688,,4322.075,,0.01,,-7.82,,4992.18,,,,False,BACKTEST_ONLY,SL,,-771.9,
2026-09-17 18:10:00,,2026-09-17 18:15:00,,S20_304_XAUUSDm,M15,,SELL,,4337.196,,,4342.528,,4327.598,,0.01,,9.6,,5001.78,,,,False,BACKTEST_ONLY,TP,,959.8,
2026-09-17 18:20:00,,2026-09-17 18:40:00,,S20_304_GBPUSDm,M15,,BUY,,1.3355,,,1.3346,,1.337,,0.11,,16.83,,5018.61,,,,False,BACKTEST_ONLY,TP,,0.2,
2026-09-17 18:50:00,,2026-09-17 19:05:00,,S20_304_GBPUSDm,M15,,BUY,,1.3366,,,1.3361,,1.3375,,0.11,,9.9,,5028.51,,,,False,BACKTEST_ONLY,TP,,0.1,
2026-09-17 19:05:00,,2026-09-17 19:10:00,,S20_304_XAUUSDm,M15,,BUY,,4345.775,,,4340.69,,4354.928,,0.01,,9.15,,5037.66,,,,False,BACKTEST_ONLY,TP,,915.3,
2026-09-17 20:05:00,,2026-09-17 20:15:00,,S20_304_XAGUSDm,M15,,BUY,,65.342,,,65.185,,65.625,,0.01,,14.15,,5051.81,,,,False,BACKTEST_ONLY,TP,,28.3,
2026-09-17 20:20:00,,2026-09-17 20:40:00,,S20_304_XAUUSDm,M15,,SELL,,4372.267,,,4379.408,,4359.413,,0.01,,12.85,,5064.66,,,,False,BACKTEST_ONLY,TP,,1285.4,
2026-09-17 20:20:00,,2026-09-17 20:25:00,,S20_304_XAGUSDm,M15,,SELL,,65.65,,,65.822,,65.34,,0.01,,15.5,,5080.16,,,,False,BACKTEST_ONLY,TP,,31.0,
2026-09-17 20:35:00,,2026-09-17 21:00:00,,S20_304_XAGUSDm,M15,,SELL,,65.55,,,65.749,,65.192,,0.01,,-10.45,,5081.95,,,,False,BACKTEST_ONLY,SL,,-19.9,
2026-09-17 21:05:00,,2026-09-17 21:45:00,,S20_304_XAUUSDm,M30,,SELL,,4375.468,,,4385.043,,4358.233,,0.01,,17.23,,5099.18,,,,False,BACKTEST_ONLY,TP,,1723.5,
2026-09-17 21:05:00,,2026-09-17 21:30:00,,S20_304_XAUUSDm,M15,,SELL,,4377.075,,,4384.744,,4363.271,,0.01,,13.8,,5112.98,,,,False,BACKTEST_ONLY,TP,,1380.4,
